,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2022-K62866,50.0925,-120.769, 2023-03-17 21:44:00,0.95, BH,2023-03-20 12:34:21+00:00
1,bc,2022-K62869,50.1322,-120.834, 2023-03-18 20:43:00,0.0, BH,2023-03-20 12:34:21+00:00
2,bc,2022-K52870,49.4157,-119.816, 2023-03-19 22:16:00,0.01, OC,2023-03-20 12:34:21+00:00
3,bc,2022-K72863,50.2812,-121.61, 2023-03-12 21:29:00,60.0, UC,2023-03-20 12:34:21+00:00
4,bc,2022-K72867,50.8862,-121.821, 2023-03-17 23:51:00,0.0, UC,2023-03-20 12:34:21+00:00
