,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,NO112,55.3939,-98.0172, 2022-09-10 05:00:00,0.1, UC,2022-10-07 18:48:50+00:00
1,mb,NO116,54.565,-95.2881, 2022-09-14 05:00:00,0.2, OC,2022-10-07 18:48:50+00:00
2,mb,NO115,54.9064,-98.3197, 2022-09-14 05:00:00,0.2, OC,2022-10-07 18:48:50+00:00
3,mb,WE050,55.1089,-101.879, 2022-07-20 05:00:00,7154.0, UC,2022-10-07 18:48:50+00:00
4,bc,2022-V11746,49.0115,-120.732, 2022-08-22 01:10:00,10358.0, BH,2022-10-07 18:48:50+00:00
5,conus,Williams Creek,45.693,-115.652, 2022-08-29 16:30:00,6514.02, 75% contained,2022-10-07 18:48:50+00:00
6,nt,SS073-22,60.3,-118.367, 2022-08-19 00:15:00,14170.0, OC,2022-10-07 18:48:50+00:00
7,ak,Chitanana,64.8753,-151.641, 2022-06-19 00:00:00,35266.4, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
8,ak,Goose,66.8761,-143.888, 2022-06-29 00:00:00,4465.86, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
9,pc,2022JA6,53.0511,-118.147, 2022-09-01 15:55:30,6000.0, BH,2022-10-07 18:48:50+00:00
10,ab,MWF-025-2022,56.6829,-110.714, 2022-06-14 15:07:00,1554.0, UC,2022-10-07 18:48:50+00:00
11,ab,MWF-034-2022,59.5952,-110.838, 2022-06-30 22:40:00,1301.6, UC,2022-10-07 18:48:50+00:00
12,ab,MWF-018-2022,59.641,-111.325, 2022-06-13 20:26:00,2942.3, UC,2022-10-07 18:48:50+00:00
13,ab,MWF-032-2022,56.4519,-110.078, 2022-06-26 22:35:00,6476.0, UC,2022-10-07 18:48:50+00:00
14,ak,Dragon,64.85,-151.019, 2022-06-21 00:00:00,5893.02, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
15,bc,2022-R21934,53.5478,-127.048, 2022-08-24 23:36:00,330.0, BH,2022-10-07 18:48:50+00:00
16,bc,2022-G61701,56.0775,-125.72, 2022-08-21 01:42:00,713.0, UC,2022-10-07 18:48:50+00:00
17,conus,Owl,45.373,-114.442, 2022-09-08 07:06:00,302.535, 100% contained,2022-10-07 18:48:50+00:00
18,conus,Mill Lake,46.312,-114.411, 2022-08-29 14:00:00,370.575, 0% contained,2022-10-07 18:48:50+00:00
19,conus,Cannon,47.716,-113.56, 2022-08-07 00:00:00,820.125, 0% contained,2022-10-07 18:48:50+00:00
20,nt,ZF060-22,63.0,-116.567, 2022-07-30 02:08:00,6488.0, OC,2022-10-07 18:48:50+00:00
21,nt,ZF009-22,61.9497,-115.335, 2022-06-19 20:30:00,41843.0, OC,2022-10-07 18:48:50+00:00
22,nt,SS018-22,60.2543,-110.493, 2022-06-16 23:06:00,25713.0, OC,2022-10-07 18:48:50+00:00
23,bc,2022-V81461,49.6559,-125.73, 2022-08-14 20:55:00,385.0, BH,2022-10-07 18:48:50+00:00
24,bc,2022-V81666,49.7011,-125.698, 2022-08-20 18:44:00,220.0, BH,2022-10-07 18:48:50+00:00
25,conus,Rum Creek,42.641,-123.628, 2022-08-17 12:00:00,8645.54, 90% contained,2022-10-07 18:48:50+00:00
26,bc,2022-N41641,51.2462,-118.05, 2022-08-20 05:02:00,157.0, BH,2022-10-07 18:48:50+00:00
27,conus,Woodtick,44.854,-114.632, 2022-07-14 17:00:00,3887.19, 50% contained,2022-10-07 18:48:50+00:00
28,ak,Billy Creek,63.685,-144.036, 2022-07-08 00:00:00,41.64, Unstaffed/Contained,2022-10-07 18:48:50+00:00
29,ak,Serpentine Creek,64.196,-144.244, 2022-07-04 00:00:00,533.78, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
30,ak,California Creek,64.375,-144.632, 2022-07-04 00:00:00,311.65, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
31,ak,Dennison Fork,63.4442,-141.962, 2022-07-04 00:00:00,398.01, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
32,ak,Gold Hub,64.3935,-145.471, 2022-07-04 00:00:00,6575.2, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
33,ak,Ladue,63.4817,-141.814, 2022-06-30 00:00:00,498.37, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
34,ak,Yukon Creek,64.7065,-145.959, 2022-06-17 00:00:00,5374.38, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
35,ak,Volkmar River,64.0816,-144.407, 2022-07-03 00:00:00,3093.53, Unstaffed/Uncontaine,2022-10-07 18:48:50+00:00
36,nt,FS034-22,61.1582,-120.633, 2022-08-18 21:45:00,879.0, OC,2022-10-07 18:48:50+00:00
37,bc,2022-N71281,49.1917,-117.084, 2022-08-12 18:50:00,294.0, BH,2022-10-07 18:48:50+00:00
38,conus,Columbus,47.689,-115.756, 2022-08-22 00:00:00,930.69, 0% contained,2022-10-07 18:48:50+00:00
39,ab,MWF-077-2022,59.2233,-110.58, 2022-08-20 18:16:00,1040.0, UC,2022-10-07 18:48:50+00:00
40,ab,MWF-087-2022,59.2026,-110.555, 2022-08-22 19:19:00,400.0, UC,2022-10-07 18:48:50+00:00
41,bc,2022-N51881,49.3487,-117.131, 2022-08-24 01:34:00,590.0, BH,2022-10-07 18:48:50+00:00
42,bc,2022-N51956,49.8559,-117.808, 2022-08-25 02:56:00,333.91, BH,2022-10-07 18:48:50+00:00
43,bc,2022-N10931,49.8679,-116.326, 2022-07-31 22:53:00,110.0, BH,2022-10-07 18:48:50+00:00
44,bc,2022-N11134,49.5575,-116.324, 2022-08-08 21:51:00,422.0, BH,2022-10-07 18:48:50+00:00
45,pc,2022GL3,51.3591,-117.657, 2022-07-29 23:56:04,135.0, OC,2022-10-07 18:48:50+00:00
46,conus,Four Corners,44.537,-116.169, 2022-08-13 10:00:00,5560.25, 96% contained,2022-10-07 18:48:50+00:00
47,bc,2022-N41661,50.8311,-117.846, 2022-08-20 18:04:00,296.0, BH,2022-10-07 18:48:50+00:00
48,ab,MWF-085-2022,59.3688,-111.162, 2022-08-22 00:20:00,11.1, UC,2022-10-07 18:48:50+00:00
49,bc,2022-G72150,56.0043,-122.719, 2022-08-30 22:49:00,31755.0, BH,2022-10-07 18:48:50+00:00
