,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,bc,2023-R21522,54.4197,-126.408, 2023-07-11 03:11:00,120.0, OC, PDT, FUL,2023-07-19 04:43:39
1,bc,2023-R21296,54.4299,-126.396, 2023-07-08 22:33:00,142.0, OC, PDT, FUL,2023-07-19 04:43:39
2,qc,597,51.7425,-78.4303, 2023-07-07 18:50:00,11163.9, OC, EDT, MON,2023-07-19 04:43:39
3,conus,Boulder Lake,47.0706,-113.82, ,741.555, 0% contained,,,2023-07-19 04:43:39
4,bc,2023-G41158,52.9571,-125.672, 2023-07-06 23:20:00,911.6, OC, PDT, FUL,2023-07-19 04:43:39
5,bc,2023-V11797,49.5068,-121.201, 2023-07-17 19:00:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
6,bc,2023-N11800,49.6724,-115.753, 2023-07-17 20:34:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
7,bc,2023-G61813,55.463,-124.15, 2023-07-17 18:14:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
8,bc,2023-V71798,49.3786,-124.726, 2023-07-17 19:12:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
9,bc,2023-N11806,49.5999,-115.73, 2023-07-17 21:23:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
10,ak,Taiya Point,59.2949,-135.419, 2023-07-13 00:00:00,0.04, Unstaffed/Contained,,,2023-07-19 04:43:39
11,sk,23SR-SOMERVILLE,59.5611,-105.078, 2023-07-17 17:53:48,10.0, OC, CST, MOD,2023-07-19 04:43:39
12,ab,HWF-136-2023,58.1771,-116.382, 2023-07-18 17:30:00,0.01, UC, MDT, FUL,2023-07-19 04:43:39
13,on,COC_FIRE_038,50.7194,-79.8475, 2023-07-05 12:49:00,12544.9, OC, GMT, MON,2023-07-19 04:43:39
14,yt,2023WL003,60.46,-125.972, 2023-06-02 16:27:00,1728.86, OC, PDT, FUL,2023-07-19 04:43:39
15,yt,2023WL007,60.7532,-130.739, 2023-06-29 23:42:00,5000.0, OC, PDT, FUL,2023-07-19 04:43:39
16,qc,581,52.7619,-78.4436, 2023-07-05 13:38:00,232.1, OC, EDT, MON,2023-07-19 04:43:39
17,qc,602,52.7772,-78.32, 2023-07-05 13:38:00,13272.8, OC, EDT, MON,2023-07-19 04:43:39
18,ab,PWF-081-2023,56.6147,-119.629, 2023-06-30 19:34:00,0.36, BH, MDT, FUL,2023-07-19 04:43:39
19,pc,2023KO5,50.7411,-115.928, 2023-07-13 02:13:50,0.09, OC, MDT, FUL,2023-07-19 04:43:39
20,yt,2023RR004,62.8167,-132.567, 2023-07-13 04:15:00,460.0, OC, PDT, FUL,2023-07-19 04:43:39
21,qc,578,51.1294,-77.0175, 2023-07-05 17:01:00,2533.0, OC, EDT, MON,2023-07-19 04:43:39
22,ab,HWF-130-2023,59.4662,-119.951, 2023-07-13 21:50:00,5373.0, OC, MDT, FUL,2023-07-19 04:43:39
23,bc,2023-V31141,49.6938,-122.915, 2023-07-05 21:15:00,21.0, UC, PDT, FUL,2023-07-19 04:43:39
24,bc,2023-G71672,55.3182,-121.823, 2023-07-14 00:28:00,1.6, UC, PDT, FUL,2023-07-19 04:43:39
25,bc,2023-G11618,53.3731,-123.164, 2023-07-13 01:39:00,25.0, BH, PDT, FUL,2023-07-19 04:43:39
26,bc,2023-C51571,52.7728,-125.58, 2023-07-12 00:54:00,1950.0, OC, PDT, FUL,2023-07-19 04:43:39
27,bc,2023-G71764,55.9044,-122.804, 2023-07-16 19:37:00,0.2, OC, PDT, FUL,2023-07-19 04:43:39
28,bc,2023-N41612,51.0832,-118.331, 2023-07-13 00:00:00,0.01, BH, PDT, FUL,2023-07-19 04:43:39
29,bc,2023-C11243,53.0419,-123.407, 2023-07-08 03:20:00,1350.0, OC, PDT, FUL,2023-07-19 04:43:39
30,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,201913.0, BH, MDT, FUL,2023-07-19 04:43:39
31,bc,2023-N21453,50.6298,-115.737, 2023-07-10 02:31:00,30.0, OC, PDT, MOD,2023-07-19 04:43:39
32,ab,GWF-049-2023,55.0754,-117.008, 2023-07-11 02:45:00,50.3, UC, MDT, FUL,2023-07-19 04:43:39
33,bc,2023-G11532,54.9614,-122.622, 2023-07-11 06:44:00,1100.0, OC, PDT, FUL,2023-07-19 04:43:39
34,bc,2023-K71535,50.6806,-122.386, 2023-07-11 14:41:00,270.0, OC, PDT, FUL,2023-07-19 04:43:39
35,bc,2023-C11290,52.8138,-122.935, 2023-07-08 20:17:00,2784.0, OC, PDT, FUL,2023-07-19 04:43:39
36,bc,2023-VA1392,52.4635,-125.979, 2023-07-09 20:24:00,0.52, UC, PDT, FUL,2023-07-19 04:43:39
37,bc,2023-V11777,49.3943,-121.458, 2023-07-17 00:32:00,0.3, BH, PDT, FUL,2023-07-19 04:43:39
38,bc,2023-R11177,53.7538,-125.915, 2023-07-07 05:55:00,0.01, UC, PDT, FUL,2023-07-19 04:43:39
39,bc,2023-G51758,54.564,-125.362, 2023-07-16 16:12:00,3.0, OC, PDT, FUL,2023-07-19 04:43:39
40,bc,2023-G81492,57.1088,-121.099, 2023-07-10 20:22:00,29.0, BH, PDT, FUL,2023-07-19 04:43:39
41,bc,2023-G71708,55.4925,-121.831, 2023-07-15 02:33:00,0.89, UC, PDT, FUL,2023-07-19 04:43:39
42,ab,PWF-103-2023,57.026,-118.363, 2023-07-17 01:41:00,100.0, OC, MDT, FUL,2023-07-19 04:43:39
43,bc,2023-R21260,54.1825,-127.795, 2023-07-08 04:39:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
44,bc,2023-G60666,55.9468,-124.545, 2023-06-08 02:14:00,50370.0, OC, PDT, FUL,2023-07-19 04:43:39
45,bc,2023-G60853,55.2402,-123.67, 2023-06-24 02:48:00,20678.0, OC, PDT, FUL,2023-07-19 04:43:39
46,on,COC_FIRE_007,48.9843,-79.6735, 2023-06-02 21:35:00,37742.0, UC, GMT, FUL,2023-07-19 04:43:39
47,on,THU_FIRE_029,48.8751,-90.7285, 2023-07-14 22:02:00,8.3, BH, GMT, FUL,2023-07-19 04:43:39
48,qc,548,56.8606,-66.1436, 2023-07-02 17:30:00,1063.8, OC, EDT, MON,2023-07-19 04:43:39
49,qc,554,56.9231,-66.0669, 2023-07-02 17:30:00,494.4, OC, EDT, MON,2023-07-19 04:43:39
50,qc,569,56.8506,-66.2858, 2023-07-02 18:01:00,761.9, OC, EDT, MON,2023-07-19 04:43:39
51,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,87492.0, UC, MDT, FUL,2023-07-19 04:43:39
52,qc,546,55.3222,-68.7828, 2023-07-02 19:50:00,2305.8, OC, EDT, MON,2023-07-19 04:43:39
53,qc,613,53.6839,-73.7864, 2023-07-08 12:00:00,1820.3, OC, EDT, MON,2023-07-19 04:43:39
54,qc,601,53.0433,-77.1397, 2023-07-07 23:00:00,146343.0, OC, EDT, MOD,2023-07-19 04:43:39
55,qc,621,52.6203,-77.0033, 2023-07-05 21:19:00,715.6, OC, EDT, MON,2023-07-19 04:43:39
56,ab,HWF-124-2023,59.0466,-117.081, 2023-07-09 17:50:00,403.0, BH, MDT, FUL,2023-07-19 04:43:39
57,qc,566,53.1794,-68.8033, 2023-07-02 19:19:00,2813.4, OC, EDT, MON,2023-07-19 04:43:39
58,ab,HWF-108-2023,58.8444,-114.344, 2023-07-05 01:13:00,3.6, UC, MDT, FUL,2023-07-19 04:43:39
59,ab,PWF-105-2023,57.71,-118.724, 2023-07-17 16:01:00,15.0, OC, MDT, FUL,2023-07-19 04:43:39
60,bc,2023-C11458,52.7738,-122.307, 2023-07-10 02:49:00,20.0, UC, PDT, FUL,2023-07-19 04:43:39
61,qc,629,58.1375,-67.4728, 2023-07-11 01:14:00,697.9, OC, EDT, MON,2023-07-19 04:43:39
62,qc,550,56.8936,-67.0472, 2023-07-03 02:54:00,19887.6, OC, EDT, MON,2023-07-19 04:43:39
63,qc,618,56.9725,-67.3606, 2023-07-08 03:59:00,11006.8, OC, EDT, MON,2023-07-19 04:43:39
64,qc,541,56.9339,-67.5817, 2023-07-03 00:25:00,389.8, OC, EDT, MON,2023-07-19 04:43:39
65,qc,556,54.8703,-70.3386, 2023-07-02 18:46:00,5814.3, OC, EDT, MON,2023-07-19 04:43:39
66,qc,560,54.8275,-70.5069, 2023-07-02 18:46:00,31.0, OC, EDT, MON,2023-07-19 04:43:39
67,qc,563,54.7289,-70.4908, 2023-07-01 19:12:00,5312.9, OC, EDT, MON,2023-07-19 04:43:39
68,qc,615,54.6356,-72.3578, 2023-07-05 19:56:00,0.1, OC, EDT, MON,2023-07-19 04:43:39
69,qc,619,54.2244,-77.3661, 2023-07-05 20:36:00,194.6, OC, EDT, MON,2023-07-19 04:43:39
70,ab,MWF-043-2023,59.7624,-111.149, 2023-06-30 17:54:00,49436.0, OC, MDT, FUL,2023-07-19 04:43:39
71,qc,612,51.9933,-66.9811, 2023-07-06 17:31:00,50.6, OC, EDT, MON,2023-07-19 04:43:39
72,qc,379,50.1667,-73.4733, 2023-06-02 15:00:00,70266.9, UC, EDT, FUL,2023-07-19 04:43:39
73,qc,540,53.4428,-72.7183, 2023-07-02 17:33:00,0.5, OC, EDT, MON,2023-07-19 04:43:39
74,qc,558,55.0558,-69.4483, 2023-07-02 19:50:00,24630.0, OC, EDT, MON,2023-07-19 04:43:39
75,qc,573,54.9439,-77.035, 2023-07-04 19:38:00,0.1, OC, EDT, MON,2023-07-19 04:43:39
76,qc,622,53.1411,-76.8372, 2023-07-05 22:33:00,448.5, OC, EDT, MON,2023-07-19 04:43:39
77,qc,624,52.9581,-76.7292, 2023-07-05 18:13:00,16170.8, OC, EDT, MON,2023-07-19 04:43:39
78,qc,490,54.8631,-70.9075, 2023-06-17 20:00:00,2170.0, OC, EDT, MON,2023-07-19 04:43:39
79,qc,555,54.8558,-71.6369, 2023-07-01 20:15:00,3597.6, OC, EDT, MON,2023-07-19 04:43:39
80,bc,2023-V11337,49.9815,-121.64, 2023-07-09 01:46:00,368.0, OC, PDT, MOD,2023-07-19 04:43:39
81,bc,2023-V81802,50.4896,-125.384, 2023-07-17 19:15:00,0.03, OC, PDT, FUL,2023-07-19 04:43:39
82,bc,2023-R41510,55.0779,-128.253, 2023-07-10 23:58:00,102.0, OC, PDT, FUL,2023-07-19 04:43:39
83,bc,2023-C11319,52.971,-124.629, 2023-07-09 00:25:00,339.0, OC, PDT, FUL,2023-07-19 04:43:39
84,bc,2023-C51753,51.4085,-124.427, 2023-07-16 05:40:00,0.75, OC, PDT, FUL,2023-07-19 04:43:39
85,ab,HWF-102-2023,58.7211,-115.859, 2023-07-03 16:31:00,1166.5, OC, MDT, FUL,2023-07-19 04:43:39
86,bc,2023-V80527,50.3705,-126.037, 2023-05-29 21:34:00,230.0, BH, PDT, FUL,2023-07-19 04:43:39
87,bc,2023-V81811,50.4964,-125.318, 2023-07-17 21:56:00,0.01, OC, PDT, FUL,2023-07-19 04:43:39
88,bc,2023-R91184,59.7033,-134.251, 2023-07-07 19:04:00,1800.0, OC, PDT, MOD,2023-07-19 04:43:39
89,bc,2023-R51555,54.9494,-128.851, 2023-07-11 22:00:00,207.0, BH, PDT, FUL,2023-07-19 04:43:39
90,bc,2023-G90358,59.1388,-120.334, 2023-05-18 00:50:00,41156.0, OC, PDT, MON,2023-07-19 04:43:39
91,bc,2023-G60861,55.3665,-124.443, 2023-06-24 04:30:00,6994.0, OC, PDT, FUL,2023-07-19 04:43:39
92,bc,2023-G60882,56.1072,-125.241, 2023-06-24 23:17:00,1261.0, BH, PDT, FUL,2023-07-19 04:43:39
93,bc,2023-VA1335,52.819,-126.649, 2023-07-09 01:38:00,1175.0, OC, PDT, MOD,2023-07-19 04:43:39
94,bc,2023-V91508,51.2033,-127.523, 2023-07-10 23:12:00,1.5, BH, PDT, MOD,2023-07-19 04:43:39
95,bc,2023-G61699,55.6614,-125.118, 2023-07-15 00:51:00,7.0, UC, PDT, FUL,2023-07-19 04:43:39
96,bc,2023-K71634,50.3474,-121.715, 2023-07-13 03:37:00,20.0, OC, PDT, FUL,2023-07-19 04:43:39
97,bc,2023-C31349,52.4453,-120.754, 2023-07-09 02:46:00,185.0, OC, PDT, FUL,2023-07-19 04:43:39
98,bc,2023-C11489,52.7992,-122.08, 2023-07-10 02:49:00,25.0, BH, PDT, FUL,2023-07-19 04:43:39
99,bc,2023-G90288,59.9636,-120.987, 2023-05-13 20:30:00,189248.0, OC, PDT, MOD,2023-07-19 04:43:39
100,ab,HWF-109-2023,59.4532,-114.159, 2023-07-05 01:35:00,20511.0, BH, MDT, FUL,2023-07-19 04:43:39
101,yt,2023MA007,63.0304,-133.854, 2023-07-18 00:26:00,2500.0, OC, PDT, FUL,2023-07-19 04:43:39
102,qc,627,51.5281,-75.645, 2023-07-09 00:45:00,159.0, UC, EDT, MON,2023-07-19 04:43:39
103,bc,2023-G60603,55.912,-123.135, 2023-06-04 16:12:00,215.0, OC, PDT, MON,2023-07-19 04:43:39
104,bc,2023-G91662,59.6037,-120.549, 2023-07-13 22:29:00,848.0, OC, PDT, MON,2023-07-19 04:43:39
