,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,on,RED_FIRE_032,52.1375,-94.6138, 2023-06-11 21:47:00,535.6, OC, GMT, FUL,2023-08-02 16:46:13
1,mb,NO043,55.8589,-94.3678, 2023-06-19 05:00:00,200.0, OC, CDT, MON,2023-08-02 16:46:13
2,nt,SS028-23,61.2914,-103.791, 2023-06-30 15:29:00,1093.0, OC, MDT, MON,2023-08-02 16:46:13
3,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC, , FUL,2023-08-02 16:46:13
4,ab,SWF-086-2023,55.1798,-114.116, 2023-05-17 02:17:00,4742.0, UC, MDT, FUL,2023-08-02 16:46:13
5,bc,2023-N40596,52.0451,-118.702, 2023-06-04 01:42:00,1138.93, UC, PDT, MOD,2023-08-02 16:46:13
6,bc,2023-G70645,55.154,-120.67, 2023-06-06 20:41:00,25095.0, BH, PDT, FUL,2023-08-02 16:46:13
7,ab,SWF-087-2023,55.2281,-114.275, 2023-05-17 02:29:00,1036.0, UC, MDT, FUL,2023-08-02 16:46:13
8,on,SLK_FIRE_070,54.4874,-91.6793, 2023-07-05 22:50:00,300.0, OC, GMT, MON,2023-08-02 16:46:13
9,ab,MWF-049-2023,59.9142,-110.114, 2023-07-06 00:01:00,10.0, BH, MDT, FUL,2023-08-02 16:46:13
10,ab,LWF-158-2023,55.9235,-110.689, 2023-06-22 16:42:00,0.01, UC, MDT, FUL,2023-08-02 16:46:13
11,on,CHA_FIRE_006,48.166,-83.8425, 2023-06-04 14:52:00,1229.0, UC, GMT, FUL,2023-08-02 16:46:13
12,bc,2023-R11170,53.6375,-125.922, 2023-07-07 02:49:00,0.1, UC, PDT, FUL,2023-08-02 16:46:13
13,ab,SWF-103-2023,56.8033,-115.089, 2023-06-21 22:36:00,40.5, UC, MDT, FUL,2023-08-02 16:46:13
14,qc,621,52.6203,-77.0033, 2023-07-05 21:19:00,715.6, OC, EDT, MON,2023-08-02 16:46:13
15,qc,379,50.1667,-73.4733, 2023-06-02 15:00:00,70266.9, UC, EDT, FUL,2023-08-02 16:46:13
16,qc,627,51.5281,-75.645, 2023-07-09 00:45:00,159.0, UC, EDT, MON,2023-08-02 16:46:13
17,bc,2023-K71032,50.6616,-123.093, 2023-07-01 18:57:00,200.0, OC, PDT, MOD,2023-08-02 16:46:13
18,qc,590,51.9708,-77.9328, 2023-07-05 14:16:00,60325.1, BH, EDT, MOD,2023-08-02 16:46:13
19,bc,2023-G91722,59.4356,-123.734, 2023-07-15 18:56:00,42.0, OC, PDT, MON,2023-08-02 16:46:13
20,pc,2023WB12,58.1171,-112.644, 2023-05-31 01:08:52,17745.0, OC, MDT, MON,2023-08-02 16:46:13
21,bc,2023-R31584,55.2668,-126.731, 2023-07-12 05:58:00,0.01, BH, PDT, FUL,2023-08-02 16:46:13
22,bc,2023-C51571,52.7728,-125.58, 2023-07-12 00:54:00,3350.0, OC, PDT, FUL,2023-08-02 16:46:13
23,nt,ZF030-23,63.0474,-116.089, 2023-07-06 22:00:00,50.0, UC, MDT, FUL,2023-08-02 16:46:13
