,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-C50014,51.5213,-124.162, 2023-04-06 16:46:00,2.0, UC,2023-04-17 02:34:36
1,ab,RWF-004-2023,52.2597,-115.232, 2023-04-09 20:46:00,0.9, UC,2023-04-17 02:34:36
2,nb,60363,45.2081,-67.0097, 2023-04-14 10:44:44,3.0, BH,2023-04-17 02:34:36
3,ab,LWF-002-2023,55.9185,-110.734, 2023-04-08 16:35:00,0.01, UC,2023-04-17 02:34:36
4,bc,2023-K50032,49.5153,-119.569, 2023-04-14 23:59:00,0.5, UC,2023-04-17 02:34:36
5,nb,60382,45.7133,-66.6057, 2023-04-14 23:17:19,0.1, BH,2023-04-17 02:34:36
6,ab,WWF-008-2023,54.5139,-114.573, 2023-04-15 23:53:00,2.0, BH,2023-04-17 02:34:36
7,pc,2023WL1,49.101,-113.845, 2023-04-14 16:18:16,100.0, OC,2023-04-17 02:34:36
8,bc,2023-K20034,50.7802,-119.732, 2023-04-15 00:34:00,11.5, UC,2023-04-17 02:34:36
9,bc,2023-G80035,56.5072,-121.957, 2023-04-15 01:48:00,62.0, BH,2023-04-17 02:34:36
10,bc,2023-K20047,50.7772,-119.73, 2023-04-16 15:51:00,0.72, UC,2023-04-17 02:34:36
11,bc,2023-C50031,52.0024,-123.161, 2023-04-14 23:29:00,16.4, UC,2023-04-17 02:34:36
12,bc,2023-K70037,50.8704,-122.829, 2023-04-15 03:57:00,13.0, UC,2023-04-17 02:34:36
13,bc,2023-K20029,50.6612,-120.54, 2023-04-14 21:24:00,3.13, UC,2023-04-17 02:34:36
14,ab,LWF-010-2023,55.9568,-110.715, 2023-04-15 21:24:00,14.0, BH,2023-04-17 02:34:36
15,ab,WWF-007-2023,54.5942,-116.783, 2023-04-15 20:22:00,3.2, UC,2023-04-17 02:34:36
16,ab,LWF-012-2023,55.9299,-110.726, 2023-04-15 23:32:00,5.18, BH,2023-04-17 02:34:36
17,bc,2023-K20046,50.8497,-120.965, 2023-04-16 03:45:00,2.0, UC,2023-04-17 02:34:36
18,bc,2023-V10048,49.3294,-121.277, 2023-04-16 00:29:00,0.01, OC,2023-04-17 02:34:36
19,ab,LWF-014-2023,55.9363,-110.72, 2023-04-16 18:58:00,0.05, BH,2023-04-17 02:34:36
20,ab,LWF-009-2023,55.9253,-110.718, 2023-04-15 19:25:00,0.2, UC,2023-04-17 02:34:36
21,ab,LWF-015-2023,55.9363,-110.726, 2023-04-16 19:30:00,0.05, BH,2023-04-17 02:34:36
22,bc,2023-K60042,50.0407,-120.85, 2023-04-16 00:13:00,10.0, UC,2023-04-17 02:34:36
23,bc,2023-K60049,50.0423,-120.844, 2023-04-16 18:36:00,0.9, UC,2023-04-17 02:34:36
24,ab,LWF-013-2023,55.9598,-110.708, 2023-04-16 18:12:00,0.9, UC,2023-04-17 02:34:36
25,ab,LWF-016-2023,55.9207,-110.739, 2023-04-16 21:00:00,1.5, OC,2023-04-17 02:34:36
26,ab,LWF-017-2023,55.9142,-110.74, 2023-04-16 21:43:00,0.03, BH,2023-04-17 02:34:36
27,nb,60462,45.6241,-66.5862, 2023-04-16 19:43:09,0.1, BH,2023-04-17 02:34:36
28,bc,2023-G80051,56.3876,-121.231, 2023-04-16 22:36:00,0.2, OC,2023-04-17 02:34:36
29,bc,2023-C50039,52.0457,-123.213, 2023-04-15 20:15:00,18.1, UC,2023-04-17 02:34:36
30,ab,SWF-005-2023,55.6002,-116.685, 2023-04-16 21:26:00,0.5, UC,2023-04-17 02:34:36
31,bc,2023-G80052,56.2967,-121.107, 2023-04-16 23:39:00,2.0, OC,2023-04-17 02:34:36
32,ab,EWF-009-2023,53.655,-115.862, 2023-04-17 00:34:00,0.5, OC,2023-04-17 02:34:36
33,ab,SWF-006-2023,55.6727,-116.405, 2023-04-16 22:20:00,0.63, UC,2023-04-17 02:34:36
34,ab,SWF-007-2023,55.5848,-116.514, 2023-04-16 22:35:00,3.5, BH,2023-04-17 02:34:36
