,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-G70168,55.6748,-120.101, 2023-05-02 22:21:00,1.0, UC,2023-05-10 20:36:41
1,bc,2023-G70170,55.8229,-120.964, 2023-05-02 23:37:00,4.1, BH,2023-05-10 20:36:41
2,bc,2023-C20093,51.9843,-122.636, 2023-04-27 00:31:00,60.0, UC,2023-05-10 20:36:41
3,ns,05-05-2023,44.341,-65.9681, 2023-05-04 06:00:00,1.0, UC,2023-05-10 20:36:41
4,ab,GWF-015-2023,55.6533,-119.007, 2023-05-01 02:25:00,7.4, UC,2023-05-10 20:36:41
5,pc,2023BA2,51.1985,-115.542, 2023-04-28 23:01:35,24.0, UC,2023-05-10 20:36:41
6,ab,WWF-021-2023,54.6023,-116.283, 2023-05-04 17:09:00,0.01, UC,2023-05-10 20:36:41
7,bc,2023-K70092,50.762,-122.783, 2023-04-26 23:51:00,7.7, UC,2023-05-10 20:36:41
8,pc,2023PA1,53.908,-106.08, 2023-04-29 22:03:29,40.0, UC,2023-05-10 20:36:41
9,ab,LWF-040-2023,55.944,-110.736, 2023-04-23 21:26:00,150.0, BH,2023-05-10 20:36:41
10,pc,2023RM1,50.6668,-100.061, 2023-05-02 23:27:57,115.3, UC,2023-05-10 20:36:41
11,pc,2023BA3,51.2073,-115.535, 2023-05-04 19:43:17,3.3, BH,2023-05-10 20:36:41
12,ab,GWF-016-2023,55.791,-119.192, 2023-05-04 00:13:00,3.0, UC,2023-05-10 20:36:41
13,ab,MWF-010-2023,56.9355,-111.549, 2023-05-03 18:24:00,18.7, UC,2023-05-10 20:36:41
14,ab,PWF-030-2023,56.4765,-116.418, 2023-05-05 04:40:00,0.5, UC,2023-05-10 20:36:41
15,bc,2023-G70189,55.8808,-120.245, 2023-05-03 23:49:00,63.0, UC,2023-05-10 20:36:41
16,ab,PWF-031-2023,56.4923,-116.503, 2023-05-05 11:50:00,0.25, UC,2023-05-10 20:36:41
17,pc,2023WL2,49.0793,-113.844, 2023-04-29 16:56:15,240.0, OC,2023-05-10 20:36:41
18,ab,PWF-025-2023,56.2657,-117.33, 2023-05-03 22:38:00,1.8, UC,2023-05-10 20:36:41
19,ab,GWF-011-2023,54.777,-118.701, 2023-04-30 00:56:00,0.8, UC,2023-05-10 20:36:41
20,ab,GWF-021-2023,54.592,-118.305, 2023-05-05 20:50:00,0.01, UC,2023-05-10 20:36:41
21,bc,2023-C40109,51.2228,-121.561, 2023-04-28 21:06:00,10.5, UC,2023-05-10 20:36:41
22,ab,EWF-015-2023,53.6828,-115.948, 2023-04-29 20:20:00,46.57, UC,2023-05-10 20:36:41
23,ab,PWF-027-2023,56.4153,-118.698, 2023-05-04 03:19:00,0.4, BH,2023-05-10 20:36:41
24,bc,2023-C50100,52.0351,-123.177, 2023-04-27 21:19:00,209.0, UC,2023-05-10 20:36:41
25,ab,PWF-029-2023,56.3787,-119.316, 2023-05-05 03:06:00,0.1, BH,2023-05-10 20:36:41
26,bc,2023-N10166,49.6537,-116.035, 2023-05-02 20:04:00,3.0, UC,2023-05-10 20:36:41
27,bc,2023-N50196,49.4189,-117.608, 2023-05-04 01:25:00,3.5, UC,2023-05-10 20:36:41
28,bc,2023-G30213,52.999,-119.303, 2023-05-05 03:49:00,0.01, UC,2023-05-10 20:36:41
29,ab,PWF-032-2023,56.3237,-117.654, 2023-05-05 18:25:00,0.01, BH,2023-05-10 20:36:41
30,bc,2023-V50205,49.8282,-124.131, 2023-05-04 20:58:00,1.2, UC,2023-05-10 20:36:41
31,bc,2023-G80175,56.558,-121.921, 2023-05-03 04:05:00,280.0, OC,2023-05-10 20:36:41
32,bc,2023-G80164,56.5127,-121.964, 2023-05-02 03:29:00,4.0, UC,2023-05-10 20:36:41
33,ab,RWF-012-2023,52.4403,-115.374, 2023-04-28 16:30:00,46.0, UC,2023-05-10 20:36:41
34,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC,2023-05-10 20:36:41
35,bc,2023-G40218,53.9965,-123.819, 2023-05-05 21:07:00,0.2, UC,2023-05-10 20:36:41
36,bc,2023-G10177,53.7618,-122.713, 2023-05-03 18:15:00,2.0, UC,2023-05-10 20:36:41
37,ab,EWF-025-2023,53.4829,-115.224, 2023-05-02 20:26:00,1.8, UC,2023-05-10 20:36:41
38,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:47:00,80.0, OC,2023-05-10 20:36:41
39,ab,PWF-035-2023,56.537,-118.874, 2023-05-05 20:30:00,0.3, BH,2023-05-10 20:36:41
40,ab,SWF-068-2023,55.8778,-116.408, 2023-05-05 19:12:00,23706.0, OC,2023-05-10 20:36:41
41,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,3.0, OC,2023-05-10 20:36:41
42,ab,EWF-041-2023,53.941,-117.82, 2023-05-06 17:20:00,2.5, OC,2023-05-10 20:36:41
43,ab,EWF-042-2023,53.9295,-117.792, 2023-05-06 17:26:00,4.0, OC,2023-05-10 20:36:41
44,ab,PMD-002-2023,56.1576,-118.106, 2023-05-02 00:18:00,2.5, BH,2023-05-10 20:36:41
45,ab,HWF-030-2023,58.468,-114.484, 2023-05-02 21:29:00,16400.0, OC,2023-05-10 20:36:41
46,ab,WWF-017-2023,54.4422,-116.779, 2023-05-04 01:45:00,4.0, UC,2023-05-10 20:36:41
47,ab,PWF-033-2023,56.2557,-118.21, 2023-05-05 19:19:00,1.0, BH,2023-05-10 20:36:41
48,ab,PWF-037-2023,56.2736,-118.343, 2023-05-06 00:34:00,1.0, BH,2023-05-10 20:36:41
49,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,2200.0, OC,2023-05-10 20:36:41
50,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, BH,2023-05-10 20:36:41
51,ab,WWF-024-2023,54.2404,-116.057, 2023-05-06 22:37:00,3.0, UC,2023-05-10 20:36:41
52,sk,23WY-MOLLY,54.5023,-105.559, 2023-05-04 14:07:09,19.8, UC,2023-05-10 20:36:41
53,sk,23LF-ROCKY,53.7017,-104.596, 2023-05-02 14:27:34,882.0, UC,2023-05-10 20:36:41
54,mb,EA006,49.6353,-95.6661, 2023-05-04 05:00:00,13.0, UC,2023-05-10 20:36:41
55,ab,PWF-038-2023,56.3832,-116.808, 2023-05-06 05:24:00,6219.0, OC,2023-05-10 20:36:41
56,mb,EA008,51.7136,-98.6169, 2023-05-06 05:00:00,327.5, UC,2023-05-10 20:36:41
57,ab,SWF-057-2023,55.0343,-115.148, 2023-05-04 18:04:00,8136.0, OC,2023-05-10 20:36:41
58,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC,2023-05-10 20:36:41
59,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,2023-05-10 20:36:41
60,bc,2023-C40128,51.3709,-120.999, 2023-04-29 19:57:00,113.0, UC,2023-05-10 20:36:41
61,bc,2023-V50198,49.8332,-124.106, 2023-05-04 02:44:00,1.36, UC,2023-05-10 20:36:41
62,ab,RWF-039-2023,52.8328,-114.919, 2023-05-05 20:45:00,2.5, UC,2023-05-10 20:36:41
63,nt,SS002-23,60.0154,-112.165, 2023-05-05 22:45:00,28.5, UC,2023-05-10 20:36:41
64,bc,2023-G70131,55.4533,-120.059, 2023-04-29 21:10:00,10.0, UC,2023-05-10 20:36:41
65,ab,GWF-023-2023,55.1575,-117.331, 2023-05-06 21:14:00,1189.0, OC,2023-05-10 20:36:41
66,ab,GWF-018-2023,56.2818,-119.162, 2023-05-05 19:25:00,10508.0, OC,2023-05-10 20:36:41
67,ab,RWF-031-2023,52.3649,-115.901, 2023-05-04 22:00:00,80.0, BH,2023-05-10 20:36:41
68,ab,LCU-003-2023,54.8075,-113.08, 2023-05-03 22:55:00,2553.1, BH,2023-05-10 20:36:41
69,ab,GWF-017-2023,55.0666,-117.391, 2023-05-05 18:04:00,3765.0, OC,2023-05-10 20:36:41
70,ab,GWF-019-2023,54.7357,-119.033, 2023-05-05 20:57:00,8362.0, OC,2023-05-10 20:36:41
71,bc,2023-G80222,56.1278,-120.258, 2023-05-05 22:34:00,15.0, BH,2023-05-10 20:36:41
72,bc,2023-G80122,56.7135,-121.082, 2023-04-29 02:53:00,154.0, UC,2023-05-10 20:36:41
73,ab,EWF-045-2023,53.6565,-116.571, 2023-05-07 21:00:00,0.01, UC,2023-05-10 20:36:41
74,bc,2023-G80190,56.3376,-121.101, 2023-05-03 23:46:00,60.0, UC,2023-05-10 20:36:41
75,ab,WWF-023-2023,54.3939,-116.341, 2023-05-05 20:03:00,21568.0, OC,2023-05-10 20:36:41
76,ab,PWF-028-2023,56.4769,-116.413, 2023-05-05 02:00:00,0.8, UC,2023-05-10 20:36:41
77,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:58:00,30.0, BH,2023-05-10 20:36:41
78,ab,LWF-090-2023,54.828,-113.585, 2023-05-04 19:18:00,0.16, UC,2023-05-10 20:36:41
79,sk,23DN-BIIR03,54.4123,-109.603, 2023-05-06 17:54:01,5.5, UC,2023-05-10 20:36:41
80,sk,23PA-LILLY,53.0138,-106.191, 2023-04-29 17:55:27,754.0, UC,2023-05-10 20:36:41
81,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,5900.0, OC,2023-05-10 20:36:41
82,ak,DTAE Willis Rx,63.9873,-145.748, 2023-04-21 00:00:00,68.8, Pre,2023-05-10 20:36:41
83,ab,WWF-020-2023,54.5988,-116.386, 2023-05-04 16:57:00,0.01, UC,2023-05-10 20:36:41
84,mb,EA007,52.3658,-97.0283, 2023-05-05 05:00:00,12.4, UC,2023-05-10 20:36:41
85,ab,EWF-043-2023,53.9218,-117.655, 2023-05-06 19:00:00,4.0, OC,2023-05-10 20:36:41
86,bc,2023-G70226,56.0744,-120.73, 2023-05-05 23:49:00,3.4, UC,2023-05-10 20:36:41
87,mb,WE002,54.0506,-100.949, 2023-05-07 05:00:00,0.1, UC,2023-05-10 20:36:41
88,bc,2023-V60249,48.7879,-124.127, 2023-05-08 21:17:00,0.01, OC,2023-05-10 20:36:41
89,ab,LWF-023-2023,55.9246,-110.691, 2023-04-18 18:45:00,0.01, BH,2023-05-10 20:36:41
90,ab,SWF-072-2023,55.296,-116.671, 2023-05-08 22:25:00,0.01, BH,2023-05-10 20:36:41
91,sk,23DN-REDMOND LAKE,54.4281,-108.324, 2023-05-08 19:24:47,1.0, OC,2023-05-10 20:36:41
92,sk,23PA-LRRIR01,53.4543,-105.847, 2023-05-08 10:03:08,9.0, UC,2023-05-10 20:36:41
93,ak,Trout Creek,65.0973,-141.639, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,2023-05-10 20:36:41
94,ak,Windfall Mountain,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,2023-05-10 20:36:41
95,ak,DTAE Bolio Rx,63.8623,-145.903, 2023-04-21 00:00:00,364.22, Pre,2023-05-10 20:36:41
96,ab,PWF-039-2023,56.3872,-117.246, 2023-05-09 05:21:00,0.01, UC,2023-05-10 20:36:41
97,ab,SWF-066-2023,55.9142,-113.913, 2023-05-05 17:43:00,0.2, UC,2023-05-10 20:36:41
98,mb,WE003,53.8686,-101.37, 2023-05-08 05:00:00,0.6, UC,2023-05-10 20:36:41
99,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2400.0, OC,2023-05-10 20:36:41
100,on,KEN_FIRE_005,50.1902,-94.9297, 2023-05-06 18:35:00,0.3, UC,2023-05-10 20:36:41
101,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, BH,2023-05-10 20:36:41
102,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,370.0, BH,2023-05-10 20:36:41
103,bc,2023-G70169,55.9185,-121.592, 2023-05-02 23:24:00,8.0, UC,2023-05-10 20:36:41
104,bc,2023-G70182,55.7138,-121.507, 2023-05-03 21:08:00,1.09, UC,2023-05-10 20:36:41
105,ab,GWF-022-2023,54.8389,-118.957, 2023-05-06 20:41:00,15.0, UC,2023-05-10 20:36:41
106,bc,2023-N70201,50.6099,-117.015, 2023-05-04 03:08:00,13.0, BH,2023-05-10 20:36:41
107,ab,SWF-059-2023,56.0543,-115.008, 2023-05-04 22:00:00,1036.0, OC,2023-05-10 20:36:41
108,sk,23WY-MEYAK,54.8219,-105.766, 2023-05-07 14:47:25,87.0, UC,2023-05-10 20:36:41
109,on,SLK_PB_001,51.2342,-90.2378, 2023-05-09 16:11:00,6.0, BH,2023-05-10 20:36:41
110,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,69074.0, OC,2023-05-10 20:36:41
111,sk,23BN-VERMETTE,55.6443,-109.219, 2023-04-29 19:52:08,22348.0, OC,2023-05-10 20:36:41
112,sk,23DN-WHIR05,54.426,-108.324, 2023-05-08 19:24:47,0.6, UC,2023-05-10 20:36:41
113,ab,HWF-042-2023,58.4202,-116.123, 2023-05-06 18:53:00,181.7, BH,2023-05-10 20:36:41
114,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, BH,2023-05-10 20:36:41
115,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,120.0, UC,2023-05-10 20:36:41
116,bc,2023-N70231,49.6744,-116.941, 2023-05-06 00:32:00,0.01, OC,2023-05-10 20:36:41
117,yt,2023HJ002,60.774,-137.575, 2023-05-09 17:16:00,5.76, BH,2023-05-10 20:36:41
118,sk,23LX-SCRUB2,55.1499,-107.617, 2023-05-08 17:43:07,0.0, OC,2023-05-10 20:36:41
119,ab,MWF-013-2023,57.241,-112.033, 2023-05-09 20:47:00,0.53, UC,2023-05-10 20:36:41
120,sk,23BN-BRIR01,55.9044,-108.914, 2023-05-01 13:48:10,36.0, OC,2023-05-10 20:36:41
121,sk,23LX-SHAW,55.5584,-108.38, 2023-05-04 17:17:17,5244.0, OC,2023-05-10 20:36:41
122,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:40:00,1.2, BH,2023-05-10 20:36:41
123,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2900.0, OC,2023-05-10 20:36:41
124,ab,WCU-001-2023,53.5614,-114.903, 2023-04-29 22:40:00,7254.0, OC,2023-05-10 20:36:41
125,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,22220.0, OC,2023-05-10 20:36:41
126,on,RED_FIRE_001,51.8098,-93.9853, 2023-05-09 21:35:00,0.1, UC,2023-05-10 20:36:41
127,sk,23DN-LL01,53.9271,-109.232, 2023-05-06 14:07:33,4.4, UC,2023-05-10 20:36:41
128,ab,PWF-040-2023,57.9487,-117.495, 2023-05-09 19:43:00,3.02, UC,2023-05-10 20:36:41
129,sk,23LX-PERCH,55.4281,-107.772, 2023-05-08 13:26:16,6.0, UC,2023-05-10 20:36:41
130,qc,50,47.4403,-79.5022, 2023-05-07 17:00:00,2.0, UC,2023-05-10 20:36:41
131,mb,EA010,51.9231,-99.5408, 2023-05-07 05:00:00,10.0, UC,2023-05-10 20:36:41
132,qc,55,48.7572,-71.7775, 2023-05-09 17:00:00,0.2, UC,2023-05-10 20:36:41
133,ab,LWF-038-2023,55.9048,-110.766, 2023-04-23 18:13:00,56.7, BH,2023-05-10 20:36:41
134,mb,WE004,53.7106,-100.334, 2023-05-08 05:00:00,2.0, UC,2023-05-10 20:36:41
135,ab,HWF-036-2023,58.4906,-119.403, 2023-05-03 22:26:00,18946.0, OC,2023-05-10 20:36:41
136,nb,61383,45.1023,-66.6734, 2023-05-10 13:04:19,1.5, BH,2023-05-10 20:36:41
137,on,THU_PB_001,48.3318,-89.2188, 2023-05-09 15:23:00,5.5, BH,2023-05-10 20:36:41
138,ab,SWF-060-2023,55.9564,-115.056, 2023-05-04 22:09:00,16680.0, OC,2023-05-10 20:36:41
139,ab,EWF-035-2023,53.8368,-115.783, 2023-05-05 20:03:00,5332.0, OC,2023-05-10 20:36:41
140,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,82666.3, OC,2023-05-10 20:36:41
141,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,216.0, BH,2023-05-10 20:36:41
142,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,67042.5, OC,2023-05-10 20:36:41
143,qc,59,46.1678,-76.0067, 2023-05-10 18:00:00,0.2, BH,2023-05-10 20:36:41
144,bc,2023-C50254,52.4584,-125.283, 2023-05-10 03:22:00,1.0, UC,2023-05-10 20:36:41
145,ab,LWF-108-2023,55.9256,-110.727, 2023-05-10 03:15:00,0.01, UC,2023-05-10 20:36:41
146,ns,04-017-2023,43.7412,-65.8081, 2023-05-10 06:00:00,2.5, OC,2023-05-10 20:36:41
147,ns,04-018-2023,43.8646,-66.1392, 2023-05-10 07:00:00,2.5, UC,2023-05-10 20:36:41
148,ns,02-008-2023,44.1632,-64.6656, 2023-05-10 20:00:00,0.25, UC,2023-05-10 20:36:41
149,bc,2023-G30256,53.473,-120.395, 2023-05-10 18:20:00,0.01, UC,2023-05-10 20:36:41
150,bc,2023-K40216,50.8495,-118.542, 2023-05-05 19:06:00,12.5, UC,2023-05-10 20:36:41
151,ab,SWF-073-2023,55.6062,-115.368, 2023-05-10 20:15:00,0.01, OC,2023-05-10 20:36:41
