,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,NO009,56.3153,-94.8283, 2022-07-06 05:00:00,145.5, UC,2022-07-26 22:41:35+00:00
1,yt,2022WL003,61.7075,-129.21, 2022-06-30 00:00:00,400.0, OC,2022-07-26 22:41:35+00:00
2,yt,2022RR025,62.8761,-133.282, 2022-07-10 01:20:00,969.0, OC,2022-07-26 22:41:35+00:00
3,yt,2022DA006,63.4051,-138.27, 2022-06-20 04:03:00,900.0, OC,2022-07-26 22:41:35+00:00
4,yt,2022TE001,60.7857,-131.676, 2022-06-29 18:00:00,20.0, OC,2022-07-26 22:41:35+00:00
5,yt,2022BC005,62.5293,-139.482, 2022-07-05 04:17:00,15.0, OC,2022-07-26 22:41:35+00:00
6,yt,2022CA003,62.7519,-136.771, 2022-06-22 00:55:00,186.0, UC,2022-07-26 22:41:35+00:00
7,yt,2022TE009,60.1545,-132.23, 2022-07-06 01:58:00,8.0, OC,2022-07-26 22:41:35+00:00
8,yt,2022MA047,65.9981,-134.995, 2022-07-07 03:55:00,1600.0, OC,2022-07-26 22:41:35+00:00
9,yt,2022DA032,65.5438,-136.627, 2022-07-08 00:00:00,1000.0, OC,2022-07-26 22:41:35+00:00
10,yt,2022WL029,60.9762,-127.466, 2022-07-08 23:30:00,1700.0, OC,2022-07-26 22:41:35+00:00
11,yt,2022RR018,61.9027,-132.338, 2022-07-05 23:54:00,10.0, UC,2022-07-26 22:41:35+00:00
12,yt,2022RR026,62.8405,-132.741, 2022-07-10 01:35:00,1805.0, OC,2022-07-26 22:41:35+00:00
13,yt,2022RR016,62.9173,-132.534, 2022-07-05 06:20:00,143.0, OC,2022-07-26 22:41:35+00:00
14,yt,2022RR024,61.605,-130.519, 2022-07-08 23:17:00,103.0, OC,2022-07-26 22:41:35+00:00
15,nt,VQ025-22,64.6641,-120.91, 2022-07-08 15:00:00,12869.0, OC,2022-07-26 22:41:35+00:00
16,yt,2022MA004,63.8349,-134.909, 2022-06-23 21:08:00,53.5, UC,2022-07-26 22:41:35+00:00
17,yt,2022RR038,63.4162,-131.989, 2022-07-12 00:48:00,229.87, OC,2022-07-26 22:41:35+00:00
18,yt,2022WL009,60.7462,-129.906, 2022-07-02 05:10:00,440.0, OC,2022-07-26 22:41:35+00:00
19,yt,2022WL012,61.2143,-128.315, 2022-07-03 05:42:00,160.0, OC,2022-07-26 22:41:35+00:00
20,yt,2022RR030,62.4799,-129.889, 2022-07-10 04:40:00,2000.0, OC,2022-07-26 22:41:35+00:00
21,yt,2022MA038,63.6198,-132.733, 2022-07-04 18:37:00,1000.0, OC,2022-07-26 22:41:35+00:00
22,yt,2022RR004,62.3642,-133.939, 2022-06-30 03:45:00,15.0, BH,2022-07-26 22:41:35+00:00
23,yt,2022RR013,61.7118,-130.721, 2022-07-03 22:40:00,551.0, OC,2022-07-26 22:41:35+00:00
24,yt,2022OC006,66.6566,-139.539, 2022-07-06 22:12:00,4000.0, OC,2022-07-26 22:41:35+00:00
25,yt,2022DA028,63.7703,-139.68, 2022-07-07 01:39:00,10.0, OC,2022-07-26 22:41:35+00:00
26,mb,NO020,58.6767,-100.594, 2022-07-13 05:00:00,144.0, OC,2022-07-26 22:41:35+00:00
27,yt,2022MA024,63.3937,-135.971, 2022-07-03 00:20:00,40.0, UC,2022-07-26 22:41:35+00:00
28,yt,2022MA032,64.1254,-135.52, 2022-07-04 20:44:00,846.0, OC,2022-07-26 22:41:35+00:00
29,yt,2022MA010,63.2032,-136.198, 2022-06-30 23:47:00,51.0, OC,2022-07-26 22:41:35+00:00
30,yt,2022CA010,62.33,-135.654, 2022-06-30 02:04:00,200.0, OC,2022-07-26 22:41:35+00:00
31,yt,2022XY017,60.3088,-135.543, 2022-07-05 00:36:00,1.81, OC,2022-07-26 22:41:35+00:00
32,nt,SS046-22,61.2833,-106.95, 2022-07-07 21:05:00,50.0, OC,2022-07-26 22:41:35+00:00
