,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2022-N11880,49.6122,-115.521, 2022-08-24 01:29:00,2.81, BH,2022-09-19 16:49:17+00:00
1,bc,2022-V11989,49.915,-121.391, 2022-08-26 00:34:00,62.0, UC,2022-09-19 16:49:17+00:00
2,mb,NO110,53.9306,-94.7225, 2022-09-08 05:00:00,2.0, OC,2022-09-19 16:49:17+00:00
3,mb,NO107,54.6086,-97.8136, 2022-09-06 05:00:00,1.0, UC,2022-09-19 16:49:17+00:00
4,yt,2022XY027,60.593,-135.017, 2022-09-12 20:41:00,0.0, OC,2022-09-19 16:49:17+00:00
5,mb,NO106,53.8483,-94.755, 2022-09-05 05:00:00,0.2, UC,2022-09-19 16:49:17+00:00
6,nt,SS081-22,60.4808,-106.097, 2022-08-29 15:22:00,73.0, OC,2022-09-19 16:49:17+00:00
7,bc,2022-V50688,50.8448,-124.68, 2022-07-23 19:35:00,39.02, OC,2022-09-19 16:49:17+00:00
8,bc,2022-N41303,50.9282,-117.866, 2022-08-12 22:24:00,360.0, OC,2022-09-19 16:49:17+00:00
9,conus,Quartz,48.854,-114.025, 2022-08-14 10:15:00,802.305, 0% contained,2022-09-19 16:49:17+00:00
10,sk,22DB-CLEMENT,55.7021,-103.302, 2022-09-11 23:50:18,4.0, OC,2022-09-19 16:49:17+00:00
11,bc,2022-N41057,51.183,-118.085, 2022-08-04 02:43:00,379.0, OC,2022-09-19 16:49:17+00:00
12,bc,2022-N41922,51.5271,-118.173, 2022-08-24 22:12:00,1.7, BH,2022-09-19 16:49:17+00:00
13,conus,Potter,43.375,-122.343, 2022-07-31 09:00:00,255.96, 99% contained,2022-09-19 16:49:17+00:00
14,conus,Sawtell Peak,44.54,-111.404, 2022-08-31 13:22:00,14.985, 100% contained,2022-09-19 16:49:17+00:00
15,mb,NO104,54.1672,-94.3461, 2022-09-05 05:00:00,30.0, OC,2022-09-19 16:49:17+00:00
16,mb,NO109,53.8692,-94.6367, 2022-09-07 05:00:00,0.1, OC,2022-09-19 16:49:17+00:00
17,ak,Biederman,65.3239,-142.643, 2022-07-04 00:00:00,2727.09, Unstaffed/Uncontaine,2022-09-19 16:49:17+00:00
18,bc,2022-K62235,49.4291,-120.933, 2022-09-03 01:10:00,120.0, OC,2022-09-19 16:49:17+00:00
19,bc,2022-N11134,49.5575,-116.324, 2022-08-08 21:51:00,422.0, OC,2022-09-19 16:49:17+00:00
20,bc,2022-V12294,49.0701,-120.686, 2022-09-05 23:51:00,0.01, OC,2022-09-19 16:49:17+00:00
21,bc,2022-V12280,49.0023,-121.118, 2022-09-05 21:27:00,0.3, UC,2022-09-19 16:49:17+00:00
