,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
582,bc,2023-G71478,54.7269,-120.136, 2023-07-10 15:31:00,8.6, BH, PDT, FUL,2023-07-17 04:43:01
583,bc,2023-G41593,53.4824,-125.035, 2023-07-12 19:23:00,35.0, OC, PDT, MON,2023-07-17 04:43:01
584,bc,2023-N11498,49.0823,-115.102, 2023-07-10 21:33:00,0.8, UC, PDT, FUL,2023-07-17 04:43:01
585,pc,2023NA2,60.9682,-126.681, 2023-06-29 00:23:39,1400.0, OC, MDT, MON,2023-07-17 04:43:01
586,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,12073.4, UC, MDT, FUL,2023-07-17 04:43:01
587,ab,PWF-099-2023,56.7007,-118.746, 2023-07-12 21:34:00,0.01, BH, MDT, FUL,2023-07-17 04:43:01
588,bc,2023-G50856,55.8798,-126.401, 2023-06-24 03:36:00,4613.1, OC, PDT, FUL,2023-07-17 04:43:01
589,bc,2023-G41149,54.2119,-124.284, 2023-07-06 00:20:00,501.1, OC, PDT, FUL,2023-07-17 04:43:01
590,bc,2023-G41158,52.9571,-125.672, 2023-07-06 23:20:00,911.6, OC, PDT, FUL,2023-07-17 04:43:01
591,bc,2023-G41165,52.9437,-125.759, 2023-07-07 01:32:00,49.4, OC, PDT, FUL,2023-07-17 04:43:01
592,bc,2023-G51279,54.4218,-123.649, 2023-07-08 18:00:00,938.3, OC, PDT, FUL,2023-07-17 04:43:01
593,bc,2023-G41304,53.6897,-124.133, 2023-07-08 23:14:00,18.7, OC, PDT, FUL,2023-07-17 04:43:01
594,bc,2023-G41307,53.591,-124.152, 2023-07-08 23:25:00,4836.5, OC, PDT, FUL,2023-07-17 04:43:01
595,bc,2023-G51344,54.7485,-123.871, 2023-07-09 02:16:00,339.6, OC, PDT, FUL,2023-07-17 04:43:01
596,bc,2023-G41380,53.536,-125.219, 2023-07-09 17:21:00,517.4, OC, PDT, FUL,2023-07-17 04:43:01
597,bc,2023-G41509,53.5284,-125.05, 2023-07-10 23:22:00,88.5, OC, PDT, MON,2023-07-17 04:43:01
598,bc,2023-G91534,59.4272,-121.031, 2023-07-11 07:02:00,430.0, OC, PDT, MON,2023-07-17 04:43:01
599,bc,2023-G51564,54.5447,-125.033, 2023-07-11 23:06:00,61.1, OC, PDT, FUL,2023-07-17 04:43:01
600,bc,2023-G41569,53.675,-124.334, 2023-07-12 00:41:00,189.3, OC, PDT, FUL,2023-07-17 04:43:01
601,ab,PWF-101-2023,56.7211,-117.794, 2023-07-13 00:11:00,0.4, UC, MDT, FUL,2023-07-17 04:43:01
602,bc,2023-G60861,55.3665,-124.443, 2023-06-24 04:30:00,4611.7, OC, PDT, FUL,2023-07-17 04:43:01
603,bc,2023-G11360,53.5169,-122.572, 2023-07-09 03:19:00,2.5, UC, PDT, FUL,2023-07-17 04:43:01
604,bc,2023-G41588,54.1859,-124.933, 2023-07-12 16:46:00,10.0, OC, PDT, MON,2023-07-17 04:43:01
605,bc,2023-G41606,53.4468,-124.41, 2023-07-12 23:11:00,5.0, OC, PDT, FUL,2023-07-17 04:43:01
606,bc,2023-G51614,55.5547,-125.129, 2023-07-13 00:15:00,4.0, OC, PDT, MON,2023-07-17 04:43:01
607,qc,598,52.4825,-78.2353, 2023-07-05 13:38:00,214.7, OC, EDT, MON,2023-07-17 04:43:01
608,qc,605,52.7547,-76.9689, 2023-07-05 22:17:00,687.5, OC, EDT, MON,2023-07-17 04:43:01
609,ab,PWF-082-2023,56.9507,-119.776, 2023-06-30 21:50:00,7104.5, OC, MDT, FUL,2023-07-17 04:43:01
610,ab,PWF-091-2023,56.7153,-118.502, 2023-07-08 21:51:00,184.7, OC, MDT, FUL,2023-07-17 04:43:01
611,ab,PWF-074-2023,56.4525,-116.18, 2023-06-28 21:46:00,101.2, BH, MDT, FUL,2023-07-17 04:43:01
612,ab,PWF-093-2023,57.9827,-119.968, 2023-07-09 00:40:00,538.5, OC, MDT, FUL,2023-07-17 04:43:01
