,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,NO112,55.3939,-98.0172, 2022-09-10 05:00:00,0.1, UC,2022-10-08 21:50:12+00:00
1,mb,NO116,54.565,-95.2881, 2022-09-14 05:00:00,0.2, OC,2022-10-08 21:50:12+00:00
2,mb,WE050,55.1089,-101.879, 2022-07-20 05:00:00,7154.0, UC,2022-10-08 21:50:12+00:00
3,mb,NO115,54.9064,-98.3197, 2022-09-14 05:00:00,0.2, OC,2022-10-08 21:50:12+00:00
4,nt,SS073-22,60.3,-118.367, 2022-08-19 00:15:00,14170.0, OC,2022-10-08 21:50:12+00:00
5,ak,Goose,66.8761,-143.888, 2022-06-29 00:00:00,4465.86, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
6,ak,Chitanana,64.8753,-151.641, 2022-06-19 00:00:00,35266.4, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
7,pc,2022JA6,53.0511,-118.147, 2022-09-01 15:55:30,6000.0, BH,2022-10-08 21:50:12+00:00
8,ab,MWF-025-2022,56.6829,-110.714, 2022-06-14 15:07:00,1554.0, UC,2022-10-08 21:50:12+00:00
9,ab,MWF-018-2022,59.641,-111.325, 2022-06-13 20:26:00,2942.3, UC,2022-10-08 21:50:12+00:00
10,ab,MWF-034-2022,59.5952,-110.838, 2022-06-30 22:40:00,1301.6, UC,2022-10-08 21:50:12+00:00
11,ab,MWF-032-2022,56.4519,-110.078, 2022-06-26 22:35:00,6476.0, UC,2022-10-08 21:50:12+00:00
12,ak,Dragon,64.85,-151.019, 2022-06-21 00:00:00,5893.02, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
13,bc,2022-G61701,56.0775,-125.72, 2022-08-21 01:42:00,713.0, UC,2022-10-08 21:50:12+00:00
14,conus,Owl,45.373,-114.442, 2022-09-08 07:06:00,302.535, 100% contained,2022-10-08 21:50:12+00:00
15,conus,Mill Lake,46.312,-114.411, 2022-08-29 14:00:00,370.575, 0% contained,2022-10-08 21:50:12+00:00
16,conus,Cannon,47.716,-113.56, 2022-08-07 00:00:00,820.125, 0% contained,2022-10-08 21:50:12+00:00
17,nt,ZF060-22,63.0,-116.567, 2022-07-30 02:08:00,6488.0, OC,2022-10-08 21:50:12+00:00
18,nt,ZF009-22,61.9497,-115.335, 2022-06-19 20:30:00,41843.0, OC,2022-10-08 21:50:12+00:00
19,nt,SS018-22,60.2543,-110.493, 2022-06-16 23:06:00,25713.0, OC,2022-10-08 21:50:12+00:00
20,bc,2022-V81461,49.6559,-125.73, 2022-08-14 20:55:00,385.0, BH,2022-10-08 21:50:12+00:00
21,bc,2022-V81666,49.7011,-125.698, 2022-08-20 18:44:00,220.0, BH,2022-10-08 21:50:12+00:00
22,bc,2022-N41641,51.2462,-118.05, 2022-08-20 05:02:00,157.0, BH,2022-10-08 21:50:12+00:00
23,conus,Woodtick,44.854,-114.632, 2022-07-14 17:00:00,3887.19, 50% contained,2022-10-08 21:50:12+00:00
24,ak,California Creek,64.375,-144.632, 2022-07-04 00:00:00,311.65, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
25,ak,Serpentine Creek,64.196,-144.244, 2022-07-04 00:00:00,533.78, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
26,ak,Gold Hub,64.3935,-145.471, 2022-07-04 00:00:00,6575.2, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
27,ak,Dennison Fork,63.4442,-141.962, 2022-07-04 00:00:00,398.01, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
28,ak,Yukon Creek,64.7065,-145.959, 2022-06-17 00:00:00,5374.38, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
29,ak,Volkmar River,64.0816,-144.407, 2022-07-03 00:00:00,3093.53, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
30,ak,Ladue,63.4817,-141.814, 2022-06-30 00:00:00,498.37, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
31,nt,FS034-22,61.1582,-120.633, 2022-08-18 21:45:00,879.0, OC,2022-10-08 21:50:12+00:00
32,bc,2022-N71281,49.1917,-117.084, 2022-08-12 18:50:00,294.0, BH,2022-10-08 21:50:12+00:00
33,conus,Columbus,47.689,-115.756, 2022-08-22 00:00:00,930.69, 0% contained,2022-10-08 21:50:12+00:00
34,ab,MWF-087-2022,59.2026,-110.555, 2022-08-22 19:19:00,400.0, UC,2022-10-08 21:50:12+00:00
35,ab,MWF-077-2022,59.2233,-110.58, 2022-08-20 18:16:00,1040.0, UC,2022-10-08 21:50:12+00:00
36,bc,2022-N51881,49.3487,-117.131, 2022-08-24 01:34:00,590.0, BH,2022-10-08 21:50:12+00:00
37,bc,2022-N51956,49.8559,-117.808, 2022-08-25 02:56:00,333.91, BH,2022-10-08 21:50:12+00:00
38,pc,2022GL3,51.3591,-117.657, 2022-07-29 23:56:04,135.0, OC,2022-10-08 21:50:12+00:00
39,bc,2022-N10931,49.8679,-116.326, 2022-07-31 22:53:00,110.0, BH,2022-10-08 21:50:12+00:00
40,bc,2022-N11134,49.5575,-116.324, 2022-08-08 21:51:00,422.0, BH,2022-10-08 21:50:12+00:00
41,conus,Four Corners,44.537,-116.169, 2022-08-13 10:00:00,5560.25, 96% contained,2022-10-08 21:50:12+00:00
42,bc,2022-N41661,50.8311,-117.846, 2022-08-20 18:04:00,296.0, BH,2022-10-08 21:50:12+00:00
43,bc,2022-G72150,56.0043,-122.719, 2022-08-30 22:49:00,31755.0, BH,2022-10-08 21:50:12+00:00
44,ab,MWF-080-2022,59.3214,-110.984, 2022-08-20 22:41:00,1971.4, BH,2022-10-08 21:50:12+00:00
45,ab,MWF-082-2022,59.4268,-111.094, 2022-08-20 23:20:00,345.4, BH,2022-10-08 21:50:12+00:00
46,ab,MWF-094-2022,59.5515,-111.135, 2022-08-25 00:43:00,27.0, UC,2022-10-08 21:50:12+00:00
47,conus,Ross Fork,43.811,-114.98, 2022-08-14 14:45:00,15323.6, 64% contained,2022-10-08 21:50:12+00:00
48,bc,2022-G72178,55.0305,-120.539, 2022-08-31 23:18:00,6499.0, UC,2022-10-08 21:50:12+00:00
49,conus,Boulder Mountain,48.468,-117.493, 2022-08-31 18:00:00,935.55, 99% contained,2022-10-08 21:50:12+00:00
50,conus,Barnes,41.89,-120.3, 2022-09-07 16:00:00,2366.42, 99% contained,2022-10-08 21:50:12+00:00
51,pc,2022WB16,58.1015,-112.512, 2022-08-19 02:10:43,1522.0, OC,2022-10-08 21:50:12+00:00
52,nt,FS040-22,61.72,-123.368, 2022-09-23 15:26:00,0.01, OC,2022-10-08 21:50:12+00:00
53,mb,NO056,58.8608,-99.5928, 2022-08-14 05:00:00,30.0, OC,2022-10-08 21:50:12+00:00
54,nl,136,48.623,-55.76, 2022-07-24 00:00:00,16750.7, UC,2022-10-08 21:50:12+00:00
55,conus,Bear Gulch,47.624,-115.714, 2022-08-18 15:30:00,40.5, 0% contained,2022-10-08 21:50:12+00:00
56,conus,Mt. Baker-Snoqualmie Post-Fire,47.728,-121.346, ,0.0, 0% contained,2022-10-08 21:50:12+00:00
57,mb,NO109,53.8692,-94.6367, 2022-09-07 05:00:00,0.1, UC,2022-10-08 21:50:12+00:00
58,ak,Tee Lake,63.7378,-143.967, 2022-09-17 00:00:00,42.98, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
59,ab,HWF-098-2022,58.8879,-114.948, 2022-09-22 22:58:00,0.3, BH,2022-10-08 21:50:12+00:00
60,nt,SS069-22,60.2444,-111.35, 2022-08-17 23:28:00,34944.0, OC,2022-10-08 21:50:12+00:00
61,conus,Trail Ridge,45.78,-113.867, 2022-08-26 13:15:00,7103.29, 65% contained,2022-10-08 21:50:12+00:00
62,conus,Goat Mountain 2,45.359,-117.479, 2022-08-23 12:56:00,236.52, 0% contained,2022-10-08 21:50:12+00:00
63,mb,NO119,54.9275,-95.2533, 2022-09-27 05:00:00,0.6, UC,2022-10-08 21:50:12+00:00
64,nt,SS082-22,61.0092,-113.253, 2022-09-10 21:24:00,472.07, OC,2022-10-08 21:50:12+00:00
65,nt,SS076-22,60.3785,-111.786, 2022-08-27 00:25:00,6989.3, OC,2022-10-08 21:50:12+00:00
66,mb,NO064,56.6317,-98.8164, 2022-08-16 05:00:00,0.1, OC,2022-10-08 21:50:12+00:00
67,conus,Diamond Watch,48.636,-117.065, 2022-07-14 18:00:00,494.1, 60% contained,2022-10-08 21:50:12+00:00
68,nl,155,49.3212,-54.5642, 2022-09-29 00:00:00,0.0, UC,2022-10-08 21:50:12+00:00
69,conus,2022 Umatilla NF Prescribed,45.67,-118.87, ,0.0, 0% contained,2022-10-08 21:50:12+00:00
70,mb,NO660,57.7686,-95.9911, 2022-08-17 05:00:00,30.0, OC,2022-10-08 21:50:12+00:00
71,conus,Blackburn,47.076,-115.256, 2022-08-14 15:00:00,145.8, 99% contained,2022-10-08 21:50:12+00:00
72,ak,American,64.0983,-153.775, 2022-07-06 00:00:00,3983.4, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
73,conus,Nebo,45.133,-117.11, 2022-08-25 16:19:00,5106.24, 94% contained,2022-10-08 21:50:12+00:00
74,conus,Bull Gin Complex,48.087,-115.826, 2022-09-02 20:50:00,1733.81, 44% contained,2022-10-08 21:50:12+00:00
75,sk,22LX-FELLOW,55.7884,-106.899, 2022-08-29 19:33:55,892.7, OC,2022-10-08 21:50:12+00:00
76,nt,FS041-22,60.8756,-123.422, 2022-09-30 00:00:00,0.01, OC,2022-10-08 21:50:12+00:00
77,conus,Cedar Creek BAER,43.724,-122.295, ,0.0, 0% contained,2022-10-08 21:50:12+00:00
78,conus,Double Creek BAER,45.46,-116.739, ,69459.5, 0% contained,2022-10-08 21:50:12+00:00
79,ab,MWF-033-2022,59.7682,-111.047, 2022-06-30 19:20:00,2010.8, UC,2022-10-08 21:50:12+00:00
80,ab,MWF-022-2022,59.4184,-110.813, 2022-06-14 00:43:00,33207.1, BH,2022-10-08 21:50:12+00:00
81,ab,MWF-015-2022,59.8171,-111.119, 2022-06-12 22:49:00,4057.9, BH,2022-10-08 21:50:12+00:00
82,conus,Sturgill,45.284,-117.534, 2022-08-22 12:00:00,8779.59, 80% contained,2022-10-08 21:50:12+00:00
83,ak,Hog Butte,63.6774,-153.572, 2022-06-05 00:00:00,82614.7, Unstaffed/Uncontaine,2022-10-08 21:50:12+00:00
84,mb,NO082,59.4419,-100.779, 2022-08-20 05:00:00,100.0, OC,2022-10-08 21:50:12+00:00
85,mb,NO083,59.155,-99.2119, 2022-08-20 05:00:00,30.0, OC,2022-10-08 21:50:12+00:00
86,ab,WWF-082-2022,54.2277,-116.417, 2022-10-03 19:30:00,0.03, UC,2022-10-08 21:50:12+00:00
87,mb,NO081,59.3056,-100.779, 2022-08-20 05:00:00,110.0, OC,2022-10-08 21:50:12+00:00
88,nt,FS043-22,62.0543,-122.189, 2022-10-04 15:15:00,0.01, UC,2022-10-08 21:50:12+00:00
89,nt,FS042-22,60.3498,-123.742, 2022-10-03 01:42:00,0.01, OC,2022-10-08 21:50:12+00:00
90,pc,2022WB18,58.7227,-113.541, 2022-08-25 22:58:00,60.0, OC,2022-10-08 21:50:12+00:00
91,ab,WWF-083-2022,54.318,-117.272, 2022-10-04 20:50:00,0.7, BH,2022-10-08 21:50:12+00:00
92,conus,Double Creek,45.428,-116.739, 2022-08-30 17:00:00,69459.5, 89% contained,2022-10-08 21:50:12+00:00
93,bc,2022-V82198,49.9182,-126.135, 2022-09-01 22:35:00,41.0, OC,2022-10-08 21:50:12+00:00
94,bc,2022-V12576,49.6862,-121.842, 2022-10-04 02:23:00,0.3, OC,2022-10-08 21:50:12+00:00
95,bc,2022-V12581,49.4504,-121.403, 2022-10-04 22:18:00,1.0, UC,2022-10-08 21:50:12+00:00
96,bc,2022-V12583,49.772,-121.573, 2022-10-04 23:32:00,0.3, OC,2022-10-08 21:50:12+00:00
97,bc,2022-V92588,50.391,-126.942, 2022-10-05 04:35:00,0.01, UC,2022-10-08 21:50:12+00:00
98,bc,2022-G62456,56.4885,-123.85, 2022-09-18 16:25:00,3.0, BH,2022-10-08 21:50:12+00:00
99,bc,2022-G82427,57.4593,-123.653, 2022-09-14 21:22:00,243.0, BH,2022-10-08 21:50:12+00:00
100,bc,2022-G82543,56.7006,-121.09, 2022-10-01 22:07:00,5.8, UC,2022-10-08 21:50:12+00:00
101,bc,2022-N40903,50.8448,-117.886, 2022-07-31 02:38:00,3.37, UC,2022-10-08 21:50:12+00:00
