,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,qc,597,51.7425,-78.4303, 2023-07-07 18:50:00,11163.9, OC, EDT, MON,2023-07-21 00:44:30
1,conus,Boulder Lake,47.0706,-113.82, ,741.555, 0% contained,,,2023-07-21 00:44:30
2,bc,2023-G41158,52.9571,-125.672, 2023-07-06 23:20:00,911.6, OC, PDT, FUL,2023-07-21 00:44:30
3,sk,23SR-SOMERVILLE,59.5611,-105.078, 2023-07-17 17:53:48,10.0, OC, CST, MOD,2023-07-21 00:44:30
4,bc,2023-V71882,49.4956,-124.83, 2023-07-19 16:09:00,0.01, OC, PDT, FUL,2023-07-21 00:44:30
5,bc,2023-V31884,50.1389,-122.946, 2023-07-19 17:29:00,0.01, OC, PDT, FUL,2023-07-21 00:44:30
6,bc,2023-V81901,50.2242,-125.217, 2023-07-19 23:01:00,0.01, OC, PDT, FUL,2023-07-21 00:44:30
7,bc,2023-C41903,51.4935,-121.147, 2023-07-19 23:28:00,0.01, OC, PDT, FUL,2023-07-21 00:44:30
8,bc,2023-C51907,52.366,-123.627, 2023-07-20 00:22:00,0.01, OC, PDT, FUL,2023-07-21 00:44:30
9,on,COC_FIRE_038,50.7194,-79.8475, 2023-07-05 12:49:00,12544.9, OC, GMT, MON,2023-07-21 00:44:30
10,yt,2023WL003,60.46,-125.972, 2023-06-02 16:27:00,1728.86, OC, PDT, FUL,2023-07-21 00:44:30
11,yt,2023WL007,60.7532,-130.739, 2023-06-29 23:42:00,5000.0, OC, PDT, FUL,2023-07-21 00:44:30
12,qc,581,52.7619,-78.4436, 2023-07-05 13:38:00,232.1, OC, EDT, MON,2023-07-21 00:44:30
13,qc,602,52.7772,-78.32, 2023-07-05 13:38:00,13272.8, OC, EDT, MON,2023-07-21 00:44:30
14,ab,PWF-081-2023,56.6147,-119.629, 2023-06-30 19:34:00,0.36, BH, MDT, FUL,2023-07-21 00:44:30
15,pc,2023KO5,50.7411,-115.928, 2023-07-13 02:13:50,0.09, OC, MDT, FUL,2023-07-21 00:44:30
16,yt,2023RR004,62.8167,-132.567, 2023-07-13 04:15:00,460.0, OC, PDT, FUL,2023-07-21 00:44:30
17,qc,578,51.1294,-77.0175, 2023-07-05 17:01:00,2533.0, OC, EDT, MON,2023-07-21 00:44:30
18,ab,HWF-130-2023,59.4662,-119.951, 2023-07-13 21:50:00,5373.0, OC, MDT, FUL,2023-07-21 00:44:30
19,bc,2023-V31141,49.6938,-122.915, 2023-07-05 21:15:00,21.0, UC, PDT, FUL,2023-07-21 00:44:30
20,bc,2023-G71672,55.3182,-121.823, 2023-07-14 00:28:00,1.6, UC, PDT, FUL,2023-07-21 00:44:30
21,bc,2023-C51571,52.7728,-125.58, 2023-07-12 00:54:00,1950.0, OC, PDT, FUL,2023-07-21 00:44:30
22,bc,2023-C11243,53.0419,-123.407, 2023-07-08 03:20:00,1350.0, OC, PDT, FUL,2023-07-21 00:44:30
23,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,201913.0, BH, MDT, FUL,2023-07-21 00:44:30
24,bc,2023-N21453,50.6298,-115.737, 2023-07-10 02:31:00,30.0, OC, PDT, MOD,2023-07-21 00:44:30
25,ab,GWF-049-2023,55.0754,-117.008, 2023-07-11 02:45:00,50.3, UC, MDT, FUL,2023-07-21 00:44:30
26,bc,2023-G11532,54.9614,-122.622, 2023-07-11 06:44:00,1100.0, OC, PDT, FUL,2023-07-21 00:44:30
27,bc,2023-C11290,52.8138,-122.935, 2023-07-08 20:17:00,2784.0, OC, PDT, FUL,2023-07-21 00:44:30
28,bc,2023-VA1392,52.4635,-125.979, 2023-07-09 20:24:00,0.52, UC, PDT, FUL,2023-07-21 00:44:30
29,bc,2023-V11777,49.3943,-121.458, 2023-07-17 00:32:00,0.3, BH, PDT, FUL,2023-07-21 00:44:30
30,bc,2023-G71708,55.4925,-121.831, 2023-07-15 02:33:00,0.89, UC, PDT, FUL,2023-07-21 00:44:30
31,ab,PWF-103-2023,57.026,-118.363, 2023-07-17 01:41:00,100.0, OC, MDT, FUL,2023-07-21 00:44:30
32,bc,2023-R21260,54.1825,-127.795, 2023-07-08 04:39:00,0.01, OC, PDT, FUL,2023-07-21 00:44:30
33,bc,2023-G60666,55.9468,-124.545, 2023-06-08 02:14:00,50370.0, OC, PDT, FUL,2023-07-21 00:44:30
34,bc,2023-G60853,55.2402,-123.67, 2023-06-24 02:48:00,20678.0, OC, PDT, FUL,2023-07-21 00:44:30
35,on,COC_FIRE_007,48.9843,-79.6735, 2023-06-02 21:35:00,37742.0, UC, GMT, FUL,2023-07-21 00:44:30
36,qc,548,56.8606,-66.1436, 2023-07-02 17:30:00,1063.8, OC, EDT, MON,2023-07-21 00:44:30
37,qc,554,56.9231,-66.0669, 2023-07-02 17:30:00,494.4, OC, EDT, MON,2023-07-21 00:44:30
