,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,NO020,58.6767,-100.594, 2022-07-13 05:00:00,144.0, OC,2022-08-06 14:41:58+00:00
1,yt,2022WL032,60.0494,-126.679, 2022-07-12 01:45:00,311.0, OC,2022-08-06 14:41:58+00:00
2,ak,Kokwok,59.7511,-158.225, 2022-06-06 00:00:00,12746.4, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
3,mb,NO022,58.435,-99.0022, 2022-07-13 05:00:00,469.2, OC,2022-08-06 14:41:58+00:00
4,ak,Iowithla River,59.2058,-158.094, 2022-06-08 00:00:00,17352.9, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
5,ak,Sawpit Creek,61.2276,-159.343, 2022-06-07 00:00:00,10620.2, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
6,ak,Fourth of July Creek,62.7358,-156.596, 2022-06-06 00:00:00,20698.0, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
7,nt,SS018-22,60.2543,-110.493, 2022-06-16 23:06:00,12736.0, OC,2022-08-06 14:41:58+00:00
8,nt,ZF018-22,64.3048,-114.352, 2022-06-22 20:00:00,10632.0, OC,2022-08-06 14:41:58+00:00
9,mb,NO005,59.3419,-101.512, 2022-06-21 05:00:00,1439.0, OC,2022-08-06 14:41:58+00:00
10,yt,2022CA034,62.9911,-136.694, 2022-07-07 06:40:00,2482.0, BH,2022-08-06 14:41:58+00:00
11,yt,2022MA021,63.2289,-136.465, 2022-07-02 21:53:00,4545.0, BH,2022-08-06 14:41:58+00:00
12,yt,2022MA013,63.5422,-136.99, 2022-07-01 03:33:00,3352.0, BH,2022-08-06 14:41:58+00:00
13,mb,NO024,56.5719,-101.589, 2022-07-13 05:00:00,1800.0, OC,2022-08-06 14:41:58+00:00
14,yt,2022MA018,63.7405,-135.331, 2022-07-02 00:39:00,4417.0, BH,2022-08-06 14:41:58+00:00
15,mb,NO003,55.855,-100.296, 2022-06-14 05:00:00,2714.0, OC,2022-08-06 14:41:58+00:00
16,ak,Fanny Mountain,65.9399,-142.21, 2022-07-05 00:00:00,8245.5, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
17,mb,NO042,56.5556,-99.0486, 2022-07-16 05:00:00,0.5, OC,2022-08-06 14:41:58+00:00
18,mb,WE019,55.5075,-100.663, 2022-07-12 05:00:00,24000.0, OC,2022-08-06 14:41:58+00:00
19,mb,NO025,55.7519,-100.702, 2022-07-13 05:00:00,350.0, OC,2022-08-06 14:41:58+00:00
20,mb,NO041,55.8561,-100.582, 2022-07-16 05:00:00,200.0, OC,2022-08-06 14:41:58+00:00
21,yt,2022MA053,65.4425,-135.803, 2022-07-19 16:24:00,1000.0, OC,2022-08-06 14:41:58+00:00
22,yt,2022MA054,65.5286,-135.505, 2022-07-19 16:36:00,1000.0, OC,2022-08-06 14:41:58+00:00
23,yt,2022MA056,65.4989,-135.002, 2022-07-19 16:46:00,500.0, OC,2022-08-06 14:41:58+00:00
24,yt,2022MA057,65.3656,-134.974, 2022-07-19 16:59:00,1000.0, OC,2022-08-06 14:41:58+00:00
25,ab,MWF-025-2022,56.6829,-110.714, 2022-06-14 15:07:00,1554.0, BH,2022-08-06 14:41:58+00:00
26,yt,2022MA060,65.8851,-132.807, 2022-07-19 17:07:00,3500.0, OC,2022-08-06 14:41:58+00:00
27,nt,FS004-22,63.7368,-121.369, 2022-06-02 22:49:00,28000.0, OC,2022-08-06 14:41:58+00:00
28,ab,MWF-046-2022,57.5632,-111.439, 2022-07-14 02:51:00,790.0, UC,2022-08-06 14:41:58+00:00
29,mb,NO001,56.5836,-99.2147, 2022-06-12 05:00:00,3800.0, UC,2022-08-06 14:41:58+00:00
30,mb,NO007,57.1058,-100.792, 2022-06-28 05:00:00,1183.8, OC,2022-08-06 14:41:58+00:00
31,mb,NO021,58.2169,-99.4325, 2022-07-13 05:00:00,144.0, OC,2022-08-06 14:41:58+00:00
32,mb,NO027,56.0108,-100.662, 2022-07-13 05:00:00,1300.0, OC,2022-08-06 14:41:58+00:00
33,mb,NO032,56.3064,-101.332, 2022-07-15 05:00:00,135.0, OC,2022-08-06 14:41:58+00:00
34,mb,NO043,56.0394,-100.889, 2022-07-17 05:00:00,1229.5, OC,2022-08-06 14:41:58+00:00
35,mb,NO031,56.3669,-100.291, 2022-07-14 05:00:00,352.5, OC,2022-08-06 14:41:58+00:00
36,nt,ZF048-22,63.4208,-120.254, 2022-07-13 02:00:00,254.0, OC,2022-08-06 14:41:58+00:00
37,nt,ZF047-22,64.235,-117.568, 2022-07-12 18:00:00,727.0, OC,2022-08-06 14:41:58+00:00
38,nt,ZF034-22,63.825,-120.092, 2022-07-08 15:33:00,4326.0, OC,2022-08-06 14:41:58+00:00
39,yt,2022WL014,60.5226,-126.174, 2022-07-04 00:03:00,10893.0, OC,2022-08-06 14:41:58+00:00
40,nt,ZF052-22,63.5925,-103.37, 2022-07-13 14:54:00,618.0, OC,2022-08-06 14:41:58+00:00
41,nt,ZF050-22,65.9333,-116.555, 2022-07-13 02:23:00,434.0, OC,2022-08-06 14:41:58+00:00
42,nt,ZF032-22,62.6171,-105.639, 2022-07-06 20:38:00,823.0, OC,2022-08-06 14:41:58+00:00
43,yt,2022WL002,60.1282,-124.532, 2022-06-20 01:41:00,252.0, OC,2022-08-06 14:41:58+00:00
44,mb,EA012,52.6697,-96.4333, 2022-07-18 05:00:00,150.0, OC,2022-08-06 14:41:58+00:00
45,ak,South Fork Kuskokwim,62.812,-153.928, 2022-07-07 00:00:00,1159.83, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
46,ak,Belle,66.9189,-143.704, 2022-06-29 00:00:00,372.55, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
47,ak,Submarine Creek,63.2934,-154.734, 2022-06-07 00:00:00,14544.0, Unstaffed/Uncontaine,2022-08-06 14:41:58+00:00
48,yt,2022WL021,60.1816,-125.122, 2022-07-06 05:36:00,1274.0, OC,2022-08-06 14:41:58+00:00
49,nt,ZF017-22,65.1555,-118.883, 2022-06-19 23:02:00,46708.0, OC,2022-08-06 14:41:58+00:00
50,nt,ZF025-22,64.76,-117.228, 2022-06-29 16:15:00,32075.0, OC,2022-08-06 14:41:58+00:00
51,nt,FS017-22,60.9862,-120.352, 2022-07-11 17:18:00,240.0, OC,2022-08-06 14:41:58+00:00
52,nt,FS003-22,62.1872,-121.94, 2022-06-02 22:58:00,1215.0, OC,2022-08-06 14:41:58+00:00
