,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2022-V11989,49.915,-121.391, 2022-08-26 00:34:00,62.0, UC,2022-09-22 16:49:27+00:00
1,mb,NO110,53.9306,-94.7225, 2022-09-08 05:00:00,2.0, OC,2022-09-22 16:49:27+00:00
2,mb,NO106,53.8483,-94.755, 2022-09-05 05:00:00,0.2, UC,2022-09-22 16:49:27+00:00
3,nt,SS081-22,60.4808,-106.097, 2022-08-29 15:22:00,73.0, OC,2022-09-22 16:49:27+00:00
4,bc,2022-V50688,50.8448,-124.68, 2022-07-23 19:35:00,39.02, OC,2022-09-22 16:49:27+00:00
5,bc,2022-N41303,50.9282,-117.866, 2022-08-12 22:24:00,360.0, OC,2022-09-22 16:49:27+00:00
6,bc,2022-N41057,51.183,-118.085, 2022-08-04 02:43:00,379.0, OC,2022-09-22 16:49:27+00:00
7,conus,Potter,43.375,-122.343, 2022-07-31 09:00:00,255.96, 99% contained,2022-09-22 16:49:27+00:00
8,mb,NO104,54.1672,-94.3461, 2022-09-05 05:00:00,30.0, OC,2022-09-22 16:49:27+00:00
9,mb,NO109,53.8692,-94.6367, 2022-09-07 05:00:00,0.1, OC,2022-09-22 16:49:27+00:00
10,ak,Biederman,65.3239,-142.643, 2022-07-04 00:00:00,2727.09, Unstaffed/Uncontaine,2022-09-22 16:49:27+00:00
11,bc,2022-K62235,49.4291,-120.933, 2022-09-03 01:10:00,120.0, OC,2022-09-22 16:49:27+00:00
12,bc,2022-N11134,49.5575,-116.324, 2022-08-08 21:51:00,422.0, OC,2022-09-22 16:49:27+00:00
13,bc,2022-N41918,51.4947,-118.106, 2022-08-24 21:03:00,25.0, BH,2022-09-22 16:49:27+00:00
14,bc,2022-V11595,50.071,-122.037, 2022-08-20 01:03:00,895.0, OC,2022-09-22 16:49:27+00:00
15,bc,2022-V12158,49.9866,-121.87, 2022-08-31 00:27:00,124.0, OC,2022-09-22 16:49:27+00:00
16,on,NIP_FIRE_023,51.4562,-88.2169, 2022-09-12 16:03:00,0.6, OC,2022-09-22 16:49:27+00:00
17,bc,2022-K71995,51.0147,-122.375, 2022-08-26 01:04:00,4000.0, OC,2022-09-22 16:49:27+00:00
18,bc,2022-V50368,50.8751,-124.73, 2022-06-29 00:22:00,258.0, OC,2022-09-22 16:49:27+00:00
19,bc,2022-K50863,49.3697,-119.817, 2022-07-30 00:28:00,7042.0, UC,2022-09-22 16:49:27+00:00
20,bc,2022-K41540,51.2927,-118.657, 2022-08-18 23:01:00,17.9, BH,2022-09-22 16:49:27+00:00
21,conus,Norton,44.857,-114.927, 2022-08-01 17:30:00,3666.87, 21% contained,2022-09-22 16:49:27+00:00
22,bc,2022-K72076,50.2991,-122.034, 2022-08-27 17:51:00,450.0, OC,2022-09-22 16:49:27+00:00
23,bc,2022-V12326,49.0003,-121.133, 2022-09-08 20:11:00,0.9, UC,2022-09-22 16:49:27+00:00
24,bc,2022-N62240,49.1561,-118.773, 2022-09-03 17:39:00,44.0, UC,2022-09-22 16:49:27+00:00
25,conus,Porphyry,45.266,-115.484, 2022-08-13 00:00:00,1186.65, 40% contained,2022-09-22 16:49:27+00:00
26,conus,Rainbow,45.01,-116.134, ,1.62, 100% contained,2022-09-22 16:49:27+00:00
27,bc,2022-V12079,48.9922,-121.438, 2022-08-27 18:08:00,44.0, OC,2022-09-22 16:49:27+00:00
28,bc,2022-V12211,49.1547,-121.013, 2022-09-02 02:37:00,282.0, OC,2022-09-22 16:49:27+00:00
29,bc,2022-V11912,49.0434,-121.319, 2022-08-24 19:30:00,169.0, OC,2022-09-22 16:49:27+00:00
30,conus,Thor,48.819,-117.168, 2022-08-13 00:00:00,526.5, 0% contained,2022-09-22 16:49:27+00:00
31,yt,2022BC003,62.4833,-140.6, 2022-07-01 21:12:00,4000.0, BH,2022-09-22 16:49:27+00:00
32,bc,2022-K71717,50.5828,-122.123, 2022-08-21 17:14:00,1022.0, OC,2022-09-22 16:49:27+00:00
33,conus,Jones Creek,45.704,-116.526, 2022-09-04 06:00:00,1793.74, 95% contained,2022-09-22 16:49:27+00:00
34,bc,2022-N51675,50.6461,-117.37, 2022-08-20 19:40:00,1.0, UC,2022-09-22 16:49:27+00:00
35,bc,2022-R90436,59.7616,-129.452, 2022-07-03 01:10:00,12330.0, BH,2022-09-22 16:49:27+00:00
36,ab,HWF-043-2022,59.8681,-118.299, 2022-06-27 20:45:00,6604.4, UC,2022-09-22 16:49:27+00:00
37,mb,NO112,55.3939,-98.0172, 2022-09-10 05:00:00,0.1, UC,2022-09-22 16:49:27+00:00
38,conus,Seven Bays,47.828,-118.323, 2022-09-04 15:35:00,498.96, 100% contained,2022-09-22 16:49:27+00:00
39,mb,NO102,54.6294,-94.3719, 2022-09-05 05:00:00,2.3, UC,2022-09-22 16:49:27+00:00
40,bc,2022-V11952,49.0406,-121.159, 2022-08-25 02:27:00,297.0, OC,2022-09-22 16:49:27+00:00
41,bc,2022-K41386,50.6718,-118.299, 2022-08-13 20:13:00,14.8, BH,2022-09-22 16:49:27+00:00
42,conus,Clover,45.048,-111.87, 2022-07-13 19:00:00,496.125, 70% contained,2022-09-22 16:49:27+00:00
43,conus,Deep Creek,47.089,-111.226, 2022-08-31 15:18:00,14.985, 80% contained,2022-09-22 16:49:27+00:00
