,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,on,RED_FIRE_032,52.1375,-94.6138, 2023-06-11 21:47:00,535.6, OC, GMT, FUL,2023-07-25 00:44:36
1,qc,566,53.1794,-68.8033, 2023-07-02 19:19:00,2813.4, OC, EDT, MON,2023-07-25 00:44:36
2,qc,629,58.1375,-67.4728, 2023-07-11 01:14:00,697.9, OC, EDT, MON,2023-07-25 00:44:36
3,bc,2023-G41848,54.1939,-124.116, 2023-07-18 03:26:00,1.6, UC, PDT, FUL,2023-07-25 00:44:36
4,bc,2023-K21795,51.4502,-119.426, 2023-07-17 12:23:00,1.46, UC, PDT, FUL,2023-07-25 00:44:36
5,mb,NO043,55.8589,-94.3678, 2023-06-19 05:00:00,200.0, OC, CDT, MON,2023-07-25 00:44:36
6,nt,SS028-23,61.2914,-103.791, 2023-06-30 15:29:00,1093.0, OC, MDT, MON,2023-07-25 00:44:36
7,ab,LWF-047-2023,54.6685,-111.908, 2023-04-26 18:09:00,0.1, UC, , FUL,2023-07-25 00:44:36
8,mb,NO090,57.7817,-97.7894, 2023-07-20 05:00:00,121.0, OC, CDT, MON,2023-07-25 00:44:36
9,ab,SWF-086-2023,55.1798,-114.116, 2023-05-17 02:17:00,4742.0, UC, MDT, FUL,2023-07-25 00:44:36
10,bc,2023-N40596,52.0451,-118.702, 2023-06-04 01:42:00,1138.93, UC, PDT, MOD,2023-07-25 00:44:36
11,bc,2023-G70645,55.154,-120.67, 2023-06-06 20:41:00,25095.0, BH, PDT, FUL,2023-07-25 00:44:36
12,qc,520,53.7708,-73.2528, 2023-06-24 23:17:00,9380.7, OC, EDT, MON,2023-07-25 00:44:36
13,ab,SWF-087-2023,55.2281,-114.275, 2023-05-17 02:29:00,1036.0, UC, MDT, FUL,2023-07-25 00:44:36
14,on,SLK_FIRE_070,54.4874,-91.6793, 2023-07-05 22:50:00,300.0, OC, GMT, MON,2023-07-25 00:44:36
15,ab,MWF-049-2023,59.9142,-110.114, 2023-07-06 00:01:00,10.0, BH, MDT, FUL,2023-07-25 00:44:36
16,qc,611,55.6811,-74.9025, 2023-07-05 05:43:00,0.1, OC, EDT, MON,2023-07-25 00:44:36
17,ab,LWF-158-2023,55.9235,-110.689, 2023-06-22 16:42:00,0.01, UC, MDT, FUL,2023-07-25 00:44:36
18,on,CHA_FIRE_006,48.166,-83.8425, 2023-06-04 14:52:00,1229.0, UC, GMT, FUL,2023-07-25 00:44:36
19,bc,2023-R11170,53.6375,-125.922, 2023-07-07 02:49:00,0.1, UC, PDT, FUL,2023-07-25 00:44:36
20,ab,SWF-103-2023,56.8033,-115.089, 2023-06-21 22:36:00,40.5, UC, MDT, FUL,2023-07-25 00:44:36
21,bc,2023-R90877,57.4801,-127.652, 2023-06-24 16:18:00,15000.0, OC, PDT, MOD,2023-07-25 00:44:36
22,bc,2023-R91715,58.9894,-130.221, 2023-07-15 04:12:00,5.0, OC, PDT, FUL,2023-07-25 00:44:36
23,bc,2023-VA1381,53.0425,-126.331, 2023-07-09 16:37:00,2272.0, OC, PDT, FUL,2023-07-25 00:44:36
24,qc,621,52.6203,-77.0033, 2023-07-05 21:19:00,715.6, OC, EDT, MON,2023-07-25 00:44:36
25,qc,618,56.9725,-67.3606, 2023-07-08 03:59:00,11006.8, OC, EDT, MON,2023-07-25 00:44:36
26,qc,615,54.6356,-72.3578, 2023-07-05 19:56:00,0.1, OC, EDT, MON,2023-07-25 00:44:36
27,qc,379,50.1667,-73.4733, 2023-06-02 15:00:00,70266.9, UC, EDT, FUL,2023-07-25 00:44:36
28,qc,555,54.8558,-71.6369, 2023-07-01 20:15:00,3597.6, OC, EDT, MON,2023-07-25 00:44:36
29,ab,HWF-102-2023,58.7211,-115.859, 2023-07-03 16:31:00,1166.5, OC, MDT, FUL,2023-07-25 00:44:36
30,bc,2023-G60861,55.3665,-124.443, 2023-06-24 04:30:00,6994.0, OC, PDT, FUL,2023-07-25 00:44:36
31,bc,2023-G61699,55.6614,-125.118, 2023-07-15 00:51:00,7.0, UC, PDT, FUL,2023-07-25 00:44:36
32,qc,627,51.5281,-75.645, 2023-07-09 00:45:00,159.0, UC, EDT, MON,2023-07-25 00:44:36
33,bc,2023-K71032,50.6616,-123.093, 2023-07-01 18:57:00,200.0, OC, PDT, MOD,2023-07-25 00:44:36
34,qc,590,51.9708,-77.9328, 2023-07-05 14:16:00,60325.1, BH, EDT, MOD,2023-07-25 00:44:36
35,yt,2023OT003,59.6354,-129.416, 2023-07-14 16:56:00,40000.0, OC, PDT, FUL,2023-07-25 00:44:36
36,qc,633,57.9736,-68.5222, 2023-07-16 03:45:00,144.6, OC, EDT, MON,2023-07-25 00:44:36
37,bc,2023-G11526,53.4397,-121.796, 2023-07-11 01:38:00,0.01, BH, PDT, FUL,2023-07-25 00:44:36
38,bc,2023-G91013,59.6431,-123.224, 2023-06-30 21:33:00,3765.0, OC, PDT, MOD,2023-07-25 00:44:36
39,bc,2023-G41503,53.5858,-125.249, 2023-07-10 22:26:00,0.01, OC, PDT, MON,2023-07-25 00:44:36
40,bc,2023-G41548,53.8042,-124.547, 2023-07-11 20:09:00,0.01, UC, PDT, FUL,2023-07-25 00:44:36
41,bc,2023-G91722,59.4356,-123.734, 2023-07-15 18:56:00,42.0, OC, PDT, MON,2023-07-25 00:44:36
42,bc,2023-K21839,50.882,-119.757, 2023-07-18 02:14:00,0.01, UC, PDT, FUL,2023-07-25 00:44:36
43,ab,PWF-091-2023,56.7159,-118.502, 2023-07-08 21:51:00,179.1, BH, MDT, FUL,2023-07-25 00:44:36
44,pc,2023WB19,58.1625,-113.442, 2023-07-03 23:10:33,3700.0, OC, MDT, MON,2023-07-25 00:44:36
45,pc,2023WB12,58.1171,-112.644, 2023-05-31 01:08:52,17745.0, OC, MDT, MON,2023-07-25 00:44:36
46,bc,2023-R31584,55.2668,-126.731, 2023-07-12 05:58:00,0.01, BH, PDT, FUL,2023-07-25 00:44:36
47,bc,2023-G51823,54.3616,-124.711, 2023-07-18 00:37:00,0.1, BH, PDT, FUL,2023-07-25 00:44:36
48,bc,2023-K51840,50.0458,-119.501, 2023-07-18 02:11:00,4.08, UC, PDT, FUL,2023-07-25 00:44:36
49,pc,2023GL1,51.2619,-117.357, 2023-07-10 06:23:31,360.0, OC, PDT, MOD,2023-07-25 00:44:36
50,bc,2023-G11748,53.713,-123.195, 2023-07-16 03:46:00,1.5, UC, PDT, FUL,2023-07-25 00:44:36
51,ab,HWF-134-2023,58.9852,-119.231, 2023-07-16 21:35:00,15.1, UC, MDT, FUL,2023-07-25 00:44:36
52,ab,PWF-114-2023,57.6968,-117.77, 2023-07-22 16:35:00,0.01, OC, MDT, FUL,2023-07-25 00:44:36
53,sk,23HB-SUGGI,54.4141,-102.79, 2023-07-19 14:29:32,6.0, UC, CST, FUL,2023-07-25 00:44:36
54,sk,23LA-GOW,56.458,-104.383, 2023-06-07 15:01:05,907.0, OC, CST, MOD,2023-07-25 00:44:36
55,bc,2023-G92028,58.4852,-120.198, 2023-07-21 23:00:00,91.0, OC, PDT, FUL,2023-07-25 00:44:36
56,sk,23LA-HAWK,55.6979,-105.762, 2023-07-22 08:45:10,14.0, OC, CST, MOD,2023-07-25 00:44:36
57,bc,2023-K52042,49.7917,-119.729, 2023-07-22 00:41:00,0.01, UC, PDT, FUL,2023-07-25 00:44:36
58,bc,2023-G12073,53.5457,-121.885, 2023-07-22 03:18:00,0.2, OC, PDT, FUL,2023-07-25 00:44:36
59,bc,2023-C51571,52.7728,-125.58, 2023-07-12 00:54:00,3350.0, OC, PDT, FUL,2023-07-25 00:44:36
60,sk,23LA-GERMAN,56.4543,-103.394, 2023-07-19 14:58:59,150.0, OC, CST, MOD,2023-07-25 00:44:36
61,nt,ZF030-23,63.0474,-116.089, 2023-07-06 22:00:00,50.0, UC, MDT, FUL,2023-07-25 00:44:36
62,nt,ZF022-23,63.9333,-112.567, 2023-06-30 16:41:00,100.0, OC, MDT, MON,2023-07-25 00:44:36
63,nt,ZF019-23,63.2,-114.533, 2023-06-30 16:18:00,200.0, OC, MDT, MON,2023-07-25 00:44:36
64,nt,ZF017-23,63.3167,-115.1, 2023-06-30 15:50:00,984.0, OC, MDT, MON,2023-07-25 00:44:36
65,nt,ZF014-23,63.2415,-114.374, 2023-06-29 22:57:00,200.0, OC, MDT, MON,2023-07-25 00:44:36
66,nt,ZF012-23,63.0121,-114.424, 2023-07-01 15:17:00,325.0, OC, MDT, MON,2023-07-25 00:44:36
67,nt,ZF009-23,64.2089,-114.145, 2023-06-28 23:45:00,57.2, UC, MDT, FUL,2023-07-25 00:44:36
68,nt,ZF004-23,62.6833,-115.017, 2023-06-28 23:17:00,0.4, UC, MDT, FUL,2023-07-25 00:44:36
69,nt,ZF002-23,61.9053,-112.745, 2023-06-19 22:20:00,40.0, OC, MDT, MON,2023-07-25 00:44:36
70,nt,VQ014-23,66.6111,-128.729, 2023-07-10 00:46:00,2.0, OC, MDT, MON,2023-07-25 00:44:36
