,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,NO112,55.3939,-98.0172, 2022-09-10 05:00:00,0.1, UC,2022-10-03 15:49:47+00:00
1,conus,Indian Ridge,45.784,-114.711, 2022-07-07 00:00:00,3625.97, 0% contained,2022-10-03 15:49:47+00:00
2,pc,2022BA35,51.5631,-115.595, 2022-08-31 01:51:20,3500.0, OC,2022-10-03 15:49:47+00:00
3,bc,2022-N20881,50.7368,-115.705, 2022-07-30 18:43:00,1333.0, UC,2022-10-03 15:49:47+00:00
4,conus,Patrol Point,45.427,-114.938, 2022-08-20 12:00:00,6707.21, 0% contained,2022-10-03 15:49:47+00:00
5,mb,NO115,54.9064,-98.3197, 2022-09-14 05:00:00,0.2, OC,2022-10-03 15:49:47+00:00
6,mb,NO116,54.565,-95.2881, 2022-09-14 05:00:00,0.2, OC,2022-10-03 15:49:47+00:00
7,mb,WE050,55.1089,-101.879, 2022-07-20 05:00:00,7154.0, UC,2022-10-03 15:49:47+00:00
8,conus,Dismal,45.321,-114.959, 2022-07-23 12:15:00,3847.91, 0% contained,2022-10-03 15:49:47+00:00
9,bc,2022-V11746,49.0115,-120.732, 2022-08-22 01:10:00,10358.0, BH,2022-10-03 15:49:47+00:00
10,conus,No Grass Creek,46.373,-112.473, 2022-09-11 15:47:00,463.725, 0% contained,2022-10-03 15:49:47+00:00
11,bc,2022-V12335,49.3572,-121.51, 2022-09-09 06:55:00,545.0, BH,2022-10-03 15:49:47+00:00
12,conus,NW Pasayten Complex,48.913,-120.818, 2022-09-06 06:00:00,7289.19, 0% contained,2022-10-03 15:49:47+00:00
13,bc,2022-N71980,50.0457,-116.859, 2022-08-25 23:21:00,900.0, BH,2022-10-03 15:49:47+00:00
14,nt,SS006-22,60.9035,-113.242, 2022-06-09 23:54:00,1510.0, BH,2022-10-03 15:49:47+00:00
15,bc,2022-N70969,49.89,-117.076, 2022-08-01 23:33:00,2160.0, BH,2022-10-03 15:49:47+00:00
16,bc,2022-G60782,56.1373,-122.941, 2022-07-27 01:51:00,1661.7, UC,2022-10-03 15:49:47+00:00
17,bc,2022-N72263,49.6497,-117.312, 2022-09-04 23:34:00,660.0, BH,2022-10-03 15:49:47+00:00
18,conus,Williams Creek,45.693,-115.652, 2022-08-29 16:30:00,6514.02, 75% contained,2022-10-03 15:49:47+00:00
19,bc,2022-G71148,55.5312,-122.037, 2022-08-09 06:08:00,213.0, UC,2022-10-03 15:49:47+00:00
20,bc,2022-G71778,55.6844,-122.499, 2022-08-22 22:19:00,105.0, OC,2022-10-03 15:49:47+00:00
21,pc,2022GL6,51.2111,-117.639, 2022-08-20 07:09:27,354.0, OC,2022-10-03 15:49:47+00:00
22,nt,SS073-22,60.3,-118.367, 2022-08-19 00:15:00,14170.0, OC,2022-10-03 15:49:47+00:00
23,ak,Chitanana,64.8753,-151.641, 2022-06-19 00:00:00,35266.4, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
24,ak,Goose,66.8761,-143.888, 2022-06-29 00:00:00,4465.86, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
25,pc,2022JA6,53.0511,-118.147, 2022-09-01 15:55:30,6000.0, BH,2022-10-03 15:49:47+00:00
26,bc,2022-G71706,55.269,-122.238, 2022-08-21 03:16:00,101.0, UC,2022-10-03 15:49:47+00:00
27,nt,FS006-22,60.7223,-123.715, 2022-06-18 16:11:00,200.0, OC,2022-10-03 15:49:47+00:00
28,ab,MWF-028-2022,56.6955,-110.024, 2022-06-25 21:22:00,198.5, UC,2022-10-03 15:49:47+00:00
29,ab,MWF-025-2022,56.6829,-110.714, 2022-06-14 15:07:00,1554.0, UC,2022-10-03 15:49:47+00:00
30,ab,MWF-034-2022,59.5952,-110.838, 2022-06-30 22:40:00,1301.6, UC,2022-10-03 15:49:47+00:00
31,ab,MWF-033-2022,59.7682,-111.047, 2022-06-30 19:20:00,1863.4, UC,2022-10-03 15:49:47+00:00
32,ab,MWF-018-2022,59.641,-111.325, 2022-06-13 20:26:00,2942.3, UC,2022-10-03 15:49:47+00:00
33,ab,MWF-055-2022,57.2708,-110.115, 2022-07-18 23:31:00,155.0, UC,2022-10-03 15:49:47+00:00
34,bc,2022-G72090,54.7249,-121.255, 2022-08-27 23:03:00,34.0, UC,2022-10-03 15:49:47+00:00
35,ab,MWF-032-2022,56.4519,-110.078, 2022-06-26 22:35:00,6476.0, UC,2022-10-03 15:49:47+00:00
36,ab,MWF-075-2022,58.0084,-113.913, 2022-08-18 00:55:00,26.79, UC,2022-10-03 15:49:47+00:00
37,bc,2022-G72252,54.7395,-120.992, 2022-09-04 00:56:00,199.0, UC,2022-10-03 15:49:47+00:00
38,ab,MWF-035-2022,57.3818,-110.167, 2022-07-03 22:32:00,70.0, UC,2022-10-03 15:49:47+00:00
39,ak,Shiilik,67.3924,-144.119, 2022-07-29 00:00:00,455.35, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
40,ak,Belle,66.9189,-143.704, 2022-06-29 00:00:00,374.41, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
41,ak,Dragon,64.85,-151.019, 2022-06-21 00:00:00,5893.02, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
42,bc,2022-N21645,51.1451,-116.669, 2022-08-20 16:26:00,18.0, BH,2022-10-03 15:49:47+00:00
43,bc,2022-R21934,53.5478,-127.048, 2022-08-24 23:36:00,330.0, BH,2022-10-03 15:49:47+00:00
44,bc,2022-G61701,56.0775,-125.72, 2022-08-21 01:42:00,713.0, UC,2022-10-03 15:49:47+00:00
45,bc,2022-N72279,50.5758,-117.054, 2022-09-05 21:27:00,13.0, BH,2022-10-03 15:49:47+00:00
46,bc,2022-N72196,49.864,-116.754, 2022-09-01 16:22:00,104.0, UC,2022-10-03 15:49:47+00:00
47,conus,Owl,45.373,-114.442, 2022-09-08 07:06:00,302.535, 100% contained,2022-10-03 15:49:47+00:00
48,conus,Mill Lake,46.312,-114.411, 2022-08-29 14:00:00,370.575, 0% contained,2022-10-03 15:49:47+00:00
49,conus,Eagle Creek,48.139,-109.682, 2022-09-07 14:30:00,2926.12, 100% contained,2022-10-03 15:49:47+00:00
50,bc,2022-N51361,50.4864,-117.717, 2022-08-13 15:04:00,5.0, UC,2022-10-03 15:49:47+00:00
51,conus,Cannon,47.716,-113.56, 2022-08-07 00:00:00,820.125, 0% contained,2022-10-03 15:49:47+00:00
52,nt,ZF060-22,63.0,-116.567, 2022-07-30 02:08:00,6488.0, OC,2022-10-03 15:49:47+00:00
53,nt,ZF009-22,61.9497,-115.335, 2022-06-19 20:30:00,41843.0, OC,2022-10-03 15:49:47+00:00
54,nt,SS018-22,60.2543,-110.493, 2022-06-16 23:06:00,25713.0, OC,2022-10-03 15:49:47+00:00
55,bc,2022-V81461,49.6559,-125.73, 2022-08-14 20:55:00,385.0, BH,2022-10-03 15:49:47+00:00
56,bc,2022-V81666,49.7011,-125.698, 2022-08-20 18:44:00,220.0, BH,2022-10-03 15:49:47+00:00
57,bc,2022-V82234,49.6855,-125.824, 2022-09-03 00:54:00,8.0, BH,2022-10-03 15:49:47+00:00
58,bc,2022-V52371,50.7037,-123.923, 2022-09-11 14:13:00,6.0, OC,2022-10-03 15:49:47+00:00
59,bc,2022-V62473,48.8839,-124.189, 2022-09-20 23:54:00,0.17, UC,2022-10-03 15:49:47+00:00
60,conus,Wolf Fang,45.138,-114.686, 2022-07-13 13:45:00,843.21, 0% contained,2022-10-03 15:49:47+00:00
61,conus,Boulder Lake,47.071,-113.82, 2022-09-03 21:00:00,741.555, 0% contained,2022-10-03 15:49:47+00:00
62,ak,Tetthajik,66.7158,-141.283, 2022-09-21 00:00:00,49.7, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
63,bc,2022-R11554,53.5334,-126.325, 2022-08-19 17:39:00,0.01, UC,2022-10-03 15:49:47+00:00
64,bc,2022-V82198,49.9182,-126.135, 2022-09-01 22:35:00,35.0, OC,2022-10-03 15:49:47+00:00
65,bc,2022-N11064,49.0962,-115.678, 2022-08-04 22:57:00,219.0, BH,2022-10-03 15:49:47+00:00
66,bc,2022-N41638,51.2488,-118.134, 2022-08-20 04:57:00,0.01, UC,2022-10-03 15:49:47+00:00
67,bc,2022-N41057,51.183,-118.085, 2022-08-04 02:43:00,379.0, BH,2022-10-03 15:49:47+00:00
68,bc,2022-N40903,50.8448,-117.886, 2022-07-31 02:38:00,0.6, UC,2022-10-03 15:49:47+00:00
69,conus,Rum Creek,42.641,-123.628, 2022-08-17 12:00:00,8645.54, 90% contained,2022-10-03 15:49:47+00:00
70,bc,2022-N41683,51.5808,-118.288, 2022-08-20 21:33:00,0.1, UC,2022-10-03 15:49:47+00:00
71,bc,2022-N41641,51.2462,-118.05, 2022-08-20 05:02:00,157.0, BH,2022-10-03 15:49:47+00:00
72,sk,22LX-FELLOW,55.7884,-106.899, 2022-08-29 19:33:55,787.8, OC,2022-10-03 15:49:47+00:00
73,bc,2022-K42324,50.641,-118.326, 2022-09-08 14:15:00,286.0, BH,2022-10-03 15:49:47+00:00
74,conus,Woodtick,44.854,-114.632, 2022-07-14 17:00:00,3887.19, 50% contained,2022-10-03 15:49:47+00:00
75,ak,Serpentine Creek,64.196,-144.244, 2022-07-04 00:00:00,533.78, Unstaffed/Uncontaine,2022-10-03 15:49:47+00:00
