,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
147,ab,MWF-025-2023,58.8671,-111.146, 2023-05-28 18:30:00,3000.0, OC, MDT,2023-05-31 06:37:07
148,on,WAW_FIRE_003,48.5366,-85.1704, 2023-05-27 18:36:00,4799.4, OC, GMT,2023-05-31 06:37:07
149,ns,05-009-2023,44.4085,-65.8589, 2023-05-29 21:00:00,1.0, UC, ADT,2023-05-31 06:37:07
150,mb,WE014,54.6,-101.14, 2023-05-29 05:00:00,0.1, UC, CDT,2023-05-31 06:37:07
151,nt,FS002-23,61.8247,-123.87, 2023-05-19 21:49:00,14550.0, OC, MDT,2023-05-31 06:37:07
152,nt,FS001-23,60.0514,-120.976, 2023-05-13 21:30:00,49548.0, OC, MDT,2023-05-31 06:37:07
153,ab,SWF-068-2023,55.8778,-116.408, 2023-05-05 19:12:00,122289.0, OC, MDT,2023-05-31 06:37:07
154,ab,EWF-050-2023,53.4066,-115.484, 2023-05-27 23:40:00,1.1, UC, MDT,2023-05-31 06:37:07
155,qc,173,48.1686,-70.8722, 2023-05-28 18:15:00,31.4, UC, EDT,2023-05-31 06:37:07
156,on,PAR_FIRE_006,45.2064,-79.5846, 2023-05-30 16:20:00,0.3, UC, GMT,2023-05-31 06:37:07
157,ns,09-011-2023,44.7233,-63.8765, 2023-05-28 20:00:00,837.0, OC, ADT,2023-05-31 06:37:07
158,nb,62002,46.0414,-64.7877, 2023-05-30 14:21:06,0.1, BH, ADT,2023-05-31 06:37:07
159,pc,2023WB10,58.7334,-111.507, 2023-05-30 21:13:40,10.0, OC, MDT,2023-05-31 06:37:07
160,pc,2023WB9,58.8869,-113.232, 2023-05-29 21:07:31,1000.0, OC, MDT,2023-05-31 06:37:07
161,qc,196,48.2961,-72.0186, 2023-05-30 17:00:00,5.5, BH, EDT,2023-05-31 06:37:07
162,qc,172,50.6178,-66.0056, 2023-05-28 15:30:00,1208.3, OC, EDT,2023-05-31 06:37:07
163,pc,2023KO1,50.6743,-115.838, 2023-05-18 18:55:12,288.0, UC, MDT,2023-05-31 06:37:07
164,bc,2023-V30530,49.7995,-123.102, 2023-05-30 01:34:00,0.04, UC, PDT,2023-05-31 06:37:07
165,bc,2023-G70472,54.8899,-120.98, 2023-05-21 22:07:00,4.0, UC, PDT,2023-05-31 06:37:07
166,nb,61962,45.9333,-67.5853, 2023-05-29 20:06:48,0.7, BH, ADT,2023-05-31 06:37:07
167,ab,LWF-138-2023,55.6255,-110.357, 2023-05-29 21:53:00,4000.0, OC, MDT,2023-05-31 06:37:07
168,pc,2023NA1,61.8325,-123.936, 2023-05-16 19:52:18,57130.0, OC, MDT,2023-05-31 06:37:07
169,bc,2023-N20466,50.6875,-115.826, 2023-05-21 19:28:00,40.0, UC, PDT,2023-05-31 06:37:07
170,ns,14-005-2023,45.2036,-61.6407, 2023-05-30 00:00:00,1.1, UC, ADT,2023-05-31 06:37:07
171,qc,163,49.7342,-74.5375, 2023-05-27 19:30:00,22.2, UC, EDT,2023-05-31 06:37:07
172,sk,23BN-AARON,56.565,-109.302, 2023-05-29 13:10:00,1613.6, OC, CST,2023-05-31 06:37:07
173,ab,LWF-142-2023,55.2798,-113.233, 2023-05-30 21:11:00,0.1, UC, MDT,2023-05-31 06:37:07
174,bc,2023-V80536,49.8977,-125.384, 2023-05-30 20:54:00,0.01, UC, PDT,2023-05-31 06:37:07
175,qc,204,47.5622,-73.3256, 2023-05-30 23:00:00,0.3, BH, EDT,2023-05-31 06:37:07
176,bc,2023-N10537,49.2651,-115.288, 2023-05-30 22:31:00,0.04, UC, PDT,2023-05-31 06:37:07
177,on,KLK_FIRE_001,48.3677,-80.2269, 2023-05-30 22:14:00,0.1, OC, GMT,2023-05-31 06:37:07
178,on,CHA_FIRE_001,47.7964,-83.2654, 2023-05-29 15:35:00,2.3, UC, GMT,2023-05-31 06:37:07
179,ns,03-010-2023,43.6286,-65.5833, 2023-05-27 20:00:00,19000.0, OC, ADT,2023-05-31 06:37:07
180,ns,01-019-2023,44.3311,-64.495, 2023-05-27 22:00:00,1.6, UC, ADT,2023-05-31 06:37:07
181,ns,04-022-2023,43.6089,-65.7526, 2023-05-30 00:00:00,100.0, OC, ADT,2023-05-31 06:37:07
182,pc,2023WB14,58.96,-113.29, 2023-05-31 01:32:46,3000.0, OC, MDT,2023-05-31 06:37:07
183,pc,2023WB12,58.1171,-112.644, 2023-05-31 01:08:52,0.0, OC, MDT,2023-05-31 06:37:07
184,qc,202,47.3397,-73.7817, 2023-05-30 17:00:00,24.8, BH, EDT,2023-05-31 06:37:07
185,qc,200,48.6472,-77.6328, 2023-05-30 18:30:00,15.0, BH, EDT,2023-05-31 06:37:07
186,sk,23LA-MCCRAE,56.0684,-105.852, 2023-05-11 17:13:38,71000.0, OC, CST,2023-05-31 06:37:07
187,sk,23BR-FROG,53.5294,-108.235, 2023-05-29 13:36:01,0.1, UC, CST,2023-05-31 06:37:07
188,bc,2023-G60325,57.3534,-124.844, 2023-05-15 21:48:00,17215.0, OC, PDT,2023-05-31 06:37:07
189,bc,2023-G30534,52.0869,-119.224, 2023-05-30 18:05:00,0.0, OC, PDT,2023-05-31 06:37:07
190,bc,2023-K20469,52.1381,-119.569, 2023-05-21 21:12:00,57.0, BH, PDT,2023-05-31 06:37:07
191,on,FOR_FIRE_003,48.8736,-93.5584, 2023-05-30 21:19:00,0.1, UC, GMT,2023-05-31 06:37:07
192,bc,2023-G90532,59.5061,-123.584, 2023-05-30 16:52:00,0.2, UC, PDT,2023-05-31 06:37:07
193,ab,WWF-036-2023,54.3335,-116.015, 2023-05-30 23:42:00,0.02, BH, MDT,2023-05-31 06:37:07
194,ab,LWF-140-2023,55.6463,-112.251, 2023-05-30 18:04:00,0.16, UC, MDT,2023-05-31 06:37:07
195,on,SLK_FIRE_010,52.1836,-90.7466, 2023-05-31 00:59:00,7.0, OC, GMT,2023-05-31 06:37:07
196,on,SLK_FIRE_009,52.3433,-90.6151, 2023-05-31 00:17:00,0.1, OC, GMT,2023-05-31 06:37:07
197,sk,23LA-WISTIGO,55.2572,-106.375, 2023-05-11 17:27:38,65882.0, OC, CST,2023-05-31 06:37:07
198,sk,23DB-KPIR02,54.8537,-103.39, 2023-05-18 15:13:07,8979.1, OC, CST,2023-05-31 06:37:07
199,sk,23LA-SHARP,55.4241,-105.122, 2023-05-19 13:48:02,18537.0, OC, CST,2023-05-31 06:37:07
200,ab,MWF-027-2023,59.6703,-111.427, 2023-05-30 23:13:00,0.01, BH, MDT,2023-05-31 06:37:07
201,on,SLK_FIRE_011,52.2709,-90.7495, 2023-05-31 01:00:00,0.3, BH, GMT,2023-05-31 06:37:07
202,sk,23BN-VERMETTE,55.6443,-109.219, 2023-04-29 19:52:08,76410.0, OC, CST,2023-05-31 06:37:07
203,on,TIM_FIRE_005,47.3702,-81.5476, 2023-05-28 19:54:00,2.0, UC, GMT,2023-05-31 06:37:07
204,pc,2023WB8,58.9604,-112.99, 2023-05-29 19:03:21,100.0, OC, MDT,2023-05-31 06:37:07
205,pc,2023WB11,59.2167,-113.423, 2023-05-30 23:53:22,500.0, OC, MDT,2023-05-31 06:37:07
206,ab,LWF-141-2023,55.1108,-113.189, 2023-05-30 19:22:00,0.3, BH, MDT,2023-05-31 06:37:07
207,pc,2023WB13,58.841,-113.196, 2023-05-31 01:25:47,0.2, OC, MDT,2023-05-31 06:37:07
