,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,response_type,timestamp
0,ab,LWF-158-2023,55.9235,-110.689, 2023-06-22 16:42:00,0.01, UC, MDT, FUL,2023-10-25 20:50:21
1,nt,VQ014-23,66.6111,-128.729, 2023-07-10 00:46:00,2.0, OC, MDT, MON,2023-10-25 20:50:21
2,nt,FS016-23,60.14,-123.015, 2023-07-07 23:47:00,6.0, OC, MDT, FUL,2023-10-25 20:50:21
3,nt,FS013-23,60.5224,-122.895, 2023-07-05 00:43:00,1.0, OC, MDT, FUL,2023-10-25 20:50:21
4,nt,FS007-23,60.7851,-121.359, 2023-06-05 19:24:00,333.0, OC, MDT, FUL,2023-10-25 20:50:21
5,nt,FS009-23,60.1275,-123.822, 2023-06-10 22:08:00,66.0, OC, MDT, MOD,2023-10-25 20:50:21
6,ab,HWF-002-2023,58.5221,-115.167, 2023-03-30 20:05:00,0.1, UC, , FUL,2023-10-25 20:50:21
7,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC, MDT, FUL,2023-10-25 20:50:21
8,ab,MNZ-001-2023,58.0639,-112.669, 2023-06-03 15:25:00,2595.0, BH, MDT, FUL,2023-10-25 20:50:21
9,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,5089.0, UC, MDT, FUL,2023-10-25 20:50:21
10,yt,2023MA012,63.6439,-135.242, 2023-07-21 00:23:00,1.5, UC, PDT, FUL,2023-10-25 20:50:21
11,nt,FS014-23,60.4825,-120.694, 2023-07-05 17:22:00,37.47, OC, MDT, MON,2023-10-25 20:50:21
12,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, UC, MDT, FUL,2023-10-25 20:50:21
13,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, UC, MDT, FUL,2023-10-25 20:50:21
14,bc,2023-G91021,59.7755,-125.343, 2023-07-01 00:43:00,12.0, BH, PDT, MON,2023-10-25 20:50:21
15,ab,GWF-027-2023,54.5201,-117.357, 2023-05-13 18:44:00,54988.4, UC, MDT, FUL,2023-10-25 20:50:21
16,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC, MDT, FUL,2023-10-25 20:50:21
17,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2947.0, UC, PDT, FUL,2023-10-25 20:50:21
18,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2478.0, UC, MDT, FUL,2023-10-25 20:50:21
19,ab,EWF-035-2023,53.8368,-115.783, 2023-05-05 20:03:00,19672.0, UC, MDT, FUL,2023-10-25 20:50:21
20,ab,WCU-001-2023,53.5614,-114.903, 2023-04-29 22:40:00,6284.0, UC, MDT, FUL,2023-10-25 20:50:21
21,nt,SS005-23,60.8492,-115.694, 2023-05-14 15:45:00,3208.9, UC, MDT, FUL,2023-10-25 20:50:21
22,ab,LWF-148-2023,55.9353,-111.105, 2023-06-07 22:19:00,2317.0, UC, MDT, FUL,2023-10-25 20:50:21
23,ab,GWF-035-2023,55.5859,-119.403, 2023-06-04 21:41:00,872.0, UC, MDT, FUL,2023-10-25 20:50:21
24,nt,VQ011-23,65.1425,-126.079, 2023-07-09 15:26:00,6.0, OC, MDT, FUL,2023-10-25 20:50:21
25,nt,FS015-23,60.2083,-123.692, 2023-07-08 00:50:00,0.01, OC, MDT, FUL,2023-10-25 20:50:21
26,pc,2023NA1,61.8325,-123.936, 2023-05-16 19:52:18,57130.0, OC, MDT, MON,2023-10-25 20:50:21
27,bc,2023-R21286,53.6527,-126.824, 2023-07-08 18:28:00,0.0, BH, PDT, FUL,2023-10-25 20:50:21
28,nt,FS010-23,61.0082,-119.992, 2023-06-12 23:11:00,90508.0, OC, MDT, FUL,2023-10-25 20:50:21
29,nt,VQ054-23,64.9026,-125.445, 2023-09-15 15:00:00,194.0, OC, MDT, MOD,2023-10-25 20:50:21
30,conus,Tyee Ridge Complex,43.3725,-123.587, ,3217.73, 90% contained,,,2023-10-25 20:50:21
31,pc,2023WB17,59.835,-112.285, 2023-07-02 02:47:48,13.0, BH, MDT, MOD,2023-10-25 20:50:21
32,conus,Tin Soldier,47.9517,-113.734, ,3306.82, 94% contained,,,2023-10-25 20:50:21
33,pc,2023WB13,58.841,-113.196, 2023-05-31 01:25:47,99.0, OC, MDT, MOD,2023-10-25 20:50:21
34,bc,2023-G90292,58.0517,-123.325, 2023-05-13 23:28:00,21056.0, BH, PDT, MON,2023-10-25 20:50:21
35,bc,2023-R51711,53.114,-127.599, 2023-07-15 02:46:00,512.0, BH, PDT, FUL,2023-10-25 20:50:21
36,bc,2023-R11289,53.2987,-126.87, 2023-07-08 19:47:00,0.01, BH, PDT, FUL,2023-10-25 20:50:21
37,bc,2023-R51710,53.125,-127.651, 2023-07-15 02:41:00,230.0, BH, PDT, FUL,2023-10-25 20:50:21
38,bc,2023-R21609,55.0409,-125.894, 2023-07-12 16:24:00,168.0, BH, PDT, FUL,2023-10-25 20:50:21
39,nt,FS011-23,61.0257,-122.985, 2023-07-04 03:21:00,320.0, OC, MDT, FUL,2023-10-25 20:50:21
40,ab,MWF-030-2023,59.2466,-110.953, 2023-06-04 16:25:00,7.4, BH, MDT, FUL,2023-10-25 20:50:21
41,bc,2023-G90776,58.2226,-123.885, 2023-06-14 04:03:00,804.46, BH, PDT, MON,2023-10-25 20:50:21
42,bc,2023-G90949,59.628,-126.953, 2023-06-28 00:51:00,5278.13, BH, PDT, MON,2023-10-25 20:50:21
43,bc,2023-G90956,59.5248,-126.651, 2023-06-28 03:39:00,12107.2, BH, PDT, MON,2023-10-25 20:50:21
44,yt,2023MA016,64.0829,-132.398, 2023-07-24 20:07:00,432.0, OC, PDT, FUL,2023-10-25 20:50:21
45,yt,2023MA014,64.1004,-133.527, 2023-07-24 19:50:00,234.0, OC, PDT, FUL,2023-10-25 20:50:21
46,yt,2023MA015,64.1748,-132.672, 2023-07-24 20:02:00,2204.0, OC, PDT, FUL,2023-10-25 20:50:21
47,ab,PWF-090-2023,57.0219,-116.25, 2023-07-06 22:41:00,49.4, UC, MDT, FUL,2023-10-25 20:50:21
48,ab,PWF-038-2023,56.3832,-116.808, 2023-05-06 05:24:00,6534.0, UC, MDT, FUL,2023-10-25 20:50:21
49,bc,2023-V70600,49.2773,-124.615, 2023-06-04 07:53:00,229.0, UC, PDT, FUL,2023-10-25 20:50:21
50,bc,2023-G90565,57.9132,-123.931, 2023-06-02 18:14:00,208.0, UC, PDT, MON,2023-10-25 20:50:21
51,yt,2023XY014,60.6247,-134.023, 2023-06-18 20:14:00,0.01, UC, PDT, FUL,2023-10-25 20:50:21
52,yt,2023XY019,60.8265,-135.749, 2023-07-09 00:51:00,1546.0, UC, PDT, FUL,2023-10-25 20:50:21
53,bc,2023-R11387,53.7504,-126.174, 2023-07-09 19:20:00,12142.0, OC, PDT, FUL,2023-10-25 20:50:21
54,bc,2023-R23091,53.4992,-127.071, 2023-08-31 18:26:00,1255.0, OC, PDT, FUL,2023-10-25 20:50:21
55,ab,HWF-065-2023,57.5528,-114.925, 2023-06-10 21:30:00,1425.2, BH, MDT, FUL,2023-10-25 20:50:21
56,bc,2023-G50912,55.7693,-126.376, 2023-06-26 00:45:00,816.9, BH, PDT, FUL,2023-10-25 20:50:21
57,pc,2023WB15,59.4837,-111.957, 2023-06-10 16:37:08,11.7, UC, MDT, FUL,2023-10-25 20:50:21
58,ab,SWF-116-2023,57.1762,-113.801, 2023-07-08 00:05:00,10670.0, BH, MDT, FUL,2023-10-25 20:50:21
59,pc,2023NA2,60.9682,-126.681, 2023-06-29 00:23:39,1400.0, OC, MDT, MON,2023-10-25 20:50:21
60,conus,Grizzly,43.5931,-122.619, ,131.22, 0% contained,,,2023-10-25 20:50:21
61,bc,2023-G92594,59.9374,-127.762, 2023-08-07 18:51:00,316.5, OC, PDT, FUL,2023-10-25 20:50:21
62,bc,2023-G90273,58.0617,-121.912, 2023-05-12 20:25:00,42838.5, OC, PDT, MON,2023-10-25 20:50:21
63,bc,2023-G91494,59.8051,-121.785, 2023-07-10 20:49:00,6996.4, OC, PDT, MON,2023-10-25 20:50:21
64,bc,2023-G91739,59.4203,-123.656, 2023-07-16 01:17:00,33425.6, OC, PDT, MON,2023-10-25 20:50:21
65,bc,2023-R21225,54.0392,-126.826, 2023-07-08 02:03:00,86.0, UC, PDT, FUL,2023-10-25 20:50:21
66,bc,2023-V53075,50.5322,-124.34, 2023-08-30 21:52:00,262.0, UC, PDT, MON,2023-10-25 20:50:21
67,bc,2023-G93240,58.2129,-122.007, 2023-09-13 17:46:00,6.4, UC, PDT, FUL,2023-10-25 20:50:21
68,ab,PWF-121-2023,57.252,-117.095, 2023-07-23 21:28:00,15.8, UC, MDT, FUL,2023-10-25 20:50:21
69,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, UC, MDT, FUL,2023-10-25 20:50:21
70,bc,2023-G93241,58.4398,-122.064, 2023-09-13 18:51:00,0.5, UC, PDT, FUL,2023-10-25 20:50:21
71,bc,2023-V11152,49.3115,-122.244, 2023-07-06 03:55:00,215.0, UC, PDT, MOD,2023-10-25 20:50:21
72,bc,2023-V13025,49.314,-121.726, 2023-08-29 15:55:00,1.5, UC, PDT, FUL,2023-10-25 20:50:21
73,conus,Cowlitz Complex,46.5325,-121.775, ,296.055, 39% contained,,,2023-10-25 20:50:21
74,bc,2023-V13109,49.56,-121.97, 2023-09-01 21:45:00,0.47, UC, PDT, FUL,2023-10-25 20:50:21
75,bc,2023-V13306,49.4174,-122.547, 2023-09-18 00:06:00,0.09, UC, PDT, FUL,2023-10-25 20:50:21
76,ab,PWF-145-2023,56.4322,-119.159, 2023-10-24 17:12:00,1.0, UC, MDT, FUL,2023-10-25 20:50:21
77,bc,2023-G90790,57.8996,-123.61, 2023-06-15 03:22:00,10.0, BH, PDT, MON,2023-10-25 20:50:21
78,yt,2023WL003,60.46,-125.972, 2023-06-02 16:27:00,1728.86, BH, PDT, FUL,2023-10-25 20:50:21
79,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:07:00,12073.4, UC, MDT, FUL,2023-10-25 20:50:21
80,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:50:00,578.0, UC, MDT, FUL,2023-10-25 20:50:21
81,bc,2023-G80280,57.6187,-122.012, 2023-05-13 00:58:00,619072.0, UC, PDT, FUL,2023-10-25 20:50:21
82,bc,2023-G33441,53.7464,-120.397, 2023-10-24 19:46:00,0.2, UC, PDT, FUL,2023-10-25 20:50:21
83,conus,Wawawai,46.6533,-117.372, ,213.03, 99% contained,,,2023-10-25 20:50:21
84,ak,Divide Mountain,63.919,-141.2, 2023-07-27 00:00:00,0.4, Unstaffed/Uncontaine,,,2023-10-25 20:50:21
85,bc,2023-R91774,59.1154,-132.885, 2023-07-16 23:01:00,0.7, UC, PDT, FUL,2023-10-25 20:50:21
86,bc,2023-G91933,59.463,-120.0, 2023-07-20 20:51:00,2272.0, OC, PDT, MON,2023-10-25 20:50:21
87,ab,EWF-076-2023,52.9975,-116.422, 2023-07-24 23:19:00,71.6, UC, MDT, FUL,2023-10-25 20:50:21
88,ab,HWF-064-2023,59.2838,-119.067, 2023-06-09 21:47:00,6175.0, UC, MDT, FUL,2023-10-25 20:50:21
89,bc,2023-K22024,50.4484,-120.401, 2023-07-21 21:49:00,11382.0, UC, PDT, FUL,2023-10-25 20:50:21
90,yt,2023MA025,64.05,-136.917, 2023-07-27 22:40:00,1.0, OC, PDT, FUL,2023-10-25 20:50:21
91,ab,PWF-120-2023,57.2357,-116.359, 2023-07-23 20:55:00,200.0, UC, MDT, FUL,2023-10-25 20:50:21
92,bc,2023-G60858,57.6324,-125.927, 2023-06-24 03:52:00,4638.0, BH, PDT, FUL,2023-10-25 20:50:21
93,conus,NEWELL ROAD,45.8308,-120.459, ,24523.2, 100% contained,,,2023-10-25 20:50:21
94,ak,Keystone Creek,64.3578,-145.782, 2023-07-24 00:00:00,21.85, Unstaffed/Uncontaine,,,2023-10-25 20:50:21
95,bc,2023-R11546,54.1573,-126.103, 2023-07-11 19:11:00,138.0, UC, PDT, FUL,2023-10-25 20:50:21
96,bc,2023-R90857,57.3586,-129.028, 2023-06-24 02:58:00,762.36, BH, PDT, MOD,2023-10-25 20:50:21
97,bc,2023-R90877,57.4801,-127.652, 2023-06-24 16:18:00,14460.1, BH, PDT, MOD,2023-10-25 20:50:21
98,yt,2023MA031,63.6665,-136.336, 2023-07-30 02:25:00,0.1, UC, PDT, FUL,2023-10-25 20:50:21
99,yt,2023OC026,67.7757,-139.067, 2023-07-30 23:30:00,488.0, OC, PDT, FUL,2023-10-25 20:50:21
100,bc,2023-R91733,57.9994,-128.433, 2023-07-15 22:57:00,68.25, BH, PDT, MON,2023-10-25 20:50:21
101,nt,VQ055-23,64.4182,-125.586, 2023-09-21 21:25:00,1.0, OC, MDT, MON,2023-10-25 20:50:21
102,ab,PWF-091-2023,56.7159,-118.502, 2023-07-08 21:51:00,179.1, UC, MDT, FUL,2023-10-25 20:50:21
103,ab,PWF-074-2023,56.4525,-116.18, 2023-06-28 21:46:00,101.2, UC, MDT, FUL,2023-10-25 20:50:21
104,yt,2023OC016,67.9599,-138.611, 2023-07-30 16:54:00,2656.0, OC, PDT, FUL,2023-10-25 20:50:21
105,yt,2023OC017,68.0804,-138.435, 2023-07-30 16:55:00,3109.0, OC, PDT, FUL,2023-10-25 20:50:21
106,ab,LWF-188-2023,54.6809,-111.925, 2023-10-24 19:59:00,0.1, UC, MDT, FUL,2023-10-25 20:50:21
107,ab,LWF-138-2023,55.6255,-110.357, 2023-05-29 21:53:00,4800.0, UC, MDT, FUL,2023-10-25 20:50:21
108,mb,NO066,56.2333,-101.628, 2023-07-01 05:00:00,11017.0, OC, CDT, MON,2023-10-25 20:50:21
109,mb,NO086,55.8011,-100.99, 2023-07-20 05:00:00,534.8, UC, CDT, MOD,2023-10-25 20:50:21
110,mb,NO115,52.9847,-95.1306, 2023-08-05 05:00:00,239.2, OC, CDT, MON,2023-10-25 20:50:21
111,bc,2023-V80527,50.3709,-126.044, 2023-05-29 21:34:00,230.0, UC, PDT, FUL,2023-10-25 20:50:21
112,bc,2023-V81938,49.6086,-126.112, 2023-07-20 21:46:00,121.87, UC, PDT, MON,2023-10-25 20:50:21
113,bc,2023-G11293,53.4815,-123.847, 2023-07-08 20:50:00,2420.0, UC, PDT, FUL,2023-10-25 20:50:21
114,bc,2023-G73140,56.0086,-120.188, 2023-09-03 00:05:00,10.85, UC, PDT, FUL,2023-10-25 20:50:21
115,bc,2023-R91184,59.7033,-134.251, 2023-07-07 19:04:00,2253.27, BH, PDT, MOD,2023-10-25 20:50:21
116,ak,Delta,64.0799,-146.4, 2023-07-25 00:00:00,23160.2, Unstaffed/Uncontaine,,,2023-10-25 20:50:21
117,bc,2023-C51974,52.0612,-123.491, 2023-07-21 03:39:00,1306.0, UC, PDT, FUL,2023-10-25 20:50:21
118,qc,223,47.3875,-73.1494, ,0.0, UC, EDT, FUL,2023-10-25 20:50:21
119,qc,543,54.8167,-72.3636, ,1058.2, OC, EDT, MON,2023-10-25 20:50:21
120,bc,2023-V53071,50.4919,-124.329, 2023-08-30 18:41:00,2.0, UC, PDT, MON,2023-10-25 20:50:21
121,bc,2023-G92729,59.2618,-122.485, 2023-08-13 23:08:00,125.0, BH, PDT, FUL,2023-10-25 20:50:21
122,bc,2023-G93291,59.5718,-121.863, 2023-09-16 22:47:00,0.01, OC, PDT, FUL,2023-10-25 20:50:21
123,ab,HWF-087-2023,58.1581,-114.183, 2023-06-30 22:30:00,12508.0, BH, MDT, FUL,2023-10-25 20:50:21
124,conus,South Slope / Roza Slope,46.7281,-120.448, ,283.5, 0% contained,,,2023-10-25 20:50:21
125,yt,2023MA035,63.557,-136.124, 2023-08-03 02:22:00,0.25, UC, PDT, FUL,2023-10-25 20:50:21
126,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,87492.0, UC, MDT, FUL,2023-10-25 20:50:21
127,ab,GWF-038-2023,55.655,-119.485, 2023-06-06 19:46:00,7148.0, UC, MDT, FUL,2023-10-25 20:50:21
128,bc,2023-R51709,53.159,-127.728, 2023-07-15 02:34:00,110.0, BH, PDT, FUL,2023-10-25 20:50:21
129,bc,2023-C11290,52.8138,-122.935, 2023-07-08 20:17:00,2784.7, UC, PDT, FUL,2023-10-25 20:50:21
130,pc,2023VU1,68.4036,-138.807, 2023-07-30 23:58:18,600.0, OC, PDT, MON,2023-10-25 20:50:21
131,bc,2023-C51981,52.2005,-123.48, 2023-07-21 04:37:00,1400.0, UC, PDT, FUL,2023-10-25 20:50:21
132,ab,HWF-102-2023,58.7211,-115.859, 2023-07-03 16:31:00,1166.5, UC, MDT, FUL,2023-10-25 20:50:21
133,ab,LSZ-001-2023,55.272,-110.026, 2023-08-04 08:35:00,4900.0, UC, MDT, FUL,2023-10-25 20:50:21
134,ab,SWF-060-2023,55.9564,-115.056, 2023-05-04 22:09:00,43981.0, UC, MDT, FUL,2023-10-25 20:50:21
135,bc,2023-C33245,52.596,-121.312, 2023-09-13 22:38:00,5.0, UC, PDT, MOD,2023-10-25 20:50:21
136,conus,2023 Airplane Lake OWF,48.0142,-121.013, ,2817.18, 0% contained,,,2023-10-25 20:50:21
137,bc,2023-R23312,53.9193,-126.747, 2023-09-18 18:04:00,0.35, UC, PDT, FUL,2023-10-25 20:50:21
138,yt,2023OC011,67.7859,-140.392, 2023-07-30 16:42:00,4000.0, OC, PDT, FUL,2023-10-25 20:50:21
139,ab,HWF-083-2023,57.7994,-114.775, 2023-06-30 20:35:00,13700.0, BH, MDT, FUL,2023-10-25 20:50:21
140,bc,2023-G91359,58.232,-122.343, 2023-07-09 03:10:00,8.0, UC, PDT, MON,2023-10-25 20:50:21
141,yt,2023MA042,65.6769,-135.908, 2023-08-05 23:33:00,675.0, OC, PDT, FUL,2023-10-25 20:50:21
142,bc,2023-R51402,53.2281,-127.851, 2023-07-09 22:01:00,100.0, BH, PDT, FUL,2023-10-25 20:50:21
143,bc,2023-R51713,53.069,-127.52, 2023-07-15 03:08:00,66.0, BH, PDT, MON,2023-10-25 20:50:21
144,yt,2023MA045,64.1817,-134.921, 2023-08-06 00:52:00,2655.0, OC, PDT, FUL,2023-10-25 20:50:21
145,yt,2023MA043,65.4109,-133.382, 2023-08-06 00:07:00,4723.0, OC, PDT, FUL,2023-10-25 20:50:21
146,yt,2023MA046,64.2772,-137.141, 2023-08-06 01:07:00,90.0, OC, PDT, FUL,2023-10-25 20:50:21
147,ab,PWF-103-2023,57.026,-118.363, 2023-07-17 01:41:00,96.4, UC, MDT, FUL,2023-10-25 20:50:21
148,nt,VQ040-23,65.3528,-125.573, 2023-08-01 16:00:00,165.0, OC, MDT, MON,2023-10-25 20:50:21
149,bc,2023-C42542,51.9398,-120.463, 2023-08-06 22:42:00,0.01, OC, PDT, FUL,2023-10-25 20:50:21
150,nt,VQ029-23,64.623,-124.878, 2023-08-03 00:56:00,266.0, OC, MDT, MOD,2023-10-25 20:50:21
151,nt,VQ021-23,65.6601,-126.841, 2023-07-23 17:21:00,1542.0, OC, MDT, MON,2023-10-25 20:50:21
152,nt,VQ018-23,66.9196,-129.473, 2023-07-14 15:07:00,38550.0, OC, MDT, MON,2023-10-25 20:50:21
153,bc,2023-V13203,49.2396,-121.483, 2023-09-09 05:47:00,20.0, BH, PDT, MON,2023-10-25 20:50:21
