,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,NO660,57.7686,-95.9911, 2022-08-17 05:00:00,30.0, OC,2022-10-31 12:53:13+00:00
1,conus,Lemhi,45.429,-115.43, 2022-09-21 00:00:00,342.225, 0% contained,2022-10-31 12:53:13+00:00
2,conus,White River (&amp; Irving Peak,47.885,-120.917, 2022-08-11 00:00:00,5836.86, 10% contained,2022-10-31 12:53:13+00:00
3,nt,FS040-22,61.72,-123.368, 2022-09-23 15:26:00,2009.0, OC,2022-10-31 12:53:13+00:00
4,nt,FS006-22,60.7223,-123.715, 2022-06-18 16:11:00,12922.0, OC,2022-10-31 12:53:13+00:00
5,bc,2022-N62637,49.0085,-118.301, 2022-10-09 22:29:00,203.0, UC,2022-10-31 12:53:13+00:00
6,bc,2022-C52648,51.9698,-124.136, 2022-10-10 22:04:00,248.0, UC,2022-10-31 12:53:13+00:00
7,bc,2022-V52371,50.7037,-123.923, 2022-09-11 14:13:00,22.5, BH,2022-10-31 12:53:13+00:00
8,bc,2022-V81461,49.6559,-125.73, 2022-08-14 20:55:00,248.0, BH,2022-10-31 12:53:13+00:00
9,bc,2022-K21279,51.48,-119.731, 2022-08-12 18:41:00,385.8, UC,2022-10-31 12:53:13+00:00
10,bc,2022-G72150,56.0043,-122.719, 2022-08-30 22:49:00,34753.0, BH,2022-10-31 12:53:13+00:00
11,bc,2022-G82427,57.4593,-123.653, 2022-09-14 21:22:00,2484.3, BH,2022-10-31 12:53:13+00:00
12,bc,2022-R21934,53.5478,-127.048, 2022-08-24 23:36:00,330.0, UC,2022-10-31 12:53:13+00:00
13,conus,Suiattle River,48.311,-121.392, 2022-08-30 14:45:00,926.64, 0% contained,2022-10-31 12:53:13+00:00
14,bc,2022-G82535,57.3324,-123.552, 2022-10-01 00:12:00,154.6, BH,2022-10-31 12:53:13+00:00
15,bc,2022-N42524,51.905,-117.935, 2022-09-29 20:08:00,7.36, UC,2022-10-31 12:53:13+00:00
16,conus,Moose,45.375,-114.091, 2022-07-17 16:00:00,52730.2, 80% contained,2022-10-31 12:53:13+00:00
17,sk,22DN-BIIR06,54.4209,-109.619, 2022-10-12 14:32:45,60.0, UC,2022-10-31 12:53:13+00:00
18,sk,22DN-LLIR11,54.0371,-109.257, 2022-10-10 00:20:54,4.8, UC,2022-10-31 12:53:13+00:00
19,sk,22DN-MOOSE,53.9385,-108.56, 2022-10-18 06:57:23,130.0, UC,2022-10-31 12:53:13+00:00
20,nt,FS039-22,60.9471,-120.396, 2022-09-11 19:00:00,747.0, OC,2022-10-31 12:53:13+00:00
21,nt,FS037-22,61.3552,-120.203, 2022-08-24 14:47:00,1250.0, OC,2022-10-31 12:53:13+00:00
22,nt,FS029-22,62.0627,-121.107, 2022-08-17 20:03:00,5507.0, OC,2022-10-31 12:53:13+00:00
23,nt,FS017-22,60.9862,-120.352, 2022-07-11 17:18:00,3016.0, OC,2022-10-31 12:53:13+00:00
24,nt,FS009-22,61.9333,-122.483, 2022-06-20 21:21:00,11645.0, OC,2022-10-31 12:53:13+00:00
25,nt,FS008-22,62.8901,-123.142, 2022-06-21 01:55:00,45908.0, OC,2022-10-31 12:53:13+00:00
26,bc,2022-G71778,55.6844,-122.499, 2022-08-22 22:19:00,1793.0, OC,2022-10-31 12:53:13+00:00
27,conus,Woodtick,44.854,-114.632, 2022-07-14 17:00:00,3982.77, 50% contained,2022-10-31 12:53:13+00:00
28,conus,Murphy Lake,47.682,-121.133, 2022-08-18 14:30:00,179.82, 0% contained,2022-10-31 12:53:13+00:00
