,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2022-G72150,56.0043,-122.719, 2022-08-30 22:49:00,31755.0, BH,2022-10-17 09:51:20+00:00
1,nl,136,48.623,-55.76, 2022-07-24 00:00:00,16750.7, UC,2022-10-17 09:51:20+00:00
2,nt,SS069-22,60.2444,-111.35, 2022-08-17 23:28:00,34944.0, OC,2022-10-17 09:51:20+00:00
3,nt,SS082-22,61.0092,-113.253, 2022-09-10 21:24:00,472.07, OC,2022-10-17 09:51:20+00:00
4,nt,SS076-22,60.3785,-111.786, 2022-08-27 00:25:00,6989.3, OC,2022-10-17 09:51:20+00:00
5,mb,NO660,57.7686,-95.9911, 2022-08-17 05:00:00,30.0, OC,2022-10-17 09:51:20+00:00
6,ak,American,64.0983,-153.775, 2022-07-06 00:00:00,3983.4, Unstaffed/Uncontaine,2022-10-17 09:51:20+00:00
7,conus,Nebo,45.133,-117.11, 2022-08-25 16:19:00,5106.24, 94% contained,2022-10-17 09:51:20+00:00
8,conus,Double Creek BAER,45.46,-116.739, ,69459.5, 0% contained,2022-10-17 09:51:20+00:00
9,ab,MWF-033-2022,59.7682,-111.047, 2022-06-30 19:20:00,2010.8, UC,2022-10-17 09:51:20+00:00
10,ab,MWF-022-2022,59.4184,-110.813, 2022-06-14 00:43:00,33207.1, BH,2022-10-17 09:51:20+00:00
11,ab,MWF-015-2022,59.8171,-111.119, 2022-06-12 22:49:00,4057.9, BH,2022-10-17 09:51:20+00:00
12,conus,Sturgill,45.284,-117.534, 2022-08-22 12:00:00,8779.59, 80% contained,2022-10-17 09:51:20+00:00
13,ak,Hog Butte,63.6774,-153.572, 2022-06-05 00:00:00,82614.7, Unstaffed/Uncontaine,2022-10-17 09:51:20+00:00
14,pc,2022WB18,58.7227,-113.541, 2022-08-25 22:58:00,60.0, OC,2022-10-17 09:51:20+00:00
15,conus,Double Creek,45.428,-116.739, 2022-08-30 17:00:00,69459.5, 89% contained,2022-10-17 09:51:20+00:00
16,bc,2022-V12583,49.772,-121.573, 2022-10-04 23:32:00,0.3, OC,2022-10-17 09:51:20+00:00
17,bc,2022-V82198,49.9182,-126.135, 2022-09-01 22:35:00,41.0, OC,2022-10-17 09:51:20+00:00
18,bc,2022-G82427,57.4593,-123.653, 2022-09-14 21:22:00,243.0, BH,2022-10-17 09:51:20+00:00
19,bc,2022-G82543,56.7006,-121.09, 2022-10-01 22:07:00,5.8, UC,2022-10-17 09:51:20+00:00
20,bc,2022-G62456,56.4885,-123.85, 2022-09-18 16:25:00,3.0, BH,2022-10-17 09:51:20+00:00
21,bc,2022-N40903,50.8448,-117.886, 2022-07-31 02:38:00,3.37, UC,2022-10-17 09:51:20+00:00
22,bc,2022-N41303,50.9282,-117.866, 2022-08-12 22:24:00,360.0, UC,2022-10-17 09:51:20+00:00
23,bc,2022-N41426,51.6567,-118.104, 2022-08-14 03:16:00,5.0, UC,2022-10-17 09:51:20+00:00
24,bc,2022-C52512,51.3184,-124.764, 2022-09-27 18:51:00,5.0, BH,2022-10-17 09:51:20+00:00
25,bc,2022-C22568,52.0373,-122.017, 2022-10-03 22:20:00,0.01, UC,2022-10-17 09:51:20+00:00
26,bc,2022-VA2318,51.9033,-125.691, 2022-09-07 23:35:00,0.01, BH,2022-10-17 09:51:20+00:00
