,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,mb,EA012,52.6697,-96.4333, 2022-07-18 05:00:00,150.0, OC,2022-08-16 02:44:40+00:00
1,mb,WE029,54.7378,-100.885, 2022-07-15 05:00:00,650.0, UC,2022-08-16 02:44:40+00:00
2,ak,Aghaluk Mountain,61.5703,-158.006, 2022-06-06 00:00:00,46550.9, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
3,ak,Gagaryah River,61.5758,-155.85, 2022-06-05 00:00:00,15746.3, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
4,sk,22SR-HEINZ,58.2326,-102.548, 2022-07-12 01:02:25,10373.4, OC,2022-08-16 02:44:40+00:00
5,ak,Minto Lakes,65.01,-148.747, 2022-06-21 00:00:00,15197.5, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
6,ak,Howling Dog,66.973,-141.982, 2022-07-06 00:00:00,5731.03, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
7,ak,Snohomish,63.799,-152.874, 2022-06-07 00:00:00,15559.8, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
8,nt,FS008-22,62.8901,-123.142, 2022-06-21 01:55:00,21933.6, OC,2022-08-16 02:44:40+00:00
9,ak,Huron,65.5559,-149.416, 2022-06-24 00:00:00,7675.78, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
10,ak,Troublesome,65.4916,-149.695, 2022-06-23 00:00:00,5473.97, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
11,ak,Sunset,65.1098,-153.792, 2022-06-24 00:00:00,1214.66, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
12,ak,Camp Creek,64.1757,-156.109, 2022-06-21 00:00:00,32345.9, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
13,ak,Pike Creek,59.8783,-156.251, 2022-06-08 00:00:00,35656.0, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
14,ak,Mud River,64.0992,-157.01, 2022-06-25 00:00:00,17645.7, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
15,ak,Galatea Creek,63.9883,-156.926, 2022-06-20 00:00:00,4264.08, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
16,ak,Melozitna,65.0585,-155.233, 2022-06-13 00:00:00,3112.84, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
17,nt,ZF056-22,63.9723,-113.619, 2022-07-24 14:30:00,387.0, OC,2022-08-16 02:44:40+00:00
18,nt,ZF009-22,61.9497,-115.335, 2022-06-19 20:30:00,41843.0, OC,2022-08-16 02:44:40+00:00
19,ab,MWF-032-2022,56.4519,-110.078, 2022-06-26 22:35:00,6476.0, BH,2022-08-16 02:44:40+00:00
20,ak,Douglas,66.872,-150.521, 2022-06-21 00:00:00,9373.19, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
21,ak,Curky,66.18,-150.639, 2022-06-20 00:00:00,12300.2, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
22,ak,Tanana River,64.9085,-149.627, 2022-06-19 00:00:00,10207.4, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
23,ak,MM 125,66.6468,-150.659, 2022-07-03 00:00:00,1337.28, Unstaffed/Uncontaine,2022-08-16 02:44:40+00:00
24,bc,2022-G90789,59.8189,-126.751, 2022-07-27 18:30:00,1100.0, BH,2022-08-16 02:44:40+00:00
25,bc,2022-V50368,50.8751,-124.73, 2022-06-29 00:22:00,208.0, OC,2022-08-16 02:44:40+00:00
