,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
178,qc,222,49.0603,-76.1283, 2023-06-01 03:35:00,900.0, OC, EDT,2023-06-04 20:38:39
179,qc,307,49.4628,-76.1267, 2023-06-01 23:19:00,0.0, BH, EDT,2023-06-04 20:38:39
180,qc,315,48.8014,-77.2322, 2023-06-01 23:13:00,0.5, BH, EDT,2023-06-04 20:38:39
181,bc,2023-C30572,52.6924,-120.486, 2023-06-03 00:28:00,10.0, OC, PDT,2023-06-04 20:38:39
182,sk,23BN-VOLD,55.8379,-109.774, 2023-06-02 16:41:36,4125.0, OC, CST,2023-06-04 20:38:39
183,qc,244,48.3839,-76.6317, 2023-06-01 20:18:00,0.0, OC, EDT,2023-06-04 20:38:39
184,qc,245,48.4708,-76.8569, 2023-06-01 19:50:00,0.9, OC, EDT,2023-06-04 20:38:39
185,qc,263,49.5747,-69.7458, 2023-06-01 19:40:00,0.0, OC, EDT,2023-06-04 20:38:39
186,qc,267,49.565,-69.7389, 2023-06-01 20:29:00,0.9, OC, EDT,2023-06-04 20:38:39
187,qc,269,49.4986,-69.8753, 2023-06-01 20:19:00,0.0, OC, EDT,2023-06-04 20:38:39
188,qc,325,49.3711,-77.0447, 2023-06-02 01:00:00,0.0, BH, EDT,2023-06-04 20:38:39
189,qc,289,49.4267,-76.5142, 2023-06-01 20:19:00,28.0, OC, EDT,2023-06-04 20:38:39
190,qc,279,50.7486,-70.1975, 2023-06-01 21:00:00,145.7, OC, EDT,2023-06-04 20:38:39
191,qc,353,49.8558,-70.0192, 2023-06-01 19:30:00,217.1, OC, EDT,2023-06-04 20:38:39
192,qc,370,49.2325,-75.31, 2023-06-03 11:27:00,0.0, OC, EDT,2023-06-04 20:38:39
193,qc,371,49.1428,-75.1894, 2023-06-03 11:29:00,4.0, OC, EDT,2023-06-04 20:38:39
194,qc,372,48.7817,-75.2447, 2023-06-03 11:33:00,0.0, OC, EDT,2023-06-04 20:38:39
195,qc,373,48.8433,-75.1025, 2023-06-03 11:34:00,0.0, OC, EDT,2023-06-04 20:38:39
196,qc,376,48.9044,-75.8253, 2023-06-03 12:34:00,0.0, OC, EDT,2023-06-04 20:38:39
197,bc,2023-R50575,54.5262,-128.714, 2023-06-03 03:04:00,0.2, BH, PDT,2023-06-04 20:38:39
198,qc,329,48.8453,-70.4742, 2023-06-02 03:00:00,0.1, OC, EDT,2023-06-04 20:38:39
199,qc,369,49.1686,-75.6703, 2023-06-03 11:27:00,0.0, OC, EDT,2023-06-04 20:38:39
200,qc,306,50.7044,-70.7317, 2023-06-01 20:00:00,242.5, OC, EDT,2023-06-04 20:38:39
201,qc,271,50.2925,-70.5722, ,17.0, OC, EDT,2023-06-04 20:38:39
202,qc,346,46.8397,-76.9475, 2023-01-07 01:20:00,61.0, OC, EDT,2023-06-04 20:38:39
203,qc,299,49.2889,-72.4139, 2023-06-01 19:30:00,5682.0, OC, EDT,2023-06-04 20:38:39
204,qc,337,46.5953,-77.3606, 2023-06-02 00:03:00,700.0, OC, EDT,2023-06-04 20:38:39
205,on,TIM_FIRE_006,48.4509,-81.5335, 2023-05-31 21:06:00,8.5, UC, GMT,2023-06-04 20:38:39
206,ns,09-011-2023,44.7233,-63.8765, 2023-05-28 20:00:00,950.0, BH, ADT,2023-06-04 20:38:39
207,ns,04-022-2023,43.6089,-65.7526, 2023-05-30 00:00:00,163.0, BH, ADT,2023-06-04 20:38:39
208,ns,03-012-2023,43.7384,-65.2876, 2023-05-31 20:00:00,114.0, BH, ADT,2023-06-04 20:38:39
209,qc,290,49.3819,-72.4933, 2023-06-01 22:00:00,0.0, OC, EDT,2023-06-04 20:38:39
210,on,RED_FIRE_005,53.4689,-93.2176, 2023-05-25 16:20:00,12742.4, OC, GMT,2023-06-04 20:38:39
211,qc,347,48.7261,-79.175, 2023-06-02 00:46:00,2.3, UC, EDT,2023-06-04 20:38:39
212,qc,365,48.3983,-74.8239, 2023-06-02 20:17:00,50.0, OC, EDT,2023-06-04 20:38:39
213,on,COC_FIRE_002,49.0354,-80.9308, 2023-06-01 18:41:00,0.4, UC, GMT,2023-06-04 20:38:39
214,qc,251,48.8069,-77.2967, 2023-06-01 20:40:00,33.0, OC, EDT,2023-06-04 20:38:39
215,qc,339,48.4889,-74.8294, 2023-06-01 22:33:00,1200.0, OC, EDT,2023-06-04 20:38:39
216,qc,375,49.5828,-68.4406, 2023-06-03 12:27:00,1.0, OC, EDT,2023-06-04 20:38:39
217,qc,292,49.2153,-76.3397, 2023-06-01 20:43:00,2.0, OC, EDT,2023-06-04 20:38:39
218,bc,2023-G90273,58.0617,-121.912, 2023-05-12 20:25:00,30697.0, OC, PDT,2023-06-04 20:38:39
219,qc,226,47.9914,-75.0175, 2023-06-01 17:52:00,740.5, OC, EDT,2023-06-04 20:38:39
220,qc,302,48.7064,-74.1272, 2023-06-01 19:00:00,596.5, OC, EDT,2023-06-04 20:38:39
221,qc,319,48.7861,-74.2297, 2023-06-01 19:30:00,438.2, OC, EDT,2023-06-04 20:38:39
222,qc,318,48.4769,-73.6614, 2023-06-01 21:05:00,0.2, BH, EDT,2023-06-04 20:38:39
223,qc,330,48.9153,-74.3456, 2023-06-02 03:25:00,0.0, UC, EDT,2023-06-04 20:38:39
224,bc,2023-G90565,57.9132,-123.931, 2023-06-02 18:14:00,100.0, OC, PDT,2023-06-04 20:38:39
225,sk,23LX-HAULTAIN,56.8612,-106.427, 2023-06-02 20:44:40,500.0, OC, CST,2023-06-04 20:38:39
