,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
52,qc,259,56.0542,-71.62, 2022-06-05 19:00:00,8789.3, OC,2022-06-14 12:37:45+00:00
53,ak,Pike Creek,59.8783,-156.251, 2022-06-08 00:00:00,10508.5, Staffed/Uncontained,2022-06-14 12:37:45+00:00
54,ak,Pauls Creek,58.9096,-156.345, 2022-06-07 00:00:00,4046.85, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
55,ak,Fish Lake,62.5998,-145.806, 2022-06-05 00:00:00,26.71, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
56,ak,Kiknik,60.8917,-157.218, 2022-06-08 00:00:00,15875.8, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
57,ak,Koktuli River,59.895,-156.091, 2022-06-08 00:00:00,11944.7, Unstaffed/Uncontaine,2022-06-14 12:37:45+00:00
58,mb,WE005,55.1578,-100.514, 2022-06-12 05:00:00,8.0, OC,2022-06-14 12:37:45+00:00
59,mb,NO002,56.2675,-96.3319, 2022-06-12 05:00:00,4.0, UC,2022-06-14 12:37:45+00:00
60,mb,WE002,53.8481,-101.347, 2022-06-09 05:00:00,147.0, UC,2022-06-14 12:37:45+00:00
61,mb,WE004,54.7847,-101.866, 2022-06-12 05:00:00,0.2, UC,2022-06-14 12:37:45+00:00
62,ak,Submarine Creek,63.2934,-154.734, 2022-06-07 00:00:00,8257.72, Staffed/Uncontained,2022-06-14 12:37:45+00:00
63,sk,22SR-ANDERSON,59.0503,-102.578, 2022-06-13 06:00:00,5.0, OC,2022-06-14 12:37:45+00:00
64,ab,HWF-029-2022,59.2218,-114.531, 2022-06-11 18:22:00,89.9, BH,2022-06-14 12:37:45+00:00
65,pc,2022WB3,59.8045,-112.172, 2022-06-11 21:39:52,0.7, UC,2022-06-14 12:37:45+00:00
66,ab,MWF-016-2022,57.1688,-110.938, 2022-06-13 19:54:00,0.1, BH,2022-06-14 12:37:45+00:00
67,yt,2022BC002,62.2201,-138.902, 2022-06-06 01:22:00,68.7, BH,2022-06-14 12:37:45+00:00
68,yt,2022BC001,62.6453,-138.731, 2022-06-05 00:59:00,2.0, BH,2022-06-14 12:37:45+00:00
69,sk,22SR-HERLING,59.6614,-107.658, 2022-06-13 06:00:00,15.0, OC,2022-06-14 12:37:45+00:00
70,ab,MWF-018-2022,59.641,-111.325, 2022-06-13 20:26:00,5.0, BH,2022-06-14 12:37:45+00:00
71,nt,SS011-22,60.5549,-110.051, 2022-06-13 00:15:00,0.1, OC,2022-06-14 12:37:45+00:00
72,nt,SS010-22,60.7092,-112.583, 2022-06-12 21:28:00,2.0, OC,2022-06-14 12:37:45+00:00
73,sk,22SR-SHARGORY,59.9028,-104.941, 2022-06-13 06:00:00,110.0, OC,2022-06-14 12:37:45+00:00
74,sk,22SR-BLACK,59.7198,-108.158, 2022-06-13 06:00:00,4.0, OC,2022-06-14 12:37:45+00:00
75,ab,WWF-036-2022,54.6368,-114.274, 2022-06-13 23:33:00,0.01, BH,2022-06-14 12:37:45+00:00
76,sk,22SR-MELEN,59.4494,-106.495, 2022-06-13 06:00:00,20.0, OC,2022-06-14 12:37:45+00:00
77,ab,MWF-020-2022,57.2479,-110.68, 2022-06-13 21:03:00,0.8, UC,2022-06-14 12:37:45+00:00
78,ab,MWF-022-2022,59.4184,-110.813, 2022-06-14 00:43:00,40.0, BH,2022-06-14 12:37:45+00:00
79,nt,SS012-22,61.6444,-112.034, 2022-06-13 22:22:00,5.0, OC,2022-06-14 12:37:45+00:00
80,ab,MWF-021-2022,57.3374,-111.286, 2022-06-13 22:12:00,2.5, BH,2022-06-14 12:37:45+00:00
81,ab,MWF-024-2022,59.3793,-110.794, 2022-06-14 00:59:00,0.1, BH,2022-06-14 12:37:45+00:00
82,ab,MWF-023-2022,59.4004,-110.669, 2022-06-14 00:52:00,0.5, BH,2022-06-14 12:37:45+00:00
83,ab,LWF-099-2022,56.1632,-110.655, 2022-06-13 19:25:00,207.0, OC,2022-06-14 12:37:45+00:00
84,mb,EA009,49.8194,-95.1697, 2022-06-11 05:00:00,2.0, UC,2022-06-14 12:37:45+00:00
85,sk,22SR-GILES,58.9043,-105.841, 2022-06-13 06:00:00,10.0, OC,2022-06-14 12:37:45+00:00
86,pc,2022WB4,59.8695,-114.537, 2022-06-14 02:24:46,0.2, OC,2022-06-14 12:37:45+00:00
