,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-G70189,55.8808,-120.245, 2023-05-03 23:49:00,63.0, UC,2023-05-20 02:36:56
1,bc,2023-C50100,52.0351,-123.177, 2023-04-27 21:19:00,209.0, UC,2023-05-20 02:36:56
2,nt,SS002-23,60.0154,-112.165, 2023-05-05 22:45:00,28.5, UC,2023-05-20 02:36:56
3,ab,LCU-003-2023,54.8075,-113.08, 2023-05-03 22:55:00,2553.1, BH,2023-05-20 02:36:56
4,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:58:00,30.0, BH,2023-05-20 02:36:56
5,sk,23PA-LILLY,53.0138,-106.191, 2023-04-29 17:55:27,754.0, UC,2023-05-20 02:36:56
6,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, BH,2023-05-20 02:36:56
7,ab,GWF-022-2023,54.8389,-118.957, 2023-05-06 20:41:00,15.0, UC,2023-05-20 02:36:56
8,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,120.0, UC,2023-05-20 02:36:56
9,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,22220.0, OC,2023-05-20 02:36:56
10,bc,2023-K40216,50.8495,-118.542, 2023-05-05 19:06:00,12.5, UC,2023-05-20 02:36:56
11,bc,2023-G70226,56.0829,-120.708, 2023-05-05 23:49:00,3.4, UC,2023-05-20 02:36:56
12,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC,2023-05-20 02:36:56
13,bc,2023-G90259,58.8459,-122.658, 2023-05-10 22:53:00,1.25, BH,2023-05-20 02:36:56
14,ab,PWF-042-2023,56.9886,-117.493, 2023-05-11 04:42:00,0.01, UC,2023-05-20 02:36:56
15,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,67042.5, OC,2023-05-20 02:36:56
16,ab,HWF-042-2023,58.4202,-116.123, 2023-05-06 18:53:00,181.8, UC,2023-05-20 02:36:56
17,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC,2023-05-20 02:36:56
18,ab,WWF-026-2023,54.4643,-115.332, 2023-05-12 23:20:00,0.05, UC,2023-05-20 02:36:56
19,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,587.0, BH,2023-05-20 02:36:56
20,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,216.0, BH,2023-05-20 02:36:56
21,ab,PWF-008-2023,56.4749,-117.295, 2023-04-17 01:50:00,64.6, UC,2023-05-20 02:36:56
22,ab,PWF-012-2023,56.2591,-118.216, 2023-04-26 00:00:00,0.2, UC,2023-05-20 02:36:56
23,ab,PWF-017-2023,56.5629,-119.083, 2023-04-28 22:33:00,16.2, UC,2023-05-20 02:36:56
24,ab,PWF-020-2023,56.4354,-117.306, 2023-04-30 23:27:00,1.1, UC,2023-05-20 02:36:56
25,ab,PWF-043-2023,57.1668,-117.235, 2023-05-12 00:45:00,0.53, UC,2023-05-20 02:36:56
26,on,SLK_PB_001,51.2342,-90.2378, 2023-05-09 16:11:00,11.5, UC,2023-05-20 02:36:56
27,bc,2023-G80267,56.5279,-121.894, 2023-05-11 18:36:00,0.87, UC,2023-05-20 02:36:56
28,bc,2023-G80285,56.3482,-121.192, 2023-05-13 18:15:00,0.2, UC,2023-05-20 02:36:56
29,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,2023-05-20 02:36:56
30,ak,DTAE Willis Rx,63.9873,-145.748, 2023-04-21 00:00:00,68.8, Pre,2023-05-20 02:36:56
31,bc,2023-G80190,56.34,-121.083, 2023-05-03 23:46:00,70.0, UC,2023-05-20 02:36:56
32,sk,23LX-PINE,55.4738,-106.598, 2023-05-12 12:21:25,4.0, OC,2023-05-20 02:36:56
33,ab,LSZ-001-2023,55.272,-110.026, 2023-05-13 22:14:10,371.4, OC,2023-05-20 02:36:56
34,bc,2023-G80223,56.4112,-121.233, 2023-05-05 22:06:00,2947.0, OC,2023-05-20 02:36:56
35,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,82666.3, OC,2023-05-20 02:36:56
36,ab,PWF-032-2023,56.3237,-117.654, 2023-05-05 18:25:00,0.01, UC,2023-05-20 02:36:56
37,ab,PWF-022-2023,57.7035,-117.95, 2023-05-01 23:09:00,0.03, UC,2023-05-20 02:36:56
38,nb,61463,48.0358,-66.4656, 2023-05-12 20:23:24,0.1, BH,2023-05-20 02:36:56
39,ak,DTAE Bolio Rx,63.8623,-145.903, 2023-04-21 00:00:00,364.22, Pre,2023-05-20 02:36:56
40,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:47:00,578.0, OC,2023-05-20 02:36:56
41,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, BH,2023-05-20 02:36:56
42,nt,SS004-23,60.9536,-119.188, 2023-05-12 23:30:00,3040.0, OC,2023-05-20 02:36:56
43,ab,PWF-045-2023,57.6273,-117.438, 2023-05-14 19:01:00,5.2, BH,2023-05-20 02:36:56
44,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, BH,2023-05-20 02:36:56
45,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC,2023-05-20 02:36:56
46,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,684.0, OC,2023-05-20 02:36:56
47,ns,03-009-2023,43.5807,-65.6155, 2023-05-14 19:00:00,0.2, UC,2023-05-20 02:36:56
48,ab,PWF-037-2023,56.2736,-118.343, 2023-05-06 00:34:00,1.0, UC,2023-05-20 02:36:56
