,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
0,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,587.0, BH, MDT,2023-05-30 18:37:29
1,sk,23LA-DECEPTION,56.5541,-104.258, 2023-05-12 17:58:36,1000.0, OC, CST,2023-05-30 18:37:29
2,sk,23LA-MCCRAE,56.0684,-105.852, 2023-05-11 17:13:38,30000.0, OC, CST,2023-05-30 18:37:29
3,ak,FWA SAC Rx,64.8023,-147.613, 2023-04-21 00:00:00,819.49, Prescribed,,2023-05-30 18:37:29
4,bc,2023-G80122,56.7107,-121.07, 2023-04-29 02:53:00,154.0, UC,,2023-05-30 18:37:29
5,sk,23LA-KOLWASKIE,57.2352,-102.716, 2023-05-12 17:23:55,3500.0, OC, CST,2023-05-30 18:37:29
6,bc,2023-V80320,50.6116,-125.565, 2023-05-15 19:34:00,10.0, UC, PDT,2023-05-30 18:37:29
7,ab,LWF-120-2023,56.2228,-110.948, 2023-05-16 21:25:00,5.6, UC, MDT,2023-05-30 18:37:29
8,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,165.0, BH, MDT,2023-05-30 18:37:29
9,ab,EWF-037-2023,53.91,-117.559, 2023-05-06 16:47:00,578.0, BH, MDT,2023-05-30 18:37:29
10,bc,2023-V10313,49.3036,-122.218, 2023-05-14 23:02:00,19.23, UC, PDT,2023-05-30 18:37:29
11,ak,Stuart Creek Rx,64.7068,-146.606, 2023-05-03 00:00:00,5908.4, Pre,,2023-05-30 18:37:29
12,ab,SWF-063-2023,54.9577,-115.681, 2023-05-04 22:05:00,123670.0, OC, MDT,2023-05-30 18:37:29
13,ab,SWF-057-2023,55.0343,-115.148, 2023-05-04 18:04:00,16728.0, OC, MDT,2023-05-30 18:37:29
14,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,40060.0, OC, MDT,2023-05-30 18:37:29
15,ab,EWF-040-2023,53.9356,-117.776, 2023-05-06 17:05:00,684.0, BH, MDT,2023-05-30 18:37:29
16,bc,2023-G70412,56.0865,-121.967, 2023-05-20 04:07:00,4.0, UC, PDT,2023-05-30 18:37:29
17,ak,DTAE Jarvis Rx,63.987,-145.674, 2023-04-21 00:00:00,458.91, Pre,,2023-05-30 18:37:29
18,bc,2023-G30423,52.9898,-119.422, 2023-05-20 20:46:00,0.5, UC, PDT,2023-05-30 18:37:29
19,bc,2023-K20469,52.1381,-119.569, 2023-05-21 21:12:00,57.0, OC, PDT,2023-05-30 18:37:29
20,bc,2023-G80175,56.5319,-121.925, 2023-05-03 04:05:00,385.0, UC, PDT,2023-05-30 18:37:29
21,bc,2023-G80220,56.2688,-119.93, 2023-05-05 21:37:00,6171.0, UC, PDT,2023-05-30 18:37:29
22,ab,RWF-031-2023,52.3535,-115.896, 2023-05-04 22:00:00,80.0, UC, MDT,2023-05-30 18:37:29
23,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:38:00,1.2, UC, MDT,2023-05-30 18:37:29
24,bc,2023-G90266,59.4932,-126.32, 2023-05-11 02:40:00,14.5, UC, PDT,2023-05-30 18:37:29
25,ab,WWF-031-2023,54.3401,-115.699, 2023-05-22 14:45:00,0.03, UC, MDT,2023-05-30 18:37:29
26,bc,2023-N60465,49.3172,-118.922, 2023-05-21 18:10:00,3.3, UC, PDT,2023-05-30 18:37:29
27,ab,GWF-019-2023,54.7357,-119.033, 2023-05-05 20:57:00,19435.0, BH, MDT,2023-05-30 18:37:29
28,ab,SWF-085-2023,55.2233,-114.243, 2023-05-17 02:11:00,39.4, BH, MDT,2023-05-30 18:37:29
29,ab,SWF-087-2023,55.2281,-114.275, 2023-05-17 02:29:00,1036.0, BH, MDT,2023-05-30 18:37:29
30,ab,GWF-027-2023,54.5201,-117.357, 2023-05-13 18:44:00,55344.0, OC, MDT,2023-05-30 18:37:29
31,ab,WWF-023-2023,54.3939,-116.341, 2023-05-05 20:03:00,73479.0, OC, MDT,2023-05-30 18:37:29
32,bc,2023-C40384,51.6366,-121.926, 2023-05-19 06:05:00,536.0, UC, PDT,2023-05-30 18:37:29
33,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:53:00,30.0, BH, MDT,2023-05-30 18:37:29
34,ab,PWF-036-2023,56.5305,-118.855, 2023-05-05 20:30:00,13.0, UC, MDT,2023-05-30 18:37:29
35,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, UC, PDT,2023-05-30 18:37:29
36,bc,2023-C10382,53.0758,-121.847, 2023-05-19 05:34:00,74.0, UC, PDT,2023-05-30 18:37:29
37,bc,2023-G40324,53.9544,-124.519, 2023-05-15 21:42:00,142.0, UC, PDT,2023-05-30 18:37:29
38,pc,2023KO1,50.6743,-115.838, 2023-05-18 18:55:12,288.0, BH,,2023-05-30 18:37:29
39,nt,SS005-23,60.8492,-115.694, 2023-05-14 15:45:00,3208.9, BH,,2023-05-30 18:37:29
40,pc,2023WB1,58.6371,-114.002, 2023-05-16 22:51:58,1168.0, OC,,2023-05-30 18:37:29
41,ab,GWF-023-2023,55.1575,-117.331, 2023-05-06 21:14:00,3888.9, BH, MDT,2023-05-30 18:37:29
42,ab,GWF-017-2023,55.0666,-117.391, 2023-05-05 18:04:00,5478.53, BH, MDT,2023-05-30 18:37:29
43,ab,LWF-114-2023,55.181,-111.994, 2023-05-12 20:47:00,5.0, UC, MDT,2023-05-30 18:37:29
44,ab,SWF-060-2023,55.9564,-115.056, 2023-05-04 22:09:00,43981.0, BH, MDT,2023-05-30 18:37:29
45,sk,23LA-SHARP,55.4241,-105.122, 2023-05-19 13:48:02,17965.0, OC, CST,2023-05-30 18:37:29
46,bc,2023-C40392,52.0563,-121.316, 2023-05-19 18:02:00,24.0, UC, PDT,2023-05-30 18:37:29
47,ab,LWF-023-2023,55.9246,-110.691, 2023-04-18 18:45:00,0.01, UC,,2023-05-30 18:37:29
48,bc,2023-G60452,55.724,-123.609, 2023-05-21 01:52:00,4.5, UC, PDT,2023-05-30 18:37:29
49,sk,23SR-KAY,59.6572,-109.611, 2023-05-19 18:13:18,3537.0, OC, CST,2023-05-30 18:37:29
50,ak,YTA Moose Ck Rx,64.6993,-146.981, 2023-04-21 00:00:00,108.46, Pre,,2023-05-30 18:37:29
51,bc,2023-K40416,50.3042,-118.461, 2023-05-20 17:45:00,0.01, UC, PDT,2023-05-30 18:37:29
52,ab,LWF-106-2023,55.9276,-112.433, 2023-05-10 21:09:00,2.1, UC, MDT,2023-05-30 18:37:29
53,sk,23DB-KPIR02,54.8537,-103.39, 2023-05-18 15:13:07,8843.0, OC, CST,2023-05-30 18:37:29
54,sk,23LA-WISTIGO,55.2572,-106.375, 2023-05-11 17:27:38,62766.0, OC, CST,2023-05-30 18:37:29
55,bc,2023-G80291,56.5112,-121.222, 2023-05-13 23:03:00,29222.0, BH, PDT,2023-05-30 18:37:29
56,on,RED_FIRE_003,51.0146,-92.2023, 2023-05-24 20:27:00,9.5, UC, GMT,2023-05-30 18:37:29
57,sk,23HB-CLEM,52.7274,-102.481, 2023-05-19 16:13:45,298.0, OC, CST,2023-05-30 18:37:29
58,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,5089.0, OC, MDT,2023-05-30 18:37:29
59,bc,2023-G60325,57.3534,-124.844, 2023-05-15 21:48:00,7662.0, OC, PDT,2023-05-30 18:37:29
60,bc,2023-R10501,53.9455,-126.076, 2023-05-25 22:52:00,13.5, UC, PDT,2023-05-30 18:37:29
61,on,RED_FIRE_005,53.4689,-93.2176, 2023-05-25 16:20:00,2288.1, OC, GMT,2023-05-30 18:37:29
62,ab,PWF-038-2023,56.3832,-116.808, 2023-05-06 05:24:00,6129.85, BH, MDT,2023-05-30 18:37:29
63,qc,162,51.3964,-78.5214, 2023-05-27 19:30:00,1.0, UC, EDT,2023-05-30 18:37:29
64,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,125033.0, OC, MDT,2023-05-30 18:37:29
65,bc,2023-G90288,59.9636,-120.987, 2023-05-13 20:30:00,70000.0, OC, PDT,2023-05-30 18:37:29
66,on,WAW_FIRE_002,48.615,-85.371, 2023-05-26 20:51:00,105.0, OC, GMT,2023-05-30 18:37:29
67,bc,2023-G90358,59.1388,-120.334, 2023-05-18 00:50:00,8000.0, OC, PDT,2023-05-30 18:37:29
68,ak,Barley Way,63.9789,-145.35, 2023-05-20 00:00:00,125.45, Unstaffed/Contained,,2023-05-30 18:37:29
69,ab,LSZ-001-2023,55.272,-110.026, 2023-05-24 13:00:00,4900.0, OC, MDT,2023-05-30 18:37:29
70,pc,2023WB4,58.3837,-112.247, 2023-05-28 21:44:23,0.2, OC,,2023-05-30 18:37:29
71,bc,2023-V90513,50.5577,-127.04, 2023-05-28 02:45:00,0.01, UC, PDT,2023-05-30 18:37:29
72,on,COC_FIRE_001,51.5566,-85.3216, 2023-05-28 20:52:00,45.0, OC, GMT,2023-05-30 18:37:29
73,ab,EWF-050-2023,53.4066,-115.484, 2023-05-27 23:40:00,1.1, UC, MDT,2023-05-30 18:37:29
74,bc,2023-V50522,49.4576,-123.569, 2023-05-29 01:24:00,0.01, OC, PDT,2023-05-30 18:37:29
75,ab,SWF-081-2023,56.9909,-113.459, 2023-05-14 18:37:00,20082.8, OC, MDT,2023-05-30 18:37:29
76,bc,2023-C30399,52.6166,-121.071, 2023-05-19 21:10:00,73.0, OC, PDT,2023-05-30 18:37:29
77,bc,2023-C30440,52.6309,-121.04, 2023-05-21 00:44:00,16.0, OC, PDT,2023-05-30 18:37:29
