,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-G80173,56.934,-120.978, 2023-05-03 00:33:00,4.0, UC,2023-05-04 20:36:05
1,bc,2023-G70168,55.6748,-120.101, 2023-05-02 22:21:00,1.0, UC,2023-05-04 20:36:05
2,bc,2023-G80175,56.558,-121.921, 2023-05-03 04:05:00,100.0, OC,2023-05-04 20:36:05
3,bc,2023-C50188,52.4598,-125.31, 2023-05-03 23:36:00,0.09, UC,2023-05-04 20:36:05
4,bc,2023-G80117,56.5133,-122.007, 2023-04-29 00:18:00,50.0, UC,2023-05-04 20:36:05
5,bc,2023-C50100,52.0351,-123.177, 2023-04-27 21:19:00,209.0, BH,2023-05-04 20:36:05
6,bc,2023-C40197,51.292,-122.009, 2023-05-04 01:34:00,53.0, BH,2023-05-04 20:36:05
7,yt,2023XY003,60.7754,-135.064, 2023-05-03 21:43:00,2.0, BH,2023-05-04 20:36:05
8,ab,RWF-023-2023,52.6643,-115.439, 2023-05-03 23:15:00,0.01, UC,2023-05-04 20:36:05
9,ab,RWF-019-2023,52.2044,-115.171, 2023-05-03 21:44:00,0.01, UC,2023-05-04 20:36:05
10,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,100.0, OC,2023-05-04 20:36:05
11,ab,EWF-027-2023,53.341,-117.133, 2023-05-03 23:04:00,0.01, UC,2023-05-04 20:36:05
12,ab,EWF-028-2023,53.7142,-115.817, 2023-05-04 00:30:00,0.1, UC,2023-05-04 20:36:05
13,bc,2023-G70170,55.8229,-120.964, 2023-05-02 23:37:00,4.1, BH,2023-05-04 20:36:05
14,mb,EA003,51.5814,-98.7156, 2023-05-03 05:00:00,12.8, UC,2023-05-04 20:36:05
15,bc,2023-C20093,51.9843,-122.636, 2023-04-27 00:31:00,60.0, UC,2023-05-04 20:36:05
16,bc,2023-G70182,55.7138,-121.507, 2023-05-03 21:08:00,1.0, OC,2023-05-04 20:36:05
17,pc,2023WL2,49.0793,-113.844, 2023-04-29 16:56:15,240.0, OC,2023-05-04 20:36:05
18,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, BH,2023-05-04 20:36:05
19,bc,2023-G70131,55.4533,-120.059, 2023-04-29 21:10:00,10.0, UC,2023-05-04 20:36:05
20,sk,23HB-DELTA,53.9605,-102.404, 2023-05-03 10:40:34,5.0, OC,2023-05-04 20:36:05
21,ab,MWF-009-2023,56.4365,-111.201, 2023-05-02 20:32:00,16.1, BH,2023-05-04 20:36:05
22,ab,RWF-021-2023,52.5116,-115.595, 2023-05-03 22:14:00,0.5, UC,2023-05-04 20:36:05
23,sk,23DN-BIIR02,54.4129,-109.629, 2023-05-01 13:49:35,1.0, UC,2023-05-04 20:36:05
24,ab,PWF-027-2023,56.4153,-118.698, 2023-05-04 03:19:00,0.4, BH,2023-05-04 20:36:05
25,ab,MWF-010-2023,56.9355,-111.549, 2023-05-03 18:24:00,18.7, BH,2023-05-04 20:36:05
26,ab,EWF-026-2023,53.7428,-115.856, 2023-05-03 20:28:00,2.5, UC,2023-05-04 20:36:05
27,bc,2023-G80190,56.34,-121.083, 2023-05-03 23:46:00,60.0, OC,2023-05-04 20:36:05
28,bc,2023-K40194,50.8109,-119.656, 2023-05-04 00:36:00,0.01, UC,2023-05-04 20:36:05
29,ab,EWF-029-2023,53.1687,-115.648, 2023-05-04 01:38:00,0.2, UC,2023-05-04 20:36:05
30,sk,23PA-LILLY,53.0138,-106.191, 2023-04-29 17:55:27,648.0, UC,2023-05-04 20:36:05
31,bc,2023-C50191,52.4651,-125.314, 2023-05-04 00:05:00,0.4, UC,2023-05-04 20:36:05
32,sk,23PA-MIR01,53.1255,-106.822, 2023-05-03 16:06:36,5.0, OC,2023-05-04 20:36:05
33,bc,2023-G70195,55.677,-120.114, 2023-05-04 01:05:00,1.8, OC,2023-05-04 20:36:05
34,ab,RWF-024-2023,51.702,-115.216, 2023-05-03 23:29:00,0.1, BH,2023-05-04 20:36:05
35,ab,WCU-002-2023,53.6246,-115.101, 2023-04-30 01:37:00,2254.0, OC,2023-05-04 20:36:05
36,pc,2023RM1,50.6668,-100.061, 2023-05-02 23:27:57,115.3, UC,2023-05-04 20:36:05
37,sk,23BN-VERMETTE,55.6443,-109.219, 2023-04-29 19:52:08,2900.0, OC,2023-05-04 20:36:05
38,ns,05-05-2023,44.341,-65.9681, 2023-05-04 06:00:00,1.0, UC,2023-05-04 20:36:05
39,bc,2023-V50198,49.8332,-124.106, 2023-05-04 02:44:00,1.5, OC,2023-05-04 20:36:05
40,bc,2023-N10166,49.6538,-116.036, 2023-05-02 20:04:00,4.1, UC,2023-05-04 20:36:05
41,bc,2023-N50196,49.4189,-117.608, 2023-05-04 01:25:00,3.5, OC,2023-05-04 20:36:05
42,sk,23LF-ROCKY,53.7017,-104.596, 2023-05-02 14:27:34,420.0, OC,2023-05-04 20:36:05
43,ab,PWF-025-2023,56.2657,-117.33, 2023-05-03 22:38:00,1.8, UC,2023-05-04 20:36:05
44,ab,LWF-088-2023,55.9351,-110.719, 2023-05-04 17:17:00,0.01, UC,2023-05-04 20:36:05
45,ab,LWF-085-2023,55.9272,-110.723, 2023-05-04 15:55:00,0.01, UC,2023-05-04 20:36:05
46,pc,2023BA3,51.2073,-115.535, 2023-05-04 19:43:17,3.3, BH,2023-05-04 20:36:05
47,ab,HWF-036-2023,58.4906,-119.403, 2023-05-03 22:26:00,500.0, OC,2023-05-04 20:36:05
48,bc,2023-R10185,54.1994,-125.805, 2023-05-03 22:23:00,5.0, BH,2023-05-04 20:36:05
49,ab,EWF-030-2023,53.3757,-116.843, 2023-05-04 17:13:00,0.2, BH,2023-05-04 20:36:05
50,ab,LWF-089-2023,54.7982,-111.819, 2023-05-04 18:20:00,0.3, BH,2023-05-04 20:36:05
51,ab,RWF-027-2023,52.82,-115.905, 2023-05-04 02:00:00,0.6, OC,2023-05-04 20:36:05
52,ab,RWF-026-2023,53.1024,-115.681, 2023-05-04 01:53:00,0.4, BH,2023-05-04 20:36:05
53,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,150.0, OC,2023-05-04 20:36:05
54,ab,WWF-020-2023,54.5988,-116.386, 2023-05-04 16:57:00,0.01, BH,2023-05-04 20:36:05
55,ab,WWF-017-2023,54.4422,-116.779, 2023-05-04 01:45:00,4.0, BH,2023-05-04 20:36:05
56,ab,RWF-030-2023,52.8647,-115.819, 2023-05-04 18:59:00,0.01, OC,2023-05-04 20:36:05
57,ab,GWF-016-2023,55.791,-119.192, 2023-05-04 00:13:00,3.0, UC,2023-05-04 20:36:05
58,on,SLK_FIRE_001,50.1459,-91.6732, 2023-05-03 22:38:00,1.0, UC,2023-05-04 20:36:05
59,mb,EA004,51.7097,-98.6408, 2023-05-03 05:00:00,50.0, UC,2023-05-04 20:36:05
60,ab,LWF-090-2023,54.8265,-113.588, 2023-05-04 19:18:00,0.02, BH,2023-05-04 20:36:05
61,ab,HWF-030-2023,58.468,-114.484, 2023-05-02 21:29:00,4383.0, OC,2023-05-04 20:36:05
62,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,5.0, OC,2023-05-04 20:36:05
63,pc,2023BA2,51.1985,-115.542, 2023-04-28 23:01:35,24.0, UC,2023-05-04 20:36:05
64,sk,23LX-CLFN01,55.1022,-108.278, 2023-05-04 13:30:27,0.0, OC,2023-05-04 20:36:05
65,ab,WWF-021-2023,54.6023,-116.283, 2023-05-04 17:09:00,0.01, UC,2023-05-04 20:36:05
66,ab,SWF-057-2023,55.0343,-115.148, 2023-05-04 18:04:00,2.5, OC,2023-05-04 20:36:05
67,ab,LWF-087-2023,55.9172,-110.735, 2023-05-04 17:05:00,0.01, UC,2023-05-04 20:36:05
68,bc,2023-R10202,54.0124,-125.742, 2023-05-04 19:34:00,0.01, OC,2023-05-04 20:36:05
