,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,nt,FS004-22,63.7368,-121.369, 2022-06-02 22:49:00,190.0, OC,2022-06-17 04:37:59+00:00
1,nt,FS003-22,62.1872,-121.94, 2022-06-02 22:58:00,1211.0, OC,2022-06-17 04:37:59+00:00
2,yt,2022WL001,60.0275,-128.745, 2022-05-23 03:49:00,2.0, UC,2022-06-17 04:37:59+00:00
3,bc,2022-G80265,57.3972,-122.377, 2022-06-03 22:56:00,545.0, UC,2022-06-17 04:37:59+00:00
4,yt,2022MA002,64.3357,-133.579, 2022-06-04 21:44:00,400.0, OC,2022-06-17 04:37:59+00:00
5,yt,2022CA001,62.7804,-137.335, 2022-06-07 23:40:00,0.01, UC,2022-06-17 04:37:59+00:00
6,ab,HWF-013-2022,59.71,-119.767, 2022-06-01 17:48:00,8300.0, BH,2022-06-17 04:37:59+00:00
7,ab,HWF-015-2022,59.2928,-118.997, 2022-06-01 22:00:00,3000.0, UC,2022-06-17 04:37:59+00:00
8,nt,SS006-22,60.9035,-113.242, 2022-06-09 23:54:00,2.5, OC,2022-06-17 04:37:59+00:00
9,nt,SS005-22,60.7167,-118.033, 2022-06-08 23:16:00,5.0, BH,2022-06-17 04:37:59+00:00
10,ab,SWF-035-2022,56.9006,-113.989, 2022-06-04 22:11:00,262.5, UC,2022-06-17 04:37:59+00:00
11,nt,SS009-22,60.3303,-116.692, 2022-06-11 01:15:00,10.0, OC,2022-06-17 04:37:59+00:00
12,nt,SS007-22,61.1333,-117.933, 2022-06-10 01:39:00,2.5, UC,2022-06-17 04:37:59+00:00
13,pc,2022WB2,59.4688,-112.657, 2022-06-11 03:19:41,7.5, UC,2022-06-17 04:37:59+00:00
14,ab,HWF-030-2022,58.5299,-115.156, 2022-06-11 19:30:00,0.1, UC,2022-06-17 04:37:59+00:00
15,ab,HWF-022-2022,59.9611,-119.974, 2022-06-08 22:50:00,36.0, BH,2022-06-17 04:37:59+00:00
16,ak,Tuklung River,58.9357,-159.455, 2022-06-06 00:00:00,1414.41, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
17,ab,HWF-014-2022,59.9713,-120.0, 2022-06-01 19:05:00,386.0, BH,2022-06-17 04:37:59+00:00
18,pc,2022WB1,59.4767,-112.624, 2022-06-11 03:16:23,6.8, UC,2022-06-17 04:37:59+00:00
19,qc,259,56.0542,-71.62, 2022-06-05 19:00:00,8789.3, OC,2022-06-17 04:37:59+00:00
20,ak,Pike Creek,59.8783,-156.251, 2022-06-08 00:00:00,10508.5, Staffed/Uncontained,2022-06-17 04:37:59+00:00
21,ak,Fish Lake,62.5998,-145.806, 2022-06-05 00:00:00,26.71, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
22,ak,Koktuli River,59.895,-156.091, 2022-06-08 00:00:00,11944.7, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
23,mb,NO002,56.2675,-96.3319, 2022-06-12 05:00:00,4.0, UC,2022-06-17 04:37:59+00:00
24,ab,HWF-029-2022,59.2218,-114.531, 2022-06-11 18:22:00,89.9, BH,2022-06-17 04:37:59+00:00
25,pc,2022WB3,59.8045,-112.172, 2022-06-11 21:39:52,0.7, UC,2022-06-17 04:37:59+00:00
26,yt,2022BC002,62.2201,-138.902, 2022-06-06 01:22:00,68.7, BH,2022-06-17 04:37:59+00:00
27,yt,2022BC001,62.6453,-138.731, 2022-06-05 00:59:00,2.0, BH,2022-06-17 04:37:59+00:00
28,nt,SS010-22,60.7092,-112.583, 2022-06-12 21:28:00,2.0, OC,2022-06-17 04:37:59+00:00
29,nt,SS011-22,60.5549,-110.051, 2022-06-13 00:15:00,0.1, OC,2022-06-17 04:37:59+00:00
30,sk,22SR-SHARGORY,59.9028,-104.941, 2022-06-13 06:00:00,110.0, OC,2022-06-17 04:37:59+00:00
31,ab,WWF-036-2022,54.6368,-114.274, 2022-06-13 23:33:00,0.01, BH,2022-06-17 04:37:59+00:00
32,nt,SS012-22,61.6444,-112.034, 2022-06-13 22:22:00,5.0, OC,2022-06-17 04:37:59+00:00
33,ab,MWF-023-2022,59.4004,-110.669, 2022-06-14 00:52:00,0.5, BH,2022-06-17 04:37:59+00:00
34,ak,Aghaluk Mountain,61.5703,-158.006, 2022-06-06 00:00:00,38426.1, Staffed/Uncontained,2022-06-17 04:37:59+00:00
35,ak,Iowithla River,59.2058,-158.094, 2022-06-08 00:00:00,7869.87, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
36,ak,Pauls Creek,58.9094,-156.345, 2022-06-07 00:00:00,4069.84, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
37,ak,Contact Creek,58.2192,-155.966, 2022-05-29 00:00:00,4177.12, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
38,ab,MWF-025-2022,56.6829,-110.714, 2022-06-14 15:07:00,0.25, BH,2022-06-17 04:37:59+00:00
39,mb,WE006,54.7408,-101.753, 2022-06-14 05:00:00,0.1, UC,2022-06-17 04:37:59+00:00
40,bc,2022-G90274,59.9817,-120.022, 2022-06-05 23:10:00,488.11, BH,2022-06-17 04:37:59+00:00
41,ab,LWF-099-2022,56.1632,-110.655, 2022-06-13 19:25:00,207.0, BH,2022-06-17 04:37:59+00:00
42,ak,Kiknik,60.8917,-157.218, 2022-06-08 00:00:00,15964.2, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
43,ak,Door Mountain,61.1625,-156.086, 2022-06-08 00:00:00,4287.64, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
44,ak,Hog Butte,63.6774,-153.572, 2022-06-05 00:00:00,16470.3, Staffed/Uncontained,2022-06-17 04:37:59+00:00
45,ak,Kokwok,59.7511,-158.225, 2022-06-06 00:00:00,8924.64, Unstaffed/Uncontaine,2022-06-17 04:37:59+00:00
46,sk,22SR-GILES,58.9043,-105.841, 2022-06-13 06:00:00,350.0, OC,2022-06-17 04:37:59+00:00
47,sk,22LA-RUSSELL,57.4493,-105.312, 2022-06-14 06:00:00,1.0, OC,2022-06-17 04:37:59+00:00
48,sk,22SR-BLIR04,59.1525,-105.639, 2022-06-14 06:00:00,0.5, UC,2022-06-17 04:37:59+00:00
49,sk,22LA-CREEK,57.5237,-105.128, 2022-06-14 06:00:00,150.0, OC,2022-06-17 04:37:59+00:00
