,agency,firename,lat,lon,startdate,hectares,stage_of_control,timestamp
0,bc,2023-G70189,55.8808,-120.245, 2023-05-03 23:49:00,63.0, UC,2023-05-18 16:37:18
1,bc,2023-C50100,52.0351,-123.177, 2023-04-27 21:19:00,209.0, UC,2023-05-18 16:37:18
2,ab,WWF-015-2023,54.0948,-115.322, 2023-04-29 23:00:00,47.0, UC,2023-05-18 16:37:18
3,nt,SS002-23,60.0154,-112.165, 2023-05-05 22:45:00,28.5, UC,2023-05-18 16:37:18
4,ab,LCU-003-2023,54.8075,-113.08, 2023-05-03 22:55:00,2553.1, BH,2023-05-18 16:37:18
5,ab,GWF-020-2023,55.075,-117.88, 2023-05-05 20:58:00,30.0, BH,2023-05-18 16:37:18
6,sk,23PA-LILLY,53.0138,-106.191, 2023-04-29 17:55:27,754.0, UC,2023-05-18 16:37:18
7,bc,2023-G30210,53.2884,-120.071, 2023-05-05 00:01:00,1100.0, BH,2023-05-18 16:37:18
8,ab,GWF-022-2023,54.8389,-118.957, 2023-05-06 20:41:00,15.0, UC,2023-05-18 16:37:18
9,bc,2023-G70124,55.8354,-121.848, 2023-04-29 05:31:00,120.0, UC,2023-05-18 16:37:18
10,ab,EWF-038-2023,53.6919,-116.081, 2023-05-06 02:40:00,1.2, BH,2023-05-18 16:37:18
11,ab,SWF-064-2023,54.896,-116.1, 2023-05-04 23:03:00,22220.0, OC,2023-05-18 16:37:18
12,ab,PWF-040-2023,57.9487,-117.495, 2023-05-09 19:43:00,3.02, UC,2023-05-18 16:37:18
13,bc,2023-K40216,50.8495,-118.542, 2023-05-05 19:06:00,12.5, UC,2023-05-18 16:37:18
14,ab,MWF-013-2023,57.241,-112.033, 2023-05-09 20:47:00,0.53, UC,2023-05-18 16:37:18
15,sk,23DN-LL01,53.9271,-109.232, 2023-05-06 14:07:33,4.4, UC,2023-05-18 16:37:18
16,bc,2023-G70226,56.0829,-120.708, 2023-05-05 23:49:00,3.4, UC,2023-05-18 16:37:18
17,ab,RWF-031-2023,52.3649,-115.901, 2023-05-04 22:00:00,80.0, UC,2023-05-18 16:37:18
18,ab,LWF-084-2023,54.6224,-111.829, 2023-05-04 03:35:00,153.0, UC,2023-05-18 16:37:18
19,bc,2023-G90259,58.8459,-122.658, 2023-05-10 22:53:00,1.25, BH,2023-05-18 16:37:18
20,ab,PWF-042-2023,56.9886,-117.493, 2023-05-11 04:42:00,0.01, UC,2023-05-18 16:37:18
21,ab,RWF-034-2023,52.8151,-115.45, 2023-05-04 22:59:00,67042.5, OC,2023-05-18 16:37:18
22,ab,HWF-042-2023,58.4202,-116.123, 2023-05-06 18:53:00,181.8, UC,2023-05-18 16:37:18
23,ab,LWF-091-2023,54.5023,-113.654, 2023-05-04 22:50:00,200.0, UC,2023-05-18 16:37:18
24,ab,WWF-026-2023,54.4643,-115.332, 2023-05-12 23:20:00,0.05, UC,2023-05-18 16:37:18
25,bc,2023-K70278,50.3122,-121.554, 2023-05-12 23:05:00,0.01, UC,2023-05-18 16:37:18
26,ab,PWF-034-2023,56.5452,-119.479, 2023-05-05 19:33:00,587.0, BH,2023-05-18 16:37:18
27,ab,EWF-039-2023,53.4706,-115.871, 2023-05-06 03:51:00,216.0, BH,2023-05-18 16:37:18
28,ab,PWF-008-2023,56.4749,-117.295, 2023-04-17 01:50:00,64.6, UC,2023-05-18 16:37:18
29,ab,PWF-012-2023,56.2591,-118.216, 2023-04-26 00:00:00,0.2, UC,2023-05-18 16:37:18
30,ab,PWF-017-2023,56.5629,-119.083, 2023-04-28 22:33:00,16.2, UC,2023-05-18 16:37:18
31,ab,PWF-020-2023,56.4354,-117.306, 2023-04-30 23:27:00,1.1, UC,2023-05-18 16:37:18
32,ab,PWF-043-2023,57.1668,-117.235, 2023-05-12 00:45:00,0.53, UC,2023-05-18 16:37:18
33,on,SLK_PB_001,51.2342,-90.2378, 2023-05-09 16:11:00,11.5, UC,2023-05-18 16:37:18
34,bc,2023-G80267,56.5279,-121.894, 2023-05-11 18:36:00,0.87, UC,2023-05-18 16:37:18
35,bc,2023-G80285,56.3482,-121.192, 2023-05-13 18:15:00,0.2, UC,2023-05-18 16:37:18
36,ak,Windfall Mountain Coal Seam,65.0282,-141.246, 2023-05-08 00:00:00,0.04, Unstaffed/Uncontaine,2023-05-18 16:37:18
